,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
345,LMT,True,57,9,4,41,0,2,629.5640491887858,0.0,451.86540336830853,676.7000122070312,2.8294424133297187,2.4340796840385237,8.705081298501334,50.131603187833754,50.55725745113634,56.03806511190896
361,MRK,True,75,6,24,45,0,11,118.5246341517264,0.0,84.6084499410325,121.41000366210938,-1.9463705690960227,-1.9463705690960227,12.063880160615872,17.029246258340113,48.60863016860946,39.07520282571671
382,NDSN,True,65,6,67,36,0,20,287.7335443550526,0.0,227.84158551637512,292.17999267578125,-0.4293926373847401,1.163349237018301,6.247270063920454,23.192072188826966,30.981316651611035,41.50851354230507
385,NOC,True,52,41,16,29,0,12,692.8451243343437,0.0,604.3432476777206,768.02001953125,6.024464280387947,5.8768392205499635,10.804603247746636,36.411404526088084,32.104635626291376,70.41520833616892
392,ON,True,63,17,13,28,0,4,66.29762691967863,0.0,48.35203412725048,66.4800033569336,0.0,-4.304012971398173,6.881033024913223,33.92426304259151,30.917693885486365,40.31237200978424
398,PH,True,88,26,25,50,0,13,986.3354243253268,0.0,743.4756258759161,1011.4099731445312,0.22096954804240007,0.24183102691409888,6.842571864796694,17.62121235243617,32.73944150548258,55.84172984465804
423,RTX,True,54,19,17,28,0,10,194.47437570900556,0.0,172.69637975430177,212.16000366210938,4.708325325644346,5.071318138878106,6.496238387784409,22.908178716734234,33.017534172033145,65.29374401061942
445,SW,True,64,20,15,38,0,3,45.245239136936135,0.0,39.987816051175635,46.81999969482422,-0.4041664188317029,1.1449530542547346,12.141683059669923,32.01251074641452,1.8195239323020622,-6.849680819890374
446,SNA,True,65,7,21,38,0,14,372.4074166699517,0.0,329.8126685448928,389.5899963378906,1.1344154258189232,1.7392222571994405,6.939539102534783,15.125802915064037,20.73795309769381,18.780443915459703
452,STLD,True,138,21,29,52,0,18,189.64782253167087,0.0,129.71266334153555,201.50999450683594,4.339040756048368,2.8059793654084233,10.738029980245836,21.294462505114723,54.162098923341404,53.33893069038379
463,TDY,True,59,38,74,45,0,31,655.3115215380789,0.0,575.1175967231167,688.5900268554688,1.099699242110191,2.4047536296185625,10.118022578869041,38.35999778758593,27.02503140480384,37.48154114809854
495,VICI,True,53,47,7,23,0,5,29.405110648844673,0.0,31.634368442522977,30.360000610351562,0.49652939564637083,0.4632736604173332,8.00426876964006,7.007911281778237,-6.6481981138194755,-0.59782871727331
501,WAB,True,65,6,40,46,0,20,251.45398119811713,0.0,201.18137865927218,263.6700134277344,-0.1060802297206396,0.28145163068773366,13.480464508766987,27.070811077093772,35.4172534397244,46.24432114396366
