Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,"Technology Hardware, Storage & Peripherals",Information Technology,211.08,99,97,95,93,"WDC,STX,DELL,HPE,NTAP,SMCI,AAPL,HPQ"
2,Communications Equipment,Information Technology,196.65,99,99,99,99,"LITE,CIEN,CSCO,FFIV,ANET,MSI"
3,Semiconductors,Information Technology,187.15,98,96,80,89,"MU,INTC,AMD,ARM,MRVL,ON,MPWR,QCOM,TXN,FSLR,NXPI,ADI,MCHP,AVGO,NVDA,SWKS"
4,Electronic Components,Information Technology,173.55,97,99,99,99,"COHR,GLW,APH"
5,Semiconductor Materials & Equipment,Information Technology,173.36,96,98,97,96,"TER,LRCX,AMAT,KLAC,Q"
6,Wireless Telecommunication Services,Communication Services,145.42,95,95,98,98,"SATS,TMUS"
7,Steel,Materials,143.4,94,91,84,82,"NUE,STLD"
8,Construction & Engineering,Industrials,128.49,93,94,96,95,"FIX,PWR,EME,J"
9,Cargo Ground Transportation,Industrials,126.41,92,89,94,57,"JBHT,ODFL"
10,Oil & Gas Equipment & Services,Energy,119.15,91,93,92,68,"HAL,SLB,BKR"
11,Electronic Manufacturing Services,Information Technology,118.93,90,85,75,90,"JBL,TEL"
12,Oil & Gas Refining & Marketing,Energy,117.53,89,92,91,78,"VLO,MPC,PSX"
13,Managed Health Care,Health Care,115.58,88,71,14,19,"CNC,HUM,UNH,ELV"
14,Electrical Components & Equipment,Industrials,115.38,87,88,89,77,"VRT,GNRC,ROK,ETN,AME,EMR"
15,Interactive Media & Services,Communication Services,115.22,86,87,74,94,"GOOGL,GOOG,META"
16,Construction Machinery & Heavy Transportation Equipment,Industrials,114.88,85,90,93,86,"CAT,CMI,WAB,PCAR"
17,Systems Software,Information Technology,113.69,84,15,7,40,"CRWD,FTNT,PANW,GEN,MSFT,NOW"
18,Agricultural Products & Services,Consumer Staples,112.73,83,84,87,72,"ADM,BG"
