ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
HSIC,2026-03-19,72.1683,89.29,89.29,72.68,-3.84,-0.6,-3.05,-6.86,-5.67,7.88,0.94
HST,2026-03-09,18.5536,21.0,21.0,19.1,7.73,0.16,2.14,-5.73,6.47,12.44,34.28
IBKR,2026-02-05,68.9865,78.7155,78.7155,67.69,5.37,-1.11,1.15,-9.53,7.46,8.83,57.59
IBKR,2026-03-09,63.8104,79.095,79.095,67.69,5.37,-1.11,1.15,-9.53,7.46,8.83,57.59
JBL,2026-03-09,235.6857,281.37,281.37,265.31,16.39,2.57,5.22,1.83,24.86,24.27,95.93
JBL,2026-03-18,239.311,281.37,281.37,265.31,16.39,2.57,5.22,1.83,24.86,24.27,95.93
JNJ,2026-03-05,238.9669,251.71,251.71,237.6,15.42,0.13,-1.83,-2.5,14.12,35.65,48.69
LH,2026-02-17,267.5272,291.289,291.289,264.09,5.53,-0.66,0.45,-5.02,2.57,-3.84,11.37
LH,2026-03-09,265.0903,291.289,291.289,264.09,5.53,-0.66,0.45,-5.02,2.57,-3.84,11.37
LNT,2026-03-19,70.6918,73.41,73.41,71.32,10.6,-0.61,-0.35,2.57,10.17,13.44,16.21
MAR,2026-03-06,319.3706,369.2865,369.2865,324.89,4.92,0.73,2.71,-8.56,6.39,24.51,36.43
MAR,2026-03-09,312.748,369.2865,369.2865,324.89,4.92,0.73,2.71,-8.56,6.39,24.51,36.43
MCK,2026-03-05,922.2787,999.0,999.0,898.95,9.68,-2.33,-4.81,-4.99,11.08,30.09,36.41
MCK,2026-03-06,916.5256,999.0,999.0,898.95,9.68,-2.33,-4.81,-4.99,11.08,30.09,36.41
MET,2026-02-05,75.1475,83.2534,83.2534,68.61,-12.46,0.01,-0.26,-13.39,-16.02,-11.54,-13.46
MET,2026-02-27,71.7939,83.2534,83.2534,68.61,-12.46,0.01,-0.26,-13.39,-16.02,-11.54,-13.46
MRVL,2026-02-03,75.2423,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
MRVL,2026-02-04,73.3143,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
MRVL,2026-02-05,71.6356,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
NCLH,2026-03-02,21.7109,25.1,25.1,19.64,-12.01,-0.81,0.92,-19.34,-8.82,-22.62,2.99
NTRS,2026-02-12,142.0693,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-02-23,137.9956,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-03-06,136.1949,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-03-09,134.2459,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NUE,2026-02-13,181.3309,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
NUE,2026-03-09,165.5437,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
NUE,2026-03-19,157.0949,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
PCAR,2026-03-09,117.283,131.5375,131.5375,112.85,3.32,-1.6,-3.4,-9.84,2.16,13.99,15.5
PCG,2026-03-05,18.1249,19.16,19.16,18.19,13.19,0.11,0.66,1.73,19.49,21.12,6.61
PEG,2026-03-03,82.3247,86.9314,86.9314,82.78,3.92,-1.7,0.38,-1.08,4.4,4.58,3.99
RCL,2026-03-02,292.7417,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
RCL,2026-03-06,270.4017,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
RCL,2026-03-09,263.126,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
REG,2026-03-09,76.1511,79.1282,79.1282,76.69,12.18,0.38,0.18,2.27,15.3,12.26,11.82
REG,2026-03-11,75.6749,79.1282,79.1282,76.69,12.18,0.38,0.18,2.27,15.3,12.26,11.82
REGN,2026-01-13,744.8827,820.1234,820.1234,737.45,-4.34,-0.9,-1.23,-6.79,-1.07,26.26,11.51
REGN,2026-03-19,728.5025,820.1234,820.1234,737.45,-4.34,-0.9,-1.23,-6.79,-1.07,26.26,11.51
RF,2026-02-12,29.3498,30.8732,30.8732,25.21,-6.08,0.04,-0.43,-15.33,-7.48,-4.49,22.34
RL,2026-03-02,351.1373,389.15,389.15,340.21,-3.79,-0.41,1.53,-10.02,-7.65,11.75,56.72
RL,2026-03-03,344.0696,389.15,389.15,340.21,-3.79,-0.41,1.53,-10.02,-7.65,11.75,56.72
RL,2026-03-09,330.7671,389.15,389.15,340.21,-3.79,-0.41,1.53,-10.02,-7.65,11.75,56.72
RSG,2026-03-10,220.2735,233.42,233.42,223.02,5.54,0.46,-1.22,2.85,4.52,-0.87,-3.71
SHW,2026-03-02,347.6112,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SHW,2026-03-03,342.1798,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SHW,2026-03-05,333.4382,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SHW,2026-03-06,328.1466,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SHW,2026-03-09,322.1271,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SHW,2026-03-19,304.9858,376.9365,376.9365,310.38,-4.0,-0.56,-2.3,-14.95,-5.13,-10.97,-6.67
SNA,2026-03-09,366.2202,390.05,390.05,360.77,5.36,-0.34,-0.94,-5.54,4.2,10.38,12.55
STLD,2026-02-13,188.979,208.47,208.47,167.56,-1.12,-0.71,-4.31,-13.06,-0.64,23.24,33.76
STLD,2026-03-09,177.3649,208.47,208.47,167.56,-1.12,-0.71,-4.31,-13.06,-0.64,23.24,33.76
STLD,2026-03-19,162.2188,208.47,208.47,167.56,-1.12,-0.71,-4.31,-13.06,-0.64,23.24,33.76
TRV,2026-03-06,299.9114,311.984,311.984,296.84,2.71,-0.81,-1.71,-0.18,2.87,8.75,15.76
TRV,2026-03-12,295.5684,311.984,311.984,296.84,2.71,-0.81,-1.71,-0.18,2.87,8.75,15.76
TRV,2026-03-19,295.5793,311.984,311.984,296.84,2.71,-0.81,-1.71,-0.18,2.87,8.75,15.76
TSLA,2026-01-20,417.9916,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-01-29,416.0642,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-02-04,400.7087,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-02-05,393.6123,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-03-02,389.1044,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-03-09,383.1276,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TSLA,2026-03-19,380.179,498.83,498.83,380.3,-15.44,-3.18,-3.72,-7.54,-22.37,-10.7,68.79
TXN,2026-02-24,211.882,231.32,231.32,188.29,9.24,-1.31,-0.93,-15.69,6.74,6.05,8.24
TXN,2026-03-05,196.0009,231.32,231.32,188.29,9.24,-1.31,-0.93,-15.69,6.74,6.05,8.24
TXN,2026-03-06,192.8056,231.32,231.32,188.29,9.24,-1.31,-0.93,-15.69,6.74,6.05,8.24
TXN,2026-03-19,185.6851,231.32,231.32,188.29,9.24,-1.31,-0.93,-15.69,6.74,6.05,8.24
UAL,2026-03-06,91.6805,118.94,118.94,94.15,-15.8,1.77,8.81,-19.48,-16.3,-10.77,31.97
UAL,2026-03-09,88.5966,118.94,118.94,94.15,-15.8,1.77,8.81,-19.48,-16.3,-10.77,31.97
UDR,2026-03-11,35.9602,40.17,40.17,35.24,-2.79,-0.28,-2.22,-7.87,0.55,-3.28,-15.12
USB,2026-02-12,57.4878,61.19,61.19,51.3,-3.86,-0.04,-0.35,-12.7,-3.13,5.53,26.69
USB,2026-02-23,55.7852,61.19,61.19,51.3,-3.86,-0.04,-0.35,-12.7,-3.13,5.53,26.69
USB,2026-02-24,54.7855,61.19,61.19,51.3,-3.86,-0.04,-0.35,-12.7,-3.13,5.53,26.69
USB,2026-03-09,50.3575,61.19,61.19,51.3,-3.86,-0.04,-0.35,-12.7,-3.13,5.53,26.69
VTRS,2026-02-26,15.0977,16.1619,16.1619,13.5,9.36,-1.75,-2.17,-15.17,18.81,43.17,48.42
VZ,2026-03-18,49.469,51.67,51.67,49.48,23.59,-0.22,-2.27,2.98,23.53,15.82,19.53
VZ,2026-03-19,49.1905,51.67,51.67,49.48,23.59,-0.22,-2.27,2.98,23.53,15.82,19.53
WMB,2026-03-09,72.6269,76.3211,76.3211,74.06,24.09,1.73,1.46,3.4,27.71,27.43,30.97
WMB,2026-03-10,72.157,76.3211,76.3211,74.06,24.09,1.73,1.46,3.4,27.71,27.43,30.97
WMT,2026-02-20,122.8246,134.69,134.69,121.09,8.69,-0.73,-3.38,-4.37,4.91,16.37,42.83
WMT,2026-03-19,119.765,134.69,134.69,121.09,8.69,-0.73,-3.38,-4.37,4.91,16.37,42.83
