ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADI,2026-03-03,2026-04-17,2026-04-20,373.02,337.955,-9.40%,443.1499,337.955,PENDING,,,413.85,53.08,-1.23,7.71,6.3,16.68,65.31,94.86
ALL,2026-03-12,2026-04-15,2026-04-16,217.12,203.3629,-6.34%,244.6342,203.3629,PENDING,,,206.09,-0.49,-0.57,-3.89,-2.94,-3.44,-2.13,2.55
AMAT,2026-05-19,2026-05-26,2026-05-27,461.22,397.6929,-13.77%,588.2742,397.6929,PENDING,,,450.06,75.56,0.08,5.31,17.78,21.04,86.08,180.56
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,159.47,21.7,2.7,7.32,-5.46,19.45,27.54,71.86
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,278.62,14.33,-1.77,-3.99,-7.89,1.7,9.07,5.27
ASML,2026-02-26,2026-05-06,2026-05-07,1548.74,1430.9424,-7.61%,1784.3351,1430.9424,PENDING,,,1612.76,51.27,0.44,1.3,15.69,11.42,61.32,117.73
BBY,2026-02-20,2026-05-28,2026-05-29,74.0,62.1016,-16.08%,97.7969,62.1016,PENDING,,,77.95,18.24,4.29,27.47,32.73,27.7,0.66,15.14
BEN,2026-02-27,2026-04-28,2026-04-29,29.86,26.0167,-12.87%,37.5465,26.0167,PENDING,,,31.02,31.74,-0.61,0.52,5.33,18.59,43.33,51.48
BIIB,2026-03-31,2026-05-13,2026-05-14,200.25,179.9904,-10.12%,240.7692,179.9904,PENDING,,,196.0,11.37,-0.2,3.45,0.83,2.18,7.72,53.69
BKR,2026-03-03,2026-04-24,2026-04-27,69.7667,61.8632,-11.33%,85.5736,61.8632,PENDING,,,63.88,41.27,-1.28,-2.92,-6.85,-1.79,30.15,77.16
BNY,2026-04-29,2026-05-21,2026-05-22,139.59,130.9471,-6.19%,156.8758,130.9471,PENDING,,,139.43,21.12,-0.8,0.32,5.41,17.53,28.84,59.97
CAT,2026-03-03,2026-04-10,2026-04-13,786.9218,708.6633,-9.94%,943.4389,708.6633,PENDING,,,875.87,53.54,-1.33,1.15,8.13,18.13,55.24,153.33
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,311.73,0.17,-1.42,-5.61,-4.3,-8.28,5.0,8.55
CI,2026-03-03,2026-05-12,2026-05-13,298.29,274.7225,-7.90%,345.4251,274.7225,PENDING,,,277.4,1.34,-2.44,-1.64,-5.1,-3.76,0.82,-8.88
CIEN,2026-05-19,2026-05-26,2026-05-27,605.54,499.802,-17.46%,817.016,499.802,PENDING,,,580.23,148.1,1.76,-1.19,22.05,66.4,195.67,601.61
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,78.28,17.05,-2.88,-0.96,-1.37,-2.08,19.1,12.41
D,2026-03-19,2026-05-18,2026-05-19,67.2,60.9784,-9.26%,79.6433,60.9784,PENDING,,,66.94,15.47,-0.65,-1.98,7.1,6.02,11.18,25.34
DAL,2026-03-02,2026-05-22,2026-05-26,78.2,62.4139,-20.19%,109.7721,62.4139,PENDING,,,82.48,19.49,-0.01,9.03,24.79,25.87,33.42,71.75
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,211.36,8.5,-0.54,1.73,-4.9,-6.27,14.2,19.0
