,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
2,^VIX,True,8,35,82,0,0,14,12.716804538013582,0.0,17.658234485655967,16.8799991607666,18.873235123234537,2.8014560434550235,9.043925451744695,2.8641030939961407
23,BKNG,False,11,29,64,0,18,0,0.0,5265.732743602083,0.0,5113.31982421875,-6.028126380807198,0.049470230013640135,-8.569301973096598,9.960830424815006
38,DDOG,True,4,36,66,2,0,24,124.8835861948425,0.0,156.50614400277593,128.17999267578125,-7.075547044281683,-18.49685941782196,-13.903822896382085,-15.609985390179062
66,MSFT,False,1,3,55,0,1,0,0.0,448.23834994597064,0.0,433.5,-11.003901751568623,-19.879106801776576,-15.239395472728487,-2.3484273892429286
67,MSTR,False,1,11,64,0,3,0,0.0,155.04581208582536,0.0,143.19000244140625,-7.851211143678601,-49.694352490017245,-63.753037833097494,-57.37504671706871
79,PAYX,False,19,14,92,0,4,0,0.0,110.71865949671547,0.0,102.2300033569336,-9.392059156520277,-15.927927419203042,-28.52346813039095,-27.764986423614285
90,SNPS,False,1,41,62,0,21,0,0.0,488.36553972170947,0.0,480.0,0.2150445281900369,5.071911675848171,-25.62175282269284,-8.766060127958978
96,VRSK,False,7,15,55,0,2,0,0.0,217.7502035437568,0.0,216.58999633789062,-3.6264167286946773,-6.5007612961829135,-21.075639810089235,-22.6311922961076
105,AOS,True,43,35,71,19,0,21,68.84872990429949,0.0,70.84862870500953,73.16999816894531,7.476492657156222,10.064431707474103,4.3652365078499695,6.878546979067355
120,MO,False,1,12,59,0,10,0,0.0,60.56485389434598,0.0,59.7599983215332,3.713987208118884,-3.8342721002586746,0.548172380050266,21.754960770136574
155,XYZ,False,10,13,53,0,5,0,0.0,65.39260838305891,0.0,62.209999084472656,-5.628032748065858,-22.41207427326877,-19.8221394243155,-29.817238816748382
160,BR,False,20,19,65,0,3,0,0.0,224.28059697470061,0.0,195.9600067138672,-13.81827667087025,-14.36518391157548,-19.91285501686999,-16.329458180251464
174,CAT,True,18,11,81,11,0,41,616.955218324406,0.0,572.5114882630911,665.239990234375,15.241084148584799,27.137204418876408,54.03856344479737,72.79290875252141
196,COIN,False,8,10,56,0,6,0,0.0,231.2158823400165,0.0,199.17999267578125,-14.796599634042327,-43.927709027840486,-47.23429403444748,-29.32368621840415
210,CMI,True,63,13,73,38,0,48,559.8649586209226,0.0,421.789761494344,583.9400024414062,13.465720857385948,41.55477212174073,61.272779635809016,70.04738244790326
214,DVA,False,62,2,58,0,0,0,0.0,125.34466659684325,0.0,107.23999786376953,-5.515420384344026,-17.259472757687348,-25.821406632934156,-38.08671918076665
216,DECK,False,13,30,56,0,20,0,0.0,102.76559136646206,0.0,99.9000015258789,-3.6737032033820336,14.028079933691062,-9.674500086675717,-53.73286292466864
238,EME,True,33,29,91,13,0,52,684.9336066305923,0.0,673.0772387396901,730.4000244140625,17.260203690183268,-2.741938983842086,14.355202638367718,67.00070648448089
286,GDDY,False,32,28,127,0,6,0,0.0,125.31530431818801,0.0,99.23999786376953,-21.55561126549949,-24.157437344511372,-39.443498348237064,-53.70189174809552
325,JNJ,True,33,2,51,13,0,28,217.5912323249757,0.0,201.5364285087828,227.2899932861328,9.505683156490367,22.362975919617217,37.75681067571847,55.77036841599454
326,JCI,True,1,16,52,0,0,23,113.3938016178836,0.0,116.7116224378415,120.27999877929688,-1.1749242592494733,7.19187216885106,15.631611864038932,59.29995620735041
353,MLM,True,43,22,82,15,0,39,620.327020690016,0.0,617.9476492381278,653.3300170898438,2.5201244474684112,6.056873144230449,13.864159649987792,21.198948220715135
355,MA,False,12,30,56,0,14,0,0.0,560.5662797906003,0.0,543.72998046875,-5.771466873729985,-3.7784299260446583,-2.4761405981328912,-0.08963194378399329
359,MCK,True,10,30,57,1,0,31,801.4300428782713,0.0,855.2161999324726,822.2999877929688,-0.9778178854429143,2.296316628493178,15.264646733583303,36.956584279622916
382,NDSN,True,44,6,67,23,0,20,263.00812241048624,0.0,227.84158551700014,275.0,13.103562017903,17.268957561838448,28.37064287961541,26.543607109287027
384,NTRS,True,43,33,107,29,0,50,140.82743945009994,0.0,127.70971880268246,150.66000366210938,7.837661171019988,19.028005954260976,15.926191619536489,37.7125909759247
416,PTC,False,19,7,73,0,1,0,0.0,170.30436884201288,0.0,153.47999572753906,-12.591833858123067,-24.192437697362436,-24.211150120613834,-19.614517563951374
448,LUV,True,1,1,53,0,0,30,36.460276353893846,0.0,41.27823118256579,48.5,17.947473880872902,56.678616188665245,59.5076008967766,55.60137823782135
462,TDY,True,38,38,74,25,0,31,564.9701982524738,0.0,575.1175967231167,625.3200073242188,21.122665207633254,19.006564429926776,13.572708698620653,22.809225876710613
470,TSCO,False,1,6,96,0,4,0,0.0,52.03165834953383,0.0,50.959999084472656,0.29521296423441745,-7.762758792113594,-11.163352175716355,-9.691693805415744
491,VRSN,False,1,13,70,0,10,0,0.0,244.5676071803223,0.0,244.2100067138672,-0.3834334921558681,1.9111897641973852,-7.98162018107292,15.560643111556761
