Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,173.81,98,98,98,56,"LRCX,TER,KLAC,AMAT"
2,Broadcasting,Communication Services,148.36,97,97,94,94,"WBD,FOXA,FOX"
3,Electronic Components,Information Technology,145.61,96,96,99,92,"APH,GLW"
4,"Technology Hardware, Storage & Peripherals",Information Technology,129.82,95,94,95,70,"WDC,STX,AAPL,HPE,NTAP,DELL,HPQ,SMCI"
5,Construction Machinery & Heavy Transportation Equipment,Industrials,124.65,94,90,70,62,"CMI,CAT,PCAR,WAB"
6,Electronic Manufacturing Services,Information Technology,123.97,93,86,91,97,"TEL,JBL"
7,Air Freight & Logistics,Industrials,123.52,92,80,43,18,"CHRW,EXPD,FDX,UPS"
8,Construction & Engineering,Industrials,120.53,91,93,96,96,"FIX,EME,PWR,J"
9,Automobile Manufacturers,Consumer Discretionary,120.39,90,95,88,55,"GM,F,TSLA"
10,Steel,Materials,119.67,89,89,56,48,"NUE,STLD"
11,Investment Banking & Brokerage,Financials,119.37,88,92,97,98,"HOOD,GS,MS,IBKR,SCHW,RJF"
12,Oil & Gas Equipment & Services,Energy,118.75,87,53,26,22,"HAL,SLB,BKR"
13,Semiconductors,Information Technology,117.67,86,78,92,59,"MU,INTC,AMD,MPWR,ADI,FSLR,MCHP,AVGO,NVDA,ON,NXPI,TXN,QCOM,MRVL,SWKS,ARM"
14,Consumer Staples Merchandise Retail,Consumer Staples,117.16,85,79,51,60,"DG,DLTR,WMT,TGT,COST"
15,Interactive Media & Services,Communication Services,116.13,84,84,87,63,"GOOGL,GOOG,MTCH,META"
16,Passenger Airlines,Industrials,115.76,83,91,71,77,"LUV,DAL,UAL"
17,Aerospace & Defense,Industrials,114.26,82,69,77,85,"HII,HWM,RTX,GE,LHX,BA,GD,NOC,LMT,TXT,TDG,AXON"
18,Agricultural Products & Services,Consumer Staples,112.39,81,64,82,14,"BG,ADM"
19,Health Care Distributors,Health Care,112.32,80,82,66,67,"CAH,COR,MCK,HSIC"
20,Apparel Retail,Consumer Discretionary,111.71,79,88,67,20,"ROST,TJX"
21,Specialty Chemicals,Materials,110.82,78,54,20,21,"ALB,DD,ECL,SHW,PPG,IFF,LYB"
22,Regional Banks,Financials,110.29,77,70,46,66,"CFG,KEY,RF,FITB,MTB,HBAN"
23,Biotechnology,Health Care,110.07,76,85,84,41,"INSM,INCY,MRNA,AZN,REGN,BIIB,AMGN,GILD,ABBV,ALNY,VRTX"
24,Life Sciences Tools & Services,Health Care,109.57,75,67,55,13,"CRL,IQV,TMO,MTD,TECH,WAT,DHR,A"
25,Casinos & Gaming,Consumer Discretionary,109.2,74,81,61,76,"LVS,WYNN,MGM"
26,Cargo Ground Transportation,Industrials,109.15,73,72,16,11,"JBHT,ODFL"
27,Oil & Gas Refining & Marketing,Energy,107.75,72,59,74,53,"VLO,PSX,MPC"
28,Diversified Banks,Financials,107.62,71,76,65,75,"C,TFC,USB,PNC,WFC,BAC,JPM"
29,Pharmaceuticals,Health Care,107.44,70,68,32,10,"VTRS,MRK,JNJ,LLY,BMY,PFE,ZTS"
30,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,106.95,69,73,69,91,"TPR,RL,NKE,LULU"
31,Consumer Finance,Financials,106.83,68,83,75,83,"COF,SYF,AXP"
32,Health Care Facilities,Health Care,106.81,67,87,81,1,"HCA,UHS"
