Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,"Technology Hardware, Storage & Peripherals",Information Technology,193.13,99,98,95,94,"WDC,STX,DELL,HPE,NTAP,AAPL,HPQ,SMCI"
2,Communications Equipment,Information Technology,180.46,99,99,99,97,"LITE,CIEN,CSCO,FFIV,ANET,MSI"
3,Semiconductor Materials & Equipment,Information Technology,179.49,98,96,97,96,"LRCX,TER,AMAT,KLAC,Q"
4,Semiconductors,Information Technology,174.69,97,95,84,78,"MU,INTC,MRVL,AMD,ARM,ON,MPWR,TXN,ADI,NXPI,MCHP,QCOM,FSLR,NVDA,AVGO,SWKS"
5,Electronic Components,Information Technology,171.96,96,99,98,99,"COHR,GLW,APH"
6,Steel,Materials,154.12,95,93,70,88,"STLD,NUE"
7,Wireless Telecommunication Services,Communication Services,142.65,94,97,99,99,"SATS,TMUS"
8,Cargo Ground Transportation,Industrials,139.53,93,81,79,72,"JBHT,ODFL"
9,Managed Health Care,Health Care,138.12,92,87,5,20,"HUM,CNC,UNH,ELV"
10,Construction & Engineering,Industrials,126.35,91,94,96,92,"FIX,PWR,EME,J"
11,Oil & Gas Equipment & Services,Energy,125.68,90,92,88,53,"HAL,SLB,BKR"
12,Oil & Gas Refining & Marketing,Energy,122.69,89,91,94,59,"VLO,MPC,PSX"
13,Agricultural Products & Services,Consumer Staples,121.08,88,86,93,64,"BG,ADM"
14,Construction Machinery & Heavy Transportation Equipment,Industrials,120.35,87,90,91,89,"CAT,CMI,WAB,PCAR"
15,Electronic Manufacturing Services,Information Technology,116.82,86,84,80,85,"JBL,TEL"
16,Air Freight & Logistics,Industrials,115.93,85,72,83,80,"FDX,CHRW,EXPD,UPS"
17,Broadcasting,Communication Services,113.58,84,85,78,98,"WBD,FOXA,FOX"
18,Food Retail,Consumer Staples,113.35,83,82,86,52,"CASY,KR"
19,Electrical Components & Equipment,Industrials,112.98,82,88,90,66,"VRT,GNRC,ROK,AME,ETN,EMR"
20,Apparel Retail,Consumer Discretionary,112.52,81,73,87,87,"ROST,TJX"
21,Oil & Gas Storage & Transportation,Energy,108.46,80,77,85,29,"TRGP,OKE,WMB,KMI"
22,Trading Companies & Distributors,Industrials,108.35,79,51,42,43,"URI,FAST"
23,Interactive Media & Services,Communication Services,107.9,78,89,77,93,"GOOGL,GOOG,META"
24,Health Care Services,Health Care,107.33,77,71,49,38,"DVA,CVS,DGX,CI,LH"
25,Rail Transportation,Industrials,107.28,76,69,62,61,"CSX,UNP,NSC"
26,Integrated Oil & Gas,Energy,106.87,75,74,92,33,"XOM,CVX"
27,Passenger Airlines,Industrials,106.66,74,52,57,90,"DAL,LUV,UAL"
28,Hotel & Resort REITs,Real Estate,106.35,73,64,51,37,"HST,VICI"
29,Life & Health Insurance,Financials,105.73,72,58,30,57,"PFG,GL,MET,AFL,PRU"
30,Regional Banks,Financials,105.61,71,54,52,70,"CFG,FITB,KEY,MTB,RF,HBAN"
31,Health Care REITs,Real Estate,105.42,70,75,69,65,"DOC,WELL,VTR"
32,Systems Software,Information Technology,105.34,69,42,13,26,"FTNT,PANW,CRWD,GEN,MSFT,NOW"
33,Investment Banking & Brokerage,Financials,104.74,68,60,54,91,"IBKR,MS,GS,RJF,SCHW,HOOD"
34,Retail REITs,Real Estate,104.61,67,66,64,35,"FRT,SPG,KIM,REG,O"
35,Diversified Banks,Financials,104.59,66,53,47,76,"C,PNC,USB,TFC,BAC,JPM,WFC"
36,Automobile Manufacturers,Consumer Discretionary,104.48,66,62,61,95,"F,GM,TSLA"
37,Broadline Retail,Consumer Discretionary,104.05,65,83,53,47,"EBAY,AMZN"
38,--- Reference ---,--- Reference ---,103.58,64,63,63,58,"QQQ,^VIX,SPY"
39,Tobacco,Consumer Staples,103.52,63,68,65,42,"MO,PM"
