,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
35,CSGP,False,102,47,24,0,33,0,0.0,91.26566967368528,0.0
43,EA,True,70,2,36,47,0,15,203.2605896843326,0.0,167.4436845281335
68,MSTR,False,60,6,5,0,2,0,0.0,319.5730703150223,0.0
72,NFLX,False,52,10,19,0,4,0,0.0,117.75870061128927,0.0
81,PYPL,False,59,5,48,0,3,0,0.0,69.0784075452633,0.0
86,ROP,False,51,11,26,0,1,0,0.0,496.6031046139622,0.0
87,ROST,True,57,3,10,34,0,5,179.43982116942308,0.0,147.8022122921128
92,TMUS,False,92,25,8,0,12,0,0.0,249.17860246992808,0.0
99,WBD,True,53,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,65,45,6,24,0,4,155.8977903986895,0.0,193.43853620270235
117,ALLE,False,51,2,7,0,0,0,0.0,172.6886289335317,0.0
120,MO,False,56,12,8,0,4,0,0.0,63.38570141571273,0.0
128,AME,True,54,17,39,36,0,18,203.7925325325087,0.0,184.3078573857112
140,T,False,72,33,19,0,11,0,0.0,28.088568628412904,0.0
186,CB,True,51,6,13,31,0,9,307.19039551577106,0.0,280.853211257462
212,DHR,True,68,27,19,31,0,9,226.0589964470942,0.0,202.5321722799946
226,DOV,True,54,33,7,27,0,4,192.1122564746101,0.0,175.11138828209639
232,ETN,False,52,30,25,0,10,0,0.0,361.6119289874805,0.0
254,EXPE,True,53,18,34,26,0,25,274.60802367260123,0.0,215.5911173952008
265,FSLR,True,129,11,51,47,0,10,248.11273711772185,0.0,152.83778260589335
290,HAS,True,51,32,18,17,0,10,79.9574450186806,0.0,78.12891077966547
306,HII,True,185,5,22,85,0,15,336.8771988380417,0.0,191.1104955391593
398,PH,True,51,26,25,25,0,13,869.8637590257118,0.0,744.8612670173153
399,PAYC,False,109,7,29,0,4,0,0.0,227.28280307936691,0.0
451,STLD,True,101,21,29,43,0,18,167.66629510327635,0.0,129.71266330333452
454,SMCI,False,51,31,24,0,17,0,0.0,50.61009488497797,0.0
470,TSCO,False,87,61,10,0,36,0,0.0,60.32106537897582,0.0
476,TYL,False,102,8,15,0,4,0,0.0,565.3071000048424,0.0
484,UPS,True,53,7,5,23,0,3,98.34345533051352,0.0,82.2565799588056
491,VRSN,False,68,18,26,0,10,0,0.0,280.1188806802959,0.0
496,VST,False,54,28,13,0,9,0,0.0,195.62271590559013,0.0
