ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
PKG,2009-10-28,2009-12-15,2009-12-16,14.3186,11.4367,-20.13%,20.0824,11.4367,PENDING,,
PKG,2017-07-27,2017-09-11,2017-09-12,91.8127,82.8576,-9.75%,109.7228,82.8576,PENDING,,
PLTR,2025-03-31,2025-05-13,2025-05-14,129.01,83.8006,-35.04%,219.4287,83.8006,PENDING,,
PM,2025-10-01,2026-01-15,2026-01-16,171.67,155.7106,-9.30%,203.5889,155.7106,PENDING,,
PNW,2022-09-23,2022-11-30,2022-12-01,69.3569,61.6533,-11.11%,84.764,61.6533,PENDING,,
PNW,2025-09-09,2026-01-16,2026-01-20,93.71,86.4526,-7.74%,108.2247,86.4526,PENDING,,
POOL,2009-06-10,2009-07-23,2009-07-24,18.1031,13.5772,-25.00%,27.1547,13.5772,PENDING,,
PPG,2025-09-25,2026-01-29,2026-01-30,116.0928,102.4316,-11.77%,143.4152,102.4316,PENDING,,
PPL,2025-10-29,2026-02-24,2026-02-25,38.06,36.1044,-5.14%,41.9712,36.1044,PENDING,,
PPL,2025-11-03,2026-02-24,2026-02-25,38.06,35.5946,-6.48%,42.9909,35.5946,PENDING,,
PRU,2009-01-15,2009-05-07,2009-05-08,23.0126,12.7058,-44.79%,43.6263,12.7058,PENDING,,
PRU,2009-03-04,2009-05-06,2009-05-07,20.0349,6.3623,-68.24%,47.38,6.3623,PENDING,,
PRU,2009-03-05,2009-05-06,2009-05-07,20.0349,5.8184,-70.96%,48.4678,5.8184,PENDING,,
PRU,2009-04-21,2009-05-06,2009-05-07,20.0349,11.7355,-41.42%,36.6337,11.7355,PENDING,,
PRU,2009-07-08,2009-08-05,2009-08-06,24.8585,17.5451,-29.42%,39.4852,17.5451,PENDING,,
PSA,2010-06-08,2010-08-02,2010-08-03,56.9999,47.7096,-16.30%,75.5806,47.7096,PENDING,,
PSA,2010-06-29,2010-08-02,2010-08-03,56.9999,50.4322,-11.52%,70.1353,50.4322,PENDING,,
PSA,2012-03-07,2012-04-24,2012-04-25,85.0645,76.8349,-9.67%,101.5239,76.8349,PENDING,,
PSA,2012-03-08,2012-04-24,2012-04-25,85.0645,76.3834,-10.21%,102.4267,76.3834,PENDING,,
PSKY,2006-03-28,2006-07-03,2006-07-05,17.3515,15.4358,-11.04%,21.1827,15.4358,PENDING,,
PYPL,2015-12-01,2016-03-01,2016-03-02,38.9915,33.7514,-13.44%,49.4718,33.7514,PENDING,,
Q,2025-12-15,2026-02-10,2026-02-11,110.5491,76.4433,-30.85%,178.7606,76.4433,PENDING,,
QCOM,2019-04-10,2019-04-16,2019-04-17,67.3197,48.0089,-28.69%,105.9414,48.0089,PENDING,,
REG,2009-07-08,2009-09-16,2009-09-17,21.1426,16.4795,-22.06%,30.4689,16.4795,PENDING,,
REG,2009-07-10,2009-09-16,2009-09-17,21.1426,15.8789,-24.90%,31.67,15.8789,PENDING,,
REG,2025-10-13,2026-02-04,2026-02-05,74.57,69.173,-7.24%,85.364,69.173,PENDING,,
REGN,2005-12-05,2005-12-23,2005-12-27,14.8397,10.0967,-31.96%,24.3259,10.0967,PENDING,,
REGN,2013-06-03,2013-09-13,2013-09-16,289.7724,232.5394,-19.75%,404.2384,232.5394,PENDING,,
REGN,2022-08-31,2022-09-08,2022-09-09,706.954,576.6481,-18.43%,967.5659,576.6481,PENDING,,
REGN,2022-09-01,2022-09-08,2022-09-09,706.954,574.4325,-18.75%,971.997,574.4325,PENDING,,
RL,2009-08-17,2009-09-16,2009-09-17,57.2798,48.9879,-14.48%,73.8636,48.9879,PENDING,,
RL,2012-08-02,2012-08-17,2012-08-20,124.832,107.5291,-13.86%,159.4379,107.5291,PENDING,,
RL,2022-12-16,2023-01-06,2023-01-09,109.9567,97.4865,-11.34%,134.8973,97.4865,PENDING,,
RL,2022-12-20,2023-01-06,2023-01-09,109.9567,95.366,-13.27%,139.1381,95.366,PENDING,,
RL,2026-02-05,2026-02-20,2026-02-23,379.94,338.2597,-10.97%,463.3007,338.2597,PENDING,,
RMD,2005-10-12,2005-11-11,2005-11-14,16.9633,15.24,-10.16%,20.4098,15.24,PENDING,,
RMD,2005-10-13,2005-11-11,2005-11-14,16.9633,15.0852,-11.07%,20.7195,15.0852,PENDING,,
ROL,2005-10-28,2005-11-22,2005-11-23,2.0286,1.8142,-10.57%,2.4575,1.8142,PENDING,,
ROL,2009-07-29,2009-10-06,2009-10-07,3.0102,2.6676,-11.38%,3.6954,2.6676,PENDING,,
ROL,2025-10-28,2025-11-04,2025-11-05,59.5423,54.8324,-7.91%,68.9622,54.8324,PENDING,,
ROP,2009-01-14,2009-05-04,2009-05-05,42.857,36.0994,-15.77%,56.3721,36.0994,PENDING,,
ROP,2009-02-02,2009-05-04,2009-05-05,42.857,35.9538,-16.11%,56.6635,35.9538,PENDING,,
ROST,2022-09-23,2022-11-10,2022-11-11,94.3057,80.3798,-14.77%,122.1576,80.3798,PENDING,,
ROST,2022-10-13,2022-11-10,2022-11-11,94.3057,79.8724,-15.30%,123.1725,79.8724,PENDING,,
