ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADM,2025-11-04,2026-01-14,2026-01-15,63.9381,56.9357,-10.95%,77.9427,56.9357,PENDING,,,66.17,15.97,-3.6,-8.07,-3.91,13.85,10.52,45.97
AEE,2025-10-28,2026-02-11,2026-02-12,107.7183,101.8496,-5.45%,119.4556,101.8496,PENDING,,,106.06,6.93,-3.19,-5.34,-2.75,8.37,9.01,9.06
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,125.66,9.84,-2.38,-5.95,-2.15,10.41,19.93,22.69
AES,2025-10-31,2026-02-03,2026-02-04,15.88,13.4826,-15.10%,20.6748,13.4826,PENDING,,,14.1,-0.51,-0.35,-0.63,-13.81,5.84,11.57,14.84
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,173.18,10.91,-1.74,5.45,-8.56,7.85,30.63,4.24
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,322.58,3.66,-0.33,-1.94,-1.71,3.38,17.96,9.58
CMCSA,2026-01-29,2026-01-30,2026-02-02,29.62,27.8685,-5.91%,33.1231,27.8685,PENDING,,,29.02,4.81,0.14,-3.78,-7.52,3.32,0.06,-10.67
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,74.42,7.22,-3.91,-4.38,-1.89,6.71,7.64,4.02
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,209.37,7.48,-1.0,2.67,-9.75,6.98,21.78,16.12
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,36.65,58.61,-2.24,0.08,18.14,60.75,56.1,5.22
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,109.45,11.07,-2.01,-4.73,-2.21,10.08,15.44,5.22
EVRG,2025-11-03,2026-02-10,2026-02-11,78.0718,74.7565,-4.25%,84.7024,74.7565,PENDING,,,78.7,9.48,-2.91,-4.76,-0.21,7.85,12.37,20.53
GEV,2025-10-22,2025-12-10,2025-12-11,710.1973,551.3709,-22.36%,1027.85,551.3709,PENDING,,,851.07,30.39,-3.0,5.78,2.03,38.75,39.54,154.2
HSY,2026-01-23,2026-02-04,2026-02-05,217.4223,188.0843,-13.49%,276.0984,188.0843,PENDING,,,210.14,16.23,-0.21,-3.2,-4.44,11.95,12.73,29.43
IRM,2025-11-05,2026-02-13,2026-02-17,110.0825,97.9786,-11.00%,134.2904,97.9786,PENDING,,,99.61,21.06,-5.08,-6.01,-7.15,26.49,2.58,16.35
KLAC,2025-11-20,2026-01-05,2026-01-06,1367.5331,1096.6408,-19.81%,1909.3176,1096.6408,PENDING,,,1498.67,23.5,-0.85,5.64,1.96,28.04,43.61,109.84
LHX,2025-11-24,2026-01-05,2026-01-06,310.5981,272.6801,-12.21%,386.4341,272.6801,PENDING,,,352.85,20.61,-2.98,-1.7,-1.29,27.04,25.76,68.46
MCD,2026-01-02,2026-02-04,2026-02-05,323.2741,300.9971,-6.89%,367.8282,300.9971,PENDING,,,308.85,1.62,-0.24,-5.39,-5.05,-2.55,3.75,2.96
MNST,2025-12-11,2025-12-22,2025-12-23,77.82,72.2784,-7.12%,88.9031,72.2784,PENDING,,,73.69,-3.89,-0.07,-4.44,-10.12,-0.87,14.0,29.69
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,,51.38,74.23,-1.89,-2.25,3.38,68.4,101.89,54.2
NEE,2025-11-21,2026-01-27,2026-01-28,87.1259,81.6292,-6.31%,98.1193,81.6292,PENDING,,,89.5,12.24,-3.15,-3.54,-1.67,12.23,28.15,30.73
NEM,2025-10-27,2025-12-11,2025-12-12,101.9237,77.2923,-24.17%,151.1866,77.2923,PENDING,,,95.8,-3.86,-3.43,-12.58,-23.45,-3.48,22.92,102.22
NOC,2026-02-25,2026-03-02,2026-03-03,768.85,692.8451,-9.89%,920.8597,692.8451,PENDING,,,706.95,24.38,-1.01,-3.65,-3.75,25.7,24.11,46.14
PFE,2026-02-03,2026-02-06,2026-02-09,27.18,25.3501,-6.73%,30.8398,25.3501,PENDING,,,26.97,10.13,-1.61,1.47,0.41,9.51,15.55,10.37
PPL,2025-10-29,2026-02-24,2026-02-25,37.7769,35.8358,-5.14%,41.659,35.8358,PENDING,,,36.55,5.15,-2.92,-5.09,-0.4,7.23,4.34,7.78
Q,2025-12-15,2026-02-10,2026-02-11,110.5491,76.4433,-30.85%,178.7606,76.4433,PENDING,,,107.59,31.85,-3.89,-1.34,-4.61,41.17,,
RTX,2026-02-25,2026-03-02,2026-03-03,213.01,193.7801,-9.03%,251.4698,193.7801,PENDING,,,198.16,8.41,-1.28,-3.11,-3.21,12.2,26.18,48.91
SLB,2025-12-16,2026-01-05,2026-01-06,44.0204,37.3466,-15.16%,57.3681,37.3466,PENDING,,,46.63,22.21,-2.49,4.27,-9.53,21.74,36.08,16.98
SRE,2025-11-03,2026-02-26,2026-02-27,95.5141,89.0965,-6.72%,108.3494,89.0965,PENDING,,,91.72,4.61,-3.71,-2.89,-0.66,6.43,13.61,34.17
TPR,2026-01-20,2026-02-05,2026-02-06,145.0411,127.958,-11.78%,179.2074,127.958,PENDING,,,140.88,10.56,-1.34,-0.86,-7.25,15.6,25.11,94.45
TSN,2026-01-05,2026-01-20,2026-01-21,60.6399,56.3948,-7.00%,69.1301,56.3948,PENDING,,,58.18,0.05,-1.59,-3.55,-8.83,0.26,9.55,-0.91
TT,2025-12-12,2026-02-09,2026-02-10,459.4517,389.3621,-15.26%,599.6311,389.3621,PENDING,,,410.36,5.69,-3.0,-2.85,-11.29,7.6,2.2,18.03
