Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,"Technology Hardware, Storage & Peripherals",Information Technology,187.17,99,98,98,79,"SNDK,WDC,STX,HPE,AAPL,DELL,NTAP,HPQ,SMCI"
2,Semiconductor Materials & Equipment,Information Technology,168.11,98,97,95,60,"LRCX,TER,KLAC,AMAT"
3,Broadcasting,Communication Services,147.94,97,96,94,93,"WBD,FOXA,FOX"
4,Electronic Components,Information Technology,139.87,96,95,99,94,"APH,GLW"
5,Investment Banking & Brokerage,Financials,124.3,95,92,97,98,"HOOD,GS,MS,IBKR,SCHW,RJF"
6,Passenger Airlines,Industrials,122.46,94,74,69,88,"DAL,UAL,LUV"
7,Construction & Engineering,Industrials,121.65,93,94,96,91,"FIX,EME,PWR,J"
8,Automobile Manufacturers,Consumer Discretionary,121.15,92,93,83,63,"GM,F,TSLA"
9,Construction Machinery & Heavy Transportation Equipment,Industrials,121.08,91,88,76,58,"CAT,CMI,PCAR,WAB"
10,Semiconductors,Information Technology,120.9,90,90,89,69,"MU,INTC,AMD,FSLR,MPWR,AVGO,ADI,MCHP,NVDA,ON,NXPI,QCOM,MRVL,TXN,SWKS,ARM"
11,Steel,Materials,118.79,89,84,65,42,"NUE,STLD"
12,Consumer Finance,Financials,117.96,88,82,72,85,"SYF,COF,AXP"
13,Electronic Manufacturing Services,Information Technology,117.67,87,91,93,97,"TEL,JBL"
14,Air Freight & Logistics,Industrials,116.54,86,80,37,13,"CHRW,EXPD,FDX,UPS"
15,Interactive Media & Services,Communication Services,115.39,85,89,82,56,"GOOGL,GOOG,MTCH,META"
16,Diversified Banks,Financials,113.71,84,75,70,79,"C,WFC,BAC,JPM,USB,TFC,PNC"
17,Biotechnology,Health Care,112.01,83,86,80,43,"INSM,INCY,REGN,ALNY,BIIB,AZN,MRNA,AMGN,GILD,ABBV,VRTX"
18,Consumer Staples Merchandise Retail,Consumer Staples,111.97,82,76,31,62,"DLTR,DG,WMT,TGT,COST"
19,Health Care Distributors,Health Care,110.57,81,83,64,76,"CAH,COR,MCK,HSIC"
20,Apparel Retail,Consumer Discretionary,109.79,80,78,56,11,"ROST,TJX"
21,Aerospace & Defense,Industrials,109.77,79,65,79,83,"HII,GE,HWM,RTX,LHX,GD,BA,TXT,NOC,LMT,TDG,AXON"
22,Casinos & Gaming,Consumer Discretionary,109.5,78,81,67,80,"LVS,WYNN,MGM"
