Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,212.39,99,99,98,99,"COHR,GLW,APH"
2,Semiconductor Materials & Equipment,Information Technology,186.06,99,99,99,95,"TER,LRCX,AMAT,KLAC,Q"
3,"Technology Hardware, Storage & Peripherals",Information Technology,170.86,98,94,96,94,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
4,Communications Equipment,Information Technology,167.23,97,97,87,93,"CIEN,ANET,CSCO,FFIV,MSI"
5,Wireless Telecommunication Services,Communication Services,158.83,96,98,99,99,"SATS,TMUS"
6,Construction & Engineering,Industrials,148.13,95,96,88,98,"FIX,PWR,EME,J"
7,Semiconductors,Information Technology,141.27,94,78,90,91,"MU,MRVL,INTC,MPWR,AMD,ON,ADI,AVGO,ARM,MCHP,TXN,NVDA,NXPI,SWKS,FSLR,QCOM"
8,Steel,Materials,134.59,93,75,91,79,"STLD,NUE"
9,Construction Machinery & Heavy Transportation Equipment,Industrials,128.62,92,89,94,72,"CAT,CMI,WAB,PCAR"
10,Oil & Gas Equipment & Services,Energy,126.97,91,93,92,63,"HAL,SLB,BKR"
11,Cargo Ground Transportation,Industrials,126.19,90,83,77,19,"JBHT,ODFL"
12,Electrical Components & Equipment,Industrials,125.26,89,88,67,83,"VRT,GNRC,ETN,AME,ROK,EMR"
13,Electronic Manufacturing Services,Information Technology,125.07,88,79,79,89,"JBL,TEL"
14,Oil & Gas Refining & Marketing,Energy,124.61,87,95,66,84,"VLO,MPC,PSX"
15,Interactive Media & Services,Communication Services,119.05,86,73,95,90,"GOOGL,GOOG,META"
16,Data Center REITs,Real Estate,117.71,85,70,12,30,"EQIX,DLR"
17,Oil & Gas Exploration & Production,Energy,117.22,84,90,45,20,"APA,DVN,OXY,FANG,COP,CTRA,TPL,EOG,EQT,EXE"
18,Air Freight & Logistics,Industrials,116.48,83,82,93,49,"FDX,CHRW,EXPD,UPS"
19,Broadcasting,Communication Services,116.29,82,76,97,97,"WBD,FOXA,FOX"
20,Apparel Retail,Consumer Discretionary,114.71,81,87,73,74,"ROST,TJX"
21,Agricultural Products & Services,Consumer Staples,113.9,80,92,89,78,"BG,ADM"
22,Specialty Chemicals,Materials,112.01,79,84,85,32,"ALB,LYB,DD,PPG,ECL,IFF,SHW"
23,Integrated Oil & Gas,Energy,111.78,78,91,68,45,"XOM,CVX"
24,Food Retail,Consumer Staples,109.01,77,81,59,62,"CASY,KR"
25,Broadline Retail,Consumer Discretionary,108.32,76,50,63,82,"EBAY,AMZN"
26,Oil & Gas Storage & Transportation,Energy,108.22,75,86,49,13,"TRGP,WMB,KMI,OKE"
27,Electronic Equipment & Instruments,Information Technology,105.4,74,58,29,16,"KEYS,TDY,ZBRA,ROP"
28,Regional Banks,Financials,105.13,73,55,75,44,"CFG,KEY,FITB,RF,MTB,HBAN"
29,Diversified Banks,Financials,104.2,72,52,69,67,"C,USB,PNC,TFC,BAC,JPM,WFC"
30,Rail Transportation,Industrials,104.16,71,62,49,46,"CSX,NSC,UNP"
31,Pharmaceuticals,Health Care,102.94,70,74,70,35,"VTRS,MRK,JNJ,BMY,PFE,LLY,ZTS"
32,Biotechnology,Health Care,102.91,69,71,86,77,"MRNA,BIIB,INSM,INCY,REGN,GILD,AMGN,ABBV,VRTX,ALNY"
33,Fertilizers & Agricultural Chemicals,Materials,102.64,68,80,35,22,"CF,CTVA,MOS"
34,Automobile Manufacturers,Consumer Discretionary,101.91,67,63,83,92,"GM,F,TSLA"
35,Investment Banking & Brokerage,Financials,101.73,66,46,84,96,"MS,IBKR,GS,HOOD,SCHW,RJF"
36,Retail REITs,Real Estate,101.5,65,59,37,43,"SPG,FRT,KIM,REG,O"
37,Consumer Staples Merchandise Retail,Consumer Staples,99.89,64,69,81,49,"TGT,WMT,DG,COST,DLTR"
38,Casinos & Gaming,Consumer Discretionary,99.82,63,47,62,68,"LVS,MGM,WYNN"
39,--- Reference ---,--- Reference ---,99.41,62,85,42,52,"QQQ,SPY,^VIX"
40,Hotel & Resort REITs,Real Estate,99.36,61,51,46,34,"HST,VICI"
41,Passenger Airlines,Industrials,98.83,60,60,82,58,"DAL,LUV,UAL"
42,Industrial Gases,Materials,98.62,59,61,23,12,"APD,LIN"
43,Integrated Telecommunication Services,Communication Services,97.89,58,77,19,27,"VZ,T"
44,Independent Power Producers & Energy Traders,Utilities,97.86,57,65,64,88,"AES,NRG"
45,Multi-Utilities,Utilities,97.19,56,68,40,55,"NEE,SRE,NI,CNP,PNW,PCG,AEE,D,DTE,XEL,ED,CMS"
46,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,97.09,55,41,56,53,"MAR,HLT,EXPE,ABNB,CCL,RCL,NCLH,BKNG"
47,Industrial Machinery & Supplies & Components,Industrials,96.97,54,54,54,36,"HUBB,PH,NDSN,FTV,DOV,SNA,GWW,IEX,SWK,ITW,IR,XYL,PNR,OTIS"
48,Health Care Distributors,Health Care,96.62,53,67,76,73,"CAH,HSIC,MCK,COR"
49,Multi-line Insurance,Financials,96.46,52,42,47,51,"L,AIZ,AIG"
50,Asset Management & Custody Banks,Financials,96.34,51,28,57,48,"STT,NTRS,BK,BEN,IVZ,TROW,BLK,APO,AMP,BX,KKR,ARES"
51,Health Care REITs,Real Estate,96.32,50,66,52,60,"WELL,VTR,DOC"
52,Health Care Services,Health Care,96.22,49,53,32,54,"DVA,DGX,LH,CVS,CI"
53,Life & Health Insurance,Financials,95.75,49,35,44,37,"PFG,GL,AFL,MET,PRU"
54,Electric Utilities,Utilities,95.73,48,64,34,65,"ETR,EIX,AEP,EVRG,FE,LNT,DUK,PPL,WEC,EXC,CEG,ES,SO,VST,PEG"
55,Health Care Facilities,Health Care,95.71,47,56,72,85,"HCA,UHS"
56,Property & Casualty Insurance,Financials,95.22,46,44,39,31,"CB,TRV,CINF,HIG,ALL,ACGL,WRB,PGR"
57,Tobacco,Consumer Staples,94.69,45,57,61,56,"MO,PM"
58,Aerospace & Defense,Industrials,93.89,44,72,80,80,"HWM,HII,LHX,RTX,LMT,TXT,BA,GE,NOC,GD,TDG,AXON"
59,Health Care Supplies,Health Care,93.52,43,43,16,10,"ALGN,WST,COO"
60,Construction Materials,Materials,93.4,42,40,60,71,"CRH,VMC,MLM"
61,Consumer Finance,Financials,93.3,41,22,57,81,"SYF,AXP,COF"
62,Automotive Retail,Consumer Discretionary,92.83,40,26,78,70,"CVNA,ORLY,AZO"
63,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,92.74,39,49,55,64,"TPR,RL,LULU,NKE"
64,Interactive Home Entertainment,Communication Services,91.98,38,38,71,87,"EA,TTWO"
65,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,91.97,37,49,50,47,"MNST,PEP,KO,KDP"
66,Self-Storage REITs,Real Estate,91.25,36,37,18,40,"PSA,EXR"
67,Building Products,Industrials,90.42,35,39,27,28,"JCI,TT,MAS,CARR,AOS,ALLE,LII,BLDR"
