ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ALL,2026-03-12,203.3629,215.6588,215.6588,202.71,-2.12,-2.15,-1.42,-4.24,-2.54,-2.44,-1.23
ALL,2026-03-27,201.7734,215.6588,215.6588,202.71,-2.12,-2.15,-1.42,-4.24,-2.54,-2.44,-1.23
APD,2026-02-13,275.1161,296.46,296.46,292.19,19.15,-0.33,3.98,5.78,19.72,11.47,1.6
AZO,2026-03-03,3596.6164,3887.03,3887.03,3316.71,-2.21,-2.33,1.03,-9.38,-4.03,-19.81,-9.91
BBY,2026-02-20,63.0471,73.42,73.42,62.98,-5.9,-0.36,0.29,0.19,-9.69,-13.99,-12.42
BBY,2026-02-23,61.7421,73.42,73.42,62.98,-5.9,-0.36,0.29,0.19,-9.69,-13.99,-12.42
CAH,2026-03-06,216.2219,233.6,233.6,206.58,0.78,-0.54,-0.6,-9.05,-0.21,39.48,56.12
CAH,2026-03-20,207.3231,233.6,233.6,206.58,0.78,-0.54,-0.6,-9.05,-0.21,39.48,56.12
CAH,2026-03-24,204.2145,233.6,233.6,206.58,0.78,-0.54,-0.6,-9.05,-0.21,39.48,56.12
CFG,2026-02-12,64.7563,68.79,68.79,57.78,-0.38,-1.33,1.33,-9.52,-2.8,11.01,42.64
CFG,2026-02-27,60.103,68.79,68.79,57.78,-0.38,-1.33,1.33,-9.52,-2.8,11.01,42.64
CI,2026-03-03,274.7225,296.1684,296.1684,261.96,-4.3,-3.72,-0.33,-8.8,-4.17,-6.75,-16.73
COST,2026-03-06,970.2565,1028.4399,1028.4399,983.86,14.25,0.43,1.19,-0.29,13.0,4.59,6.4
DAL,2026-03-02,62.5795,76.183,76.183,64.83,-6.33,-3.04,2.19,-8.06,-8.39,14.92,36.52
DAL,2026-03-05,60.368,76.183,76.183,64.83,-6.33,-3.04,2.19,-8.06,-8.39,14.92,36.52
DAL,2026-03-06,58.8245,76.183,76.183,64.83,-6.33,-3.04,2.19,-8.06,-8.39,14.92,36.52
DAL,2026-03-09,57.4467,76.183,76.183,64.83,-6.33,-3.04,2.19,-8.06,-8.39,14.92,36.52
DVA,2026-03-13,146.8105,159.42,159.42,154.43,35.93,-1.49,3.43,1.24,34.98,18.55,2.02
EIX,2026-03-20,69.0894,75.5,75.5,70.3,18.85,-0.66,0.79,-5.47,18.69,34.0,29.32
EQIX,2026-03-09,920.4643,987.5178,987.5178,963.0,26.38,-0.04,0.4,1.58,27.62,24.43,18.56
FAST,2026-03-20,43.6922,48.45,48.45,44.95,12.63,-0.35,2.72,-1.6,8.05,-5.05,19.07
FCX,2026-03-03,63.0087,69.75,69.75,56.24,11.01,0.73,7.97,-17.75,8.59,60.11,37.44
FCX,2026-03-06,58.87,69.75,69.75,56.24,11.01,0.73,7.97,-17.75,8.59,60.11,37.44
FCX,2026-03-09,57.0805,69.75,69.75,56.24,11.01,0.73,7.97,-17.75,8.59,60.11,37.44
FCX,2026-03-19,51.513,69.75,69.75,56.24,11.01,0.73,7.97,-17.75,8.59,60.11,37.44
FFIV,2026-03-27,279.9498,304.0,304.0,281.98,10.47,-3.81,-0.81,1.61,7.49,-12.97,3.35
FIS,2026-03-27,46.1812,52.07,52.07,46.89,-28.84,-1.1,-5.82,-7.36,-29.59,-25.41,-35.51
FIX,2026-03-05,1309.3098,1499.2212,1499.2212,1366.77,46.52,0.6,0.74,-4.92,42.73,75.0,296.58
FIX,2026-03-09,1238.2171,1499.2212,1499.2212,1366.77,46.52,0.6,0.74,-4.92,42.73,75.0,296.58
FRT,2026-03-09,105.6098,110.89,110.89,102.87,3.21,-0.8,-0.27,-5.14,1.67,6.18,10.4
FRT,2026-03-20,102.8667,110.89,110.89,102.87,3.21,-0.8,-0.27,-5.14,1.67,6.18,10.4
FTV,2026-03-06,55.9914,62.3518,62.3518,53.92,-2.23,-1.62,-2.35,-9.73,-2.67,13.36,-4.4
FTV,2026-03-12,54.2549,62.3518,62.3518,53.92,-2.23,-1.62,-2.35,-9.73,-2.67,13.36,-4.4
GD,2026-01-28,345.059,369.7,369.7,346.76,3.42,-2.4,0.28,-1.13,0.81,7.79,31.11
GD,2026-03-19,345.4354,369.7,369.7,346.76,3.42,-2.4,0.28,-1.13,0.81,7.79,31.11
GL,2026-03-06,139.7963,152.71,152.71,135.11,-3.21,-2.66,-1.24,-7.51,-5.66,-5.17,4.36
GL,2026-03-09,138.455,152.71,152.71,135.11,-3.21,-2.66,-1.24,-7.51,-5.66,-5.17,4.36
GM,2026-02-23,78.3623,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GM,2026-02-27,78.0848,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GM,2026-03-02,77.1986,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GM,2026-03-03,75.7088,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GM,2026-03-06,73.8613,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GM,2026-03-09,72.964,87.413,87.413,72.98,-10.04,-3.47,0.23,-9.45,-11.74,20.98,44.7
GWW,2026-03-09,1091.9016,1218.63,1218.63,1057.0699,4.96,-0.79,1.45,-4.38,2.75,11.54,7.92
GWW,2026-03-13,1066.0748,1218.63,1218.63,1057.0699,4.96,-0.79,1.45,-4.38,2.75,11.54,7.92
