ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ABNB,2026-01-14,2026-04-17,2026-04-20,140.5448,132.7253,-5.56%,156.1838,132.7253,PENDING,,,143.59,5.8,1.44,10.18,9.79,9.9,16.84,27.48
ADI,2026-03-03,2026-04-17,2026-04-20,374.0614,337.955,-9.65%,446.2741,337.955,PENDING,,,381.05,40.95,2.58,8.87,22.75,27.31,58.77,119.9
ADM,2026-02-03,2026-03-02,2026-03-03,68.44,64.39,-5.92%,76.54,64.39,PENDING,,,68.37,19.82,1.98,-2.08,-0.39,5.68,10.44,53.44
AEE,2026-03-19,2026-04-09,2026-04-10,113.99,108.6264,-4.71%,124.7171,108.6264,PENDING,,,111.27,12.18,-1.28,-0.46,1.56,7.72,7.24,16.82
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,133.28,16.5,-0.28,-0.88,3.54,11.98,15.2,30.03
AES,2025-12-17,2026-01-02,2026-01-05,14.7948,13.2368,-10.53%,17.9108,13.2368,PENDING,,,14.48,2.17,0.07,0.56,2.33,3.25,0.12,53.7
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,191.66,22.74,0.84,6.08,8.74,11.76,47.61,14.64
ALL,2026-03-12,2026-04-15,2026-04-16,217.12,203.3629,-6.34%,244.6342,203.3629,PENDING,,,215.15,3.89,-0.47,0.03,5.43,12.46,11.48,12.95
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,166.85,27.34,1.6,9.76,22.45,28.51,14.27,132.16
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,296.15,21.52,1.49,-0.84,4.88,11.39,18.56,16.37
CAT,2026-03-03,2026-04-10,2026-04-13,788.42,710.0125,-9.94%,945.235,710.0125,PENDING,,,798.4,39.69,0.47,0.84,15.94,23.71,48.36,178.96
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,329.99,6.04,-0.25,0.0,1.96,10.04,23.39,16.49
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,77.04,10.99,-0.91,-1.8,-0.53,8.28,4.62,9.98
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,80.29,20.05,-0.06,-3.86,2.84,15.55,32.27,36.95
DELL,2026-03-31,2026-04-13,2026-04-14,185.55,156.9476,-15.41%,242.7547,156.9476,PENDING,,,204.24,62.96,3.91,7.61,30.29,70.19,36.05,149.56
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,221.9,13.92,1.29,1.21,4.92,7.65,34.25,38.5
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,36.77,59.13,3.29,-8.33,-1.92,34.95,72.41,42.91
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,109.67,11.29,-0.44,-1.98,-1.81,6.47,10.27,1.7
EIX,2026-03-20,2026-04-09,2026-04-10,75.81,68.2651,-9.95%,90.8998,68.2651,PENDING,,,70.58,20.77,-0.24,-2.5,-0.64,14.49,27.79,32.74
EQIX,2026-03-09,2026-04-01,2026-04-02,989.8,920.4643,-7.01%,1128.4714,920.4643,PENDING,,,1103.97,44.88,1.41,4.46,13.26,38.44,37.4,45.06
ETN,2025-12-12,2026-02-11,2026-02-12,398.7566,329.4281,-17.39%,537.4135,329.4281,PENDING,,,407.57,28.36,0.33,1.04,13.14,18.94,9.15,53.29
ETR,2026-03-19,2026-03-27,2026-03-30,111.54,102.3872,-8.21%,129.8456,102.3872,PENDING,,,113.66,23.78,-1.61,-1.45,9.35,18.66,19.94,42.0
FCX,2026-03-03,2026-04-17,2026-04-20,69.535,62.8703,-9.58%,82.8645,62.8703,PENDING,,,70.18,38.83,-0.04,3.39,31.17,19.8,69.09,113.07
FFIV,2026-03-27,2026-04-06,2026-04-07,307.2,279.9498,-8.87%,361.7005,279.9498,PENDING,,,314.0,23.01,1.01,5.34,8.16,17.07,6.31,21.24
FIX,2026-03-05,2026-04-08,2026-04-09,1531.51,1309.3098,-14.51%,1975.9104,1309.3098,PENDING,,,1680.09,80.11,1.79,3.21,16.3,50.09,100.53,382.54
FRT,2026-03-09,2026-04-14,2026-04-15,109.98,104.4862,-5.00%,120.9676,104.4862,PENDING,,,112.33,13.91,-0.18,3.06,6.82,9.52,17.13,27.6
HLT,2026-03-06,2026-04-17,2026-04-20,339.86,292.0818,-14.06%,435.4163,292.0818,PENDING,,,342.89,19.43,0.55,4.78,15.13,14.03,33.32,64.35
HST,2026-03-09,2026-04-14,2026-04-15,20.84,18.3579,-11.91%,25.8042,18.3579,PENDING,,,21.29,21.36,0.8,5.03,12.65,15.74,35.5,67.61
HSY,2026-01-23,2026-02-04,2026-02-05,217.4223,188.0843,-13.49%,276.0984,188.0843,PENDING,,,191.45,5.89,-0.61,-3.12,-9.08,-2.56,3.96,20.15
HUBB,2026-02-27,2026-04-09,2026-04-10,537.17,505.426,-5.91%,600.6579,505.426,PENDING,,,546.23,23.33,1.99,1.19,10.88,11.94,28.15,63.23
IBKR,2026-02-05,2026-04-15,2026-04-16,80.2,68.9865,-13.98%,102.6271,68.9865,PENDING,,,81.25,26.48,-0.56,8.99,20.03,10.87,18.85,106.88
