,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
2,^VIX,False,33,82,26,0,14,0,0.0,17.658234485655967,0.0
31,CTSH,True,53,78,4,38,0,2,81.39401512596174,0.0,76.27707565996063
32,CMCSA,True,21,65,17,14,0,9,27.124050288645794,0.0,30.660637214100234
34,CPRT,True,1,52,6,0,0,2,37.65508805617081,0.0,43.51865714501947
37,CRWD,False,39,57,31,0,27,0,0.0,522.7308591590778,0.0
39,DDOG,False,30,66,20,0,24,0,0.0,156.50614400277593,0.0
60,LIN,True,22,51,14,20,0,2,429.24784831534384,0.0,465.6691932914634
68,MSTR,True,2,64,6,0,0,2,151.82599334375587,0.0,319.5730703150223
76,ODFL,True,31,55,14,24,0,3,161.64016614094348,0.0,144.6549253606472
91,SNPS,True,32,62,45,21,0,21,488.36553972170947,0.0,593.5392980258365
95,TXN,True,33,59,10,14,0,6,174.64829762824127,0.0,192.7535946660365
97,VRSK,True,12,55,7,2,0,3,217.75020354375658,0.0,242.62294691347472
120,MO,True,3,59,12,1,0,4,56.36203076279719,0.0,63.38570141567136
127,AMP,True,29,99,13,20,0,10,484.6625448864036,0.0,522.1778085157729
155,XYZ,True,13,53,4,5,0,2,65.39260838305891,0.0,74.49672646587351
181,CF,True,9,54,15,4,0,7,77.0727452537913,0.0,85.00411707974266
186,CB,False,6,51,6,0,31,0,0.0,307.190395515771,0.0
196,COIN,True,8,56,18,5,0,8,231.2158823400165,0.0,350.786468376921
230,DUK,True,1,53,25,0,0,18,114.77828154946906,0.0,124.95163375314868
265,FSLR,False,6,129,11,0,47,0,0.0,248.11273711772185,0.0
326,JCI,False,7,52,7,0,23,0,0.0,116.71162243784144,0.0
344,LYV,True,29,52,28,18,0,18,141.07843622617395,0.0,164.6194978704595
358,MCK,False,30,57,49,0,31,0,0.0,855.2161999325687,0.0
371,MSI,True,19,59,42,16,0,24,372.6034518359977,0.0,467.5767972317236
377,NWS,True,7,66,8,5,0,4,29.786832726293664,0.0,32.97513809300717
469,TSCO,False,93,61,10,0,36,0,0.0,60.32106537897581,0.0
490,VRSN,True,4,70,18,2,0,10,240.128230438153,0.0,280.1188806802959
