Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,LITE,Information Technology,Communications Equipment,S&P 500,560.05,99,99,99,99,821.5599975585938,887.9000244140625,814.4600219726562,858.3200073242188
2,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,402.97,99,99,99,99,424.35198974609375,441.989990234375,410.04998779296875,412.760009765625
3,CIEN,Information Technology,Communications Equipment,S&P 500,335.05,99,99,99,98,480.1400146484375,482.5400085449219,468.3100891113281,475.3900146484375
4,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,328.65,99,99,99,99,667.97998046875,697.0,632.0,643.2999877929688
5,MU,Information Technology,Semiconductors,S&P 500,289.54,99,98,99,98,526.0,531.0,508.80010986328125,518.4600219726562
6,INTC,Information Technology,Semiconductors,S&P 500,280.29,99,94,97,97,86.13999938964844,94.94999694824219,85.87000274658203,94.75
7,COHR,Information Technology,Electronic Components,S&P 500,228.74,98,98,98,92,308.4549865722656,311.4800109863281,298.1700134277344,304.92999267578125
8,SATS,Communication Services,Wireless Telecommunication Services,S&P 500,228.66,98,99,99,99,123.33999633789062,123.7699966430664,119.48999786376953,119.77999877929688
9,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,208.33,98,99,98,97,314.5350036621094,335.0,301.86029052734375,306.3299865722656
10,FIX,Industrials,Construction & Engineering,S&P 500,208.26,98,98,97,97,1720.199951171875,1756.3499755859375,1713.5899658203125,1724.1400146484375
11,GLW,Information Technology,Electronic Components,S&P 500,192.47,98,98,97,96,155.52999877929688,155.52999877929688,148.1699981689453,151.89999389648438
12,VRT,Industrials,Electrical Components & Equipment,S&P 500,188.69,97,98,90,95,307.04998779296875,309.9700012207031,299.79998779296875,306.17999267578125
13,MRVL,Technology,Semiconductors,Nasdaq 100,184.87,97,85,18,67,153.76499938964844,157.2100067138672,151.3135986328125,156.57000732421875
14,ALB,Materials,Specialty Chemicals,S&P 500,184.01,97,97,98,82,191.97999572753906,191.9600067138672,186.75999450683594,190.8800048828125
15,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,174.89,97,97,98,97,253.1699981689453,253.82000732421875,241.60000610351562,248.75
16,APA,Energy,Oil & Gas Exploration & Production,S&P 500,173.81,97,97,86,73,39.724998474121094,40.38999938964844,39.310001373291016,40.31999969482422
17,AMD,Information Technology,Semiconductors,S&P 500,169.47,96,87,95,97,326.5799865722656,340.1700134277344,318.8599853515625,337.1099853515625
18,ON,Information Technology,Semiconductors,S&P 500,168.87,96,83,82,32,99.55999755859375,101.25499725341797,97.33999633789062,98.86000061035156
19,KEYS,Information Technology,Electronic Equipment & Instruments,S&P 500,168.78,96,95,86,66,333.9800109863281,337.1400146484375,330.70001220703125,335.4599914550781
20,GEV,Industrials,Heavy Electrical Equipment,S&P 500,168.73,96,97,94,86,1091.7900390625,1107.5,1047.5001220703125,1063.1099853515625
21,MPWR,Information Technology,Semiconductors,S&P 500,157.76,96,90,94,90,1550.9599609375,1554.4100341796875,1507.3399658203125,1526.8399658203125
22,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,154.58,95,96,96,88,384.3190002441406,386.0050048828125,377.07000732421875,382.5899963378906
23,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,154.4,95,95,95,94,822.9299926757812,823.2100219726562,809.0999755859375,810.0499877929688
24,DELL,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,154.18,95,90,24,90,206.05999755859375,207.9250030517578,203.27999877929688,205.66000366210938
25,WBD,Communication Services,Broadcasting,S&P 500,151.49,95,96,98,99,27.149999618530273,27.200000762939453,26.9950008392334,27.049999237060547
26,VLO,Energy,Oil & Gas Refining & Marketing,S&P 500,151.13,95,96,83,89,243.69000244140625,251.89999389648438,242.1199951171875,251.3000030517578
27,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,150.22,94,94,94,96,1829.31005859375,1840.0,1786.4000244140625,1816.2099609375
28,HAL,Energy,Oil & Gas Equipment & Services,S&P 500,146.56,94,95,90,80,41.099998474121094,41.82500076293945,40.880001068115234,41.810001373291016
29,JBL,Information Technology,Electronic Manufacturing Services,S&P 500,145.7,94,88,83,83,334.0899963378906,335.0,327.4599914550781,333.8599853515625
30,GNRC,Industrials,Electrical Components & Equipment,S&P 500,143.58,94,90,55,39,243.77000427246094,255.8800048828125,238.0,252.9199981689453
31,ARM,Technology,Semiconductors,Nasdaq 100,143.41,94,82,2,70,202.7100067138672,203.5,193.91000366210938,201.69000244140625
32,ADI,Information Technology,Semiconductors,S&P 500,141.88,94,86,93,58,392.0,394.95001220703125,386.5299987792969,389.30999755859375
33,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,140.04,93,89,96,83,645.3499755859375,648.5900268554688,636.6599731445312,638.9500122070312
34,PWR,Industrials,Construction & Engineering,S&P 500,139.56,93,94,82,87,632.4299926757812,636.719970703125,625.219970703125,628.5999755859375
35,FDX,Industrials,Air Freight & Logistics,S&P 500,138.7,93,92,91,59,390.7799987792969,395.2200012207031,383.0199890136719,388.5899963378906
36,DOW,Materials,Commodity Chemicals,S&P 500,138.35,93,96,59,7,38.59000015258789,39.70000076293945,38.5099983215332,39.54999923706055
37,JBHT,Industrials,Cargo Ground Transportation,S&P 500,136.16,93,87,89,71,250.91000366210938,252.7449951171875,243.0800018310547,246.30999755859375
38,CHRW,Industrials,Air Freight & Logistics,S&P 500,135.35,92,87,96,95,187.42999267578125,190.0500030517578,185.5399932861328,186.42999267578125
39,NUE,Materials,Steel,S&P 500,134.37,92,79,87,62,226.0,226.88999938964844,220.7100067138672,222.38999938964844
40,STLD,Materials,Steel,S&P 500,134.09,92,84,88,79,227.0050048828125,228.9600067138672,223.3000030517578,224.3699951171875
41,DVN,Energy,Oil & Gas Exploration & Production,S&P 500,133.9,92,92,79,37,50.07500076293945,51.29999923706055,49.89099884033203,51.08000183105469
42,VTRS,Health Care,Pharmaceuticals,S&P 500,133.69,92,88,93,61,14.8100004196167,15.09000015258789,14.699999809265137,14.970000267028809
43,BKR,Energy,Oil & Gas Equipment & Services,S&P 500,133.37,91,90,84,67,68.6500015258789,69.20999908447266,67.36000061035156,68.80999755859375
44,GOOGL,Communication Services,Interactive Media & Services,S&P 500,133.11,91,86,95,96,347.56500244140625,355.7900085449219,344.2099914550781,349.94000244140625
45,ASML,Technology,Industrial Machinery,Nasdaq 100,132.18,91,94,97,94,1386.489990234375,1399.699951171875,1374.9200439453125,1394.0799560546875
46,TXN,Information Technology,Semiconductors,S&P 500,131.95,91,58,87,16,269.625,272.4200134277344,267.57000732421875,269.2200012207031
47,Q,Information Technology,Semiconductor Materials & Equipment,S&P 500,131.95,91,85,44,55,139.3300018310547,142.0,137.3699951171875,141.3000030517578
48,LYB,Materials,Specialty Chemicals,S&P 500,131.38,90,96,27,3,72.63999938964844,73.9000015258789,71.81009674072266,73.29000091552734
49,GOOG,Communication Services,Interactive Media & Services,S&P 500,131.38,90,86,95,95,345.4800109863281,353.3900146484375,342.42999267578125,347.30999755859375
50,MPC,Energy,Oil & Gas Refining & Marketing,S&P 500,131.35,90,93,49,80,235.92999267578125,245.2949981689453,235.3426055908203,241.80999755859375
51,SLB,Energy,Oil & Gas Equipment & Services,S&P 500,130.92,90,91,88,48,56.47999954223633,56.869998931884766,55.18000030517578,55.70000076293945
52,CF,Materials,Fertilizers & Agricultural Chemicals,S&P 500,130.59,90,95,43,45,124.08000183105469,127.30999755859375,123.11360168457031,126.77999877929688
53,CASY,Consumer Staples,Food Retail,S&P 500,130.56,89,91,85,69,786.0679931640625,786.47998046875,771.4400024414062,781.5
54,OXY,Energy,Oil & Gas Exploration & Production,S&P 500,128.82,89,93,41,20,59.34000015258789,60.78499984741211,58.61000061035156,60.7599983215332
55,TRGP,Energy,Oil & Gas Storage & Transportation,S&P 500,128.67,89,91,76,21,250.0,250.93499755859375,248.05999755859375,250.13999938964844
56,CNC,Health Care,Managed Health Care,S&P 500,128.57,89,6,51,22,50.58000183105469,54.619998931884766,50.5,53.97999954223633
57,ROST,Consumer Discretionary,Apparel Retail,S&P 500,128.04,89,93,82,67,225.05999755859375,227.0749969482422,224.74000549316406,225.0800018310547
58,CTRA,Energy,Oil & Gas Exploration & Production,S&P 500,127.81,88,89,64,62,35.0,35.869998931884766,34.91999816894531,35.68000030517578
