,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
30,CTSH,True,58,78,4,41,0,2,81.5549586279912,0.0,76.27707565996066,84.61000061035156,-0.936662003812464,23.571553766597333,10.581897995845551,9.596165380089612
34,CSGP,False,113,47,24,0,33,0,0.0,91.26566967368528,0.0,66.26000213623047,1.5790261019316532,-13.780086594870605,-27.186810839307178,-10.65264446570579
42,EA,True,81,2,36,51,0,15,203.70824574142642,0.0,167.44368452813077,204.3800048828125,0.2255819527254396,2.005108842782073,33.21874253741697,43.32675637567009
66,MSFT,False,54,36,13,0,19,0,0.0,515.4015635556597,0.0,451.1400146484375,-7.1575563504690525,-12.687016485860191,-10.50518378910665,6.060207767564807
71,NFLX,False,63,10,19,0,4,0,0.0,117.75870061128927,0.0,83.54000091552734,-11.494860201589313,-32.70230033601049,-29.009670525536634,-3.9416812073265626
80,PYPL,False,70,5,48,0,3,0,0.0,69.0784075452633,0.0,57.150001525878906,-4.44741646269209,-18.226821090478623,-25.277698668452903,-36.19013058391142
85,ROP,False,62,11,26,0,1,0,0.0,496.6031046139623,0.0,407.4800109863281,-8.241816050347099,-20.641626795225246,-26.574840755399613,-22.723938618558748
91,TMUS,False,103,25,8,0,12,0,0.0,249.17859907401967,0.0,185.38999938964844,-5.764243676188525,-18.670994406978686,-20.076461295917465,-14.21823005734238
95,TRI,False,58,10,49,0,8,0,0.0,155.98075404262184,0.0,121.8499984741211,-7.429921785233044,-24.00113728559906,-39.65431875045388,-23.861751243464226
99,WBD,True,64,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648,28.360000610351562,2.124595401016437,39.49828193202315,113.07287540392335,190.27634883901626
101,WDAY,False,52,36,1,0,13,0,0.0,230.77432998218723,0.0,188.17999267578125,-13.927645577903505,-23.401313111757602,-21.9267337556221,-24.94416410355284
116,ALGN,True,76,45,6,31,0,4,163.091022111544,0.0,193.43853620270235,168.9199981689453,7.121564813033632,24.005283112031233,-17.24881490797036,-25.912281504848544
128,AME,True,65,17,39,44,0,18,210.6149837666499,0.0,184.3078573857112,221.9199981689453,9.164250823005622,18.038154803900618,22.809579380064378,20.960422703425607
140,T,False,83,33,19,0,11,0,0.0,27.76307447619305,0.0,23.579999923706055,-1.215517812425913,-8.420523408611057,-13.10525418695494,9.438544921089184
159,BMY,True,57,2,19,36,0,5,53.788600148584635,0.0,42.418632687718315,54.939998626708984,2.5821410151679522,24.807496392398853,15.053673160831272,1.1840669174572518
179,CNC,True,58,13,39,27,0,23,43.42561610745839,0.0,35.726900256330886,45.41999816894531,16.401839149410506,25.817174761116462,54.384765639561806,-28.652217596900115
206,CTVA,True,51,42,12,27,0,5,67.89902023811753,0.0,71.65602182065018,71.55999755859375,7.91735815607733,15.784115580285432,-2.671283068840717,14.534507483015377
210,CMI,True,58,13,73,36,0,48,558.3423958680901,0.0,421.78976149057746,583.0700073242188,15.067494063701108,40.102794152769526,62.59842074066131,61.97880291239106
212,DHR,True,79,27,19,36,0,9,229.4203410767445,0.0,202.53217906723194,240.0800018310547,6.925978931470294,8.897204468791347,21.702500226057076,-1.0330717049472886
214,DVA,False,57,2,58,0,0,0,0.0,125.34466659684325,0.0,109.16999816894531,-5.23437407902543,-14.983260606230568,-27.85488178371726,-35.77101995357996
226,DOV,True,65,33,7,34,0,4,198.0633642569475,0.0,175.11138828209653,209.42999267578125,6.737671632208214,21.368786109993238,10.329847176341453,6.738626225473422
231,DD,True,59,12,6,30,0,2,41.653152844871066,0.0,32.056797427357,43.790000915527344,6.131853361403934,29.65799334772461,38.09094239096242,36.27126981977003
255,EXPD,True,56,30,31,38,0,19,157.8955917389369,0.0,120.71191068485093,160.8000030517578,5.187419498830562,33.55969297030201,40.03924297509086,44.36670348147939
262,FDX,True,60,11,34,44,0,14,300.54178322445773,0.0,233.7682691914342,309.80999755859375,7.282359882330103,28.231753175082563,31.73329748419781,15.085236512518025
271,FOX,True,60,13,7,33,0,1,64.78668816100785,0.0,54.191383801994476,65.02999877929688,2.2484282067359636,23.937482878574706,25.908351416987664,43.944311078424
290,HAS,True,62,32,18,24,0,10,83.40782117364967,0.0,78.12891082460807,88.75,8.258107301594569,19.704127270427843,17.601244531216196,59.31628150344825
300,HST,True,52,5,6,20,0,3,18.078492139718232,0.0,15.859986640541202,18.809999465942383,3.6033085043875515,15.177016865000114,16.864896674622887,15.79446759310629
306,HII,True,196,5,22,95,0,15,391.40411072547124,0.0,191.11049140760835,424.1400146484375,25.992156663663014,48.162085775300376,61.210275861469,108.07818034334602
368,TAP,True,51,10,8,21,0,3,47.603286334158305,0.0,45.141307676325596,49.7599983215332,4.362411919136739,8.033002516408335,-2.541224631965556,-7.406514849983943
388,NUE,True,60,34,11,31,0,5,170.10593335350603,0.0,141.78023080496638,180.27000427246094,13.656719461967413,28.725201371217977,25.254276515658724,46.48453785860608
