Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,428.99,99,99,99,99,658.4600219726562,664.9998779296875,612.4099731445312,643.8300170898438
2,MU,Information Technology,Semiconductors,S&P 500,421.33,99,99,99,99,1082.8699951171875,1083.3199462890625,991.10009765625,1048.510009765625
3,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,355.69,99,99,99,99,1027.4300537109375,1035.85986328125,953.0599975585938,993.25
4,INTC,Information Technology,Semiconductors,S&P 500,345.5,99,99,93,94,132.91799926757812,136.0800018310547,127.94999694824219,131.64999389648438
5,LITE,Information Technology,Communications Equipment,S&P 500,329.89,99,99,99,99,824.7449951171875,866.4299926757812,803.3300170898438,842.530029296875
6,MRVL,Information Technology,Semiconductors,S&P 500,288.33,99,98,82,57,281.4949951171875,281.5350036621094,263.6600036621094,276.70001220703125
7,DELL,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,267.32,98,97,92,52,421.7650146484375,440.3800048828125,418.5201110839844,434.05999755859375
8,AMD,Information Technology,Semiconductors,S&P 500,249.88,98,98,87,97,521.0919799804688,524.9600219726562,503.5,519.739990234375
9,COHR,Information Technology,Electronic Components,S&P 500,236.76,98,98,98,98,385.1000061035156,396.9999084472656,365.30999755859375,392.5
10,CIEN,Information Technology,Communications Equipment,S&P 500,234.28,98,99,99,99,449.3599853515625,480.5899963378906,440.7001037597656,463.510009765625
11,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,225.18,98,98,99,97,423.06500244140625,433.0,413.7701110839844,427.20001220703125
12,ARM,Technology,Semiconductors,Nasdaq 100,222.67,97,97,77,4,373.6400146484375,374.55999755859375,344.2099914550781,359.0799865722656
13,FLEX,Information Technology,Electronic Manufacturing Services,S&P 500,218.6,97,98,86,91,151.8300018310547,153.39830017089844,146.5,150.72000122070312
14,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,215.05,97,97,97,98,366.864990234375,376.9800109863281,361.4100036621094,374.79998779296875
15,GLW,Information Technology,Electronic Components,S&P 500,208.06,97,97,98,96,194.4199981689453,217.08999633789062,190.92999267578125,205.8300018310547
16,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,207.22,97,96,96,92,584.594970703125,594.2650146484375,569.5,588.969970703125
17,FIX,Industrials,Construction & Engineering,S&P 500,194.04,96,96,98,98,1921.300048828125,1999.9798583984375,1891.02001953125,1954.469970703125
18,HPE,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,186.35,96,96,78,73,48.2400016784668,50.20000076293945,47.650001525878906,48.75
19,ON,Information Technology,Semiconductors,S&P 500,179.64,96,97,75,57,117.13500213623047,117.13999938964844,111.20999908447266,115.73999786376953
20,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,176.96,96,96,93,94,242.11000061035156,245.3000030517578,235.0,240.47999572753906
21,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,164.66,96,95,94,93,981.6099853515625,1004.8699951171875,970.0501098632812,994.4500122070312
22,VRT,Industrials,Electrical Components & Equipment,S&P 500,159.37,95,96,98,92,323.7300109863281,323.6700134277344,308.2799987792969,316.42999267578125
23,GNRC,Industrials,Electrical Components & Equipment,S&P 500,152.03,95,91,89,16,271.32000732421875,287.6700134277344,270.1499938964844,284.1400146484375
24,MRNA,Health Care,Biotechnology,S&P 500,151.91,95,90,97,41,61.17499923706055,62.75,59.849998474121094,60.41999816894531
25,FTNT,Information Technology,Systems Software,S&P 500,151.38,95,92,24,10,147.6999969482422,148.82000732421875,144.57000732421875,145.27999877929688
26,HUM,Health Care,Managed Health Care,S&P 500,151.16,95,88,4,48,361.92999267578125,365.625,353.05999755859375,361.6400146484375
27,CNC,Health Care,Managed Health Care,S&P 500,150.61,94,88,8,29,63.79999923706055,63.959999084472656,61.71500015258789,62.970001220703125
28,DDOG,Information Technology,Application Software,S&P 500,150.45,94,95,27,44,218.1999969482422,225.6898956298828,218.0,222.64999389648438
29,ASML,Technology,Industrial Machinery,Nasdaq 100,145.66,94,92,93,89,1750.4150390625,1779.64990234375,1730.2900390625,1762.77001953125
30,KEYS,Information Technology,Electronic Equipment & Instruments,S&P 500,145.6,94,95,95,82,350.0,359.0810852050781,348.0,351.29998779296875
31,CSCO,Information Technology,Communications Equipment,S&P 500,143.3,93,93,76,78,120.31999969482422,122.88999938964844,119.02999877929688,119.7300033569336
32,NUE,Materials,Steel,S&P 500,143.3,93,92,75,86,242.72000122070312,244.19000244140625,238.38999938964844,240.52000427246094
33,PANW,Information Technology,Systems Software,S&P 500,142.38,93,90,11,27,289.57000732421875,291.0,284.2799987792969,285.260009765625
34,TXN,Information Technology,Semiconductors,S&P 500,141.99,93,94,58,22,303.1300048828125,307.82000732421875,300.07000732421875,303.1099853515625
35,Q,Information Technology,Semiconductor Materials & Equipment,S&P 500,140.12,93,93,84,12,162.16000366210938,165.58999633789062,156.1699981689453,158.72999572753906
36,JBHT,Industrials,Cargo Ground Transportation,S&P 500,139.39,93,91,86,90,270.4200134277344,272.260009765625,267.1199951171875,269.05999755859375
37,STLD,Materials,Steel,S&P 500,139.18,92,92,78,88,243.61000061035156,245.1678009033203,239.5189971923828,241.42999267578125
38,PWR,Industrials,Construction & Engineering,S&P 500,137.31,92,94,94,82,705.7999877929688,711.3300170898438,687.5999755859375,701.8800048828125
39,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,136.28,92,90,88,92,693.5999755859375,708.3099975585938,688.0604858398438,694.8699951171875
40,DVA,Health Care,Health Care Services,S&P 500,136.08,92,87,80,3,211.60000610351562,214.0,210.94000244140625,213.0399932861328
41,MPWR,Information Technology,Semiconductors,S&P 500,136.07,92,95,88,83,1423.02001953125,1446.9599609375,1393.1500244140625,1434.949951171875
42,CRWD,Information Technology,Systems Software,S&P 500,135.51,92,92,15,63,680.9199829101562,687.1463012695312,669.0,673.02001953125
43,GEV,Industrials,Heavy Electrical Equipment,S&P 500,135.22,91,94,96,95,1046.1600341796875,1070.0999755859375,1023.0800170898438,1057.6500244140625
44,JBL,Information Technology,Electronic Manufacturing Services,S&P 500,134.27,91,95,87,87,370.0,386.8699951171875,365.0,371.79998779296875
45,ADI,Information Technology,Semiconductors,S&P 500,133.62,91,91,86,80,407.2200012207031,414.4599914550781,404.0,413.1600036621094
46,DAL,Industrials,Passenger Airlines,S&P 500,129.97,91,84,75,89,88.43000030517578,90.70999908447266,87.63999938964844,90.6500015258789
47,IBKR,Financials,Investment Banking & Brokerage,S&P 500,129.96,91,81,71,77,93.70999908447266,95.26000213623047,92.16000366210938,92.79000091552734
48,VTRS,Health Care,Pharmaceuticals,S&P 500,128.82,90,89,88,86,15.899999618530273,16.094999313354492,15.8100004196167,15.930000305175781
49,STT,Financials,Asset Management & Custody Banks,S&P 500,127.39,90,87,66,84,173.19000244140625,174.49000549316406,167.99000549316406,168.8699951171875
50,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,126.57,90,85,43,38,156.32000732421875,157.55999755859375,151.36000061035156,155.55999755859375
