,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
24,BKNG,False,1,29,64,0,18,0,0.0,5265.732743602083,0.0
80,PAYX,False,9,14,92,0,4,0,0.0,111.86997847261813,0.0
105,AOS,True,33,35,71,13,0,21,66.76388518851061,0.0,70.84862870500955
160,BR,False,10,19,65,0,3,0,0.0,224.28059697470053,0.0
174,CAT,True,8,11,81,5,0,41,592.6190730850248,0.0,573.8509960401428
210,CMI,True,53,13,73,31,0,48,538.3282316173368,0.0,421.7897614943441
214,DVA,False,52,2,58,0,0,0,0.0,125.34466659684325,0.0
216,DECK,False,3,30,56,0,20,0,0.0,102.76559136646206,0.0
237,ELV,True,40,14,51,21,0,19,355.8964219019005,0.0,339.0417443438868
238,EME,True,23,29,91,4,0,52,611.2829522632161,0.0,673.4789677557014
286,GDDY,False,22,28,127,0,6,0,0.0,125.31530431818801,0.0
325,JNJ,True,23,2,51,4,0,28,203.3956445690753,0.0,201.53642850878285
328,KVUE,False,8,38,52,0,19,0,0.0,16.9537132419803,0.0
331,KMB,False,27,6,65,0,3,0,0.0,102.98113533366315,0.0
352,MLM,True,33,22,82,15,0,39,619.7143414816068,0.0,617.94764923813
354,MA,False,2,30,56,0,14,0,0.0,560.5662797898284,0.0
381,NDSN,True,34,6,67,15,0,20,252.39086177767143,0.0,227.84158551700008
383,NTRS,True,33,33,107,26,0,50,139.51084706402906,0.0,127.7097188026729
385,NCLH,True,24,49,66,15,0,29,22.337719241756155,0.0,24.626499088602145
415,PTC,False,9,7,73,0,1,0,0.0,170.30436884201288,0.0
426,RSG,False,26,13,78,0,6,0,0.0,211.56510606153913,0.0
437,SRE,True,2,26,59,0,0,27,86.24241517226328,0.0,89.99181140245783
461,TDY,True,28,38,74,16,0,31,526.9760926248352,0.0,575.1175967231167
485,UNH,True,29,23,55,11,0,31,329.5949894177071,0.0,349.20379200576247
503,WAT,True,8,14,51,5,0,28,380.1485896538539,0.0,385.6721344509147
507,WST,True,34,7,80,6,0,28,265.90245988300063,0.0,265.54419313004973
