ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
A,2025-11-18,2025-11-24,2025-11-25,150.511,142.1177,-5.58%,167.2976,142.1177,LOSS,2025-12-08,142.1177,110.24,-18.84,-2.86,-0.95,-8.87,-20.16,-9.21,-7.32
ACN,2026-01-02,2026-01-08,2026-01-09,281.96,258.6812,-8.26%,328.5175,258.6812,LOSS,2026-01-29,258.6812,192.6,-28.21,-1.94,-3.7,-7.13,-28.66,-17.18,-37.48
AMAT,2025-11-13,2025-11-25,2025-11-26,242.5275,219.6993,-9.41%,288.1841,219.6993,WIN,2026-01-06,288.1841,337.17,31.36,-0.41,-5.57,-10.26,29.45,69.47,125.77
APA,2025-12-15,2026-02-06,2026-02-09,27.46,24.7383,-9.91%,32.9034,24.7383,WIN,2026-03-06,32.9034,44.39,83.21,3.71,13.5,52.54,83.96,86.17,121.25
ASML,2026-02-04,2026-02-24,2026-02-25,1522.4,1329.5196,-12.67%,1908.1609,1329.5196,LOSS,2026-03-03,1329.5196,1302.47,21.9,-2.03,-1.12,-11.02,22.4,37.59,86.16
BAC,2025-11-14,2025-12-11,2025-12-12,54.4721,51.4812,-5.49%,60.4538,51.4812,LOSS,2026-01-14,51.4812,46.97,-14.12,-2.63,-0.4,-9.68,-16.03,-8.43,12.16
BDX,2025-10-30,2025-11-25,2025-11-26,151.5666,139.2938,-8.10%,176.1121,139.2938,WIN,2026-02-11,176.1121,154.51,1.92,-1.82,0.25,-11.98,0.85,10.12,-11.77
BEN,2025-11-07,2025-12-19,2025-12-22,23.6357,21.8914,-7.38%,27.1243,21.8914,WIN,2026-02-02,27.1243,22.75,-4.77,-3.56,-3.03,-17.06,-4.62,-0.08,21.38
BG,2025-12-23,2026-01-09,2026-01-12,99.7568,87.8469,-11.94%,123.5767,87.8469,WIN,2026-02-13,123.5767,128.72,45.33,2.35,8.95,7.79,45.97,64.27,78.85
BIIB,2025-10-30,2025-11-12,2025-11-13,161.57,143.511,-11.18%,197.688,143.511,WIN,2026-02-06,197.688,183.84,4.46,-3.78,1.31,-2.22,4.26,35.51,29.07
CBOE,2025-12-10,2026-01-12,2026-01-13,262.5716,247.686,-5.67%,292.3429,247.686,WIN,2026-02-23,292.3429,273.0,9.03,-2.43,-3.86,-6.37,6.92,12.17,25.92
