Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,176.29,98,97,97,67,"LRCX,TER,KLAC,AMAT"
2,Broadcasting,Communication Services,148.66,97,98,95,92,"WBD,FOXA,FOX"
3,Electronic Components,Information Technology,147.42,96,96,98,93,"APH,GLW"
4,"Technology Hardware, Storage & Peripherals",Information Technology,129.72,95,94,94,80,"WDC,STX,AAPL,HPE,DELL,NTAP,SMCI,HPQ"
5,Construction Machinery & Heavy Transportation Equipment,Industrials,125.64,94,88,70,62,"CMI,CAT,PCAR,WAB"
6,Construction & Engineering,Industrials,123.83,93,87,93,95,"FIX,EME,PWR,J"
7,Electronic Manufacturing Services,Information Technology,123.04,92,86,89,96,"TEL,JBL"
8,Air Freight & Logistics,Industrials,121.96,91,82,43,20,"CHRW,EXPD,FDX,UPS"
9,Semiconductors,Information Technology,119.86,90,77,90,68,"MU,INTC,AMD,MPWR,ADI,AVGO,MCHP,FSLR,NVDA,ON,NXPI,TXN,MRVL,QCOM,SWKS,ARM"
10,Automobile Manufacturers,Consumer Discretionary,119.03,89,95,92,58,"GM,F,TSLA"
11,Steel,Materials,118.83,88,93,68,46,"NUE,STLD"
12,Investment Banking & Brokerage,Financials,118.67,87,92,96,97,"HOOD,GS,MS,IBKR,SCHW,RJF"
13,Oil & Gas Equipment & Services,Energy,117.32,86,59,44,32,"HAL,SLB,BKR"
14,Aerospace & Defense,Industrials,115.42,85,65,78,82,"HII,HWM,RTX,GE,LHX,BA,GD,NOC,LMT,TXT,TDG,AXON"
15,Interactive Media & Services,Communication Services,115.32,84,79,86,65,"GOOGL,GOOG,MTCH,META"
16,Consumer Staples Merchandise Retail,Consumer Staples,115.17,83,83,50,57,"DG,DLTR,WMT,TGT,COST"
17,Passenger Airlines,Industrials,114.85,82,89,74,74,"LUV,DAL,UAL"
18,Health Care Distributors,Health Care,111.74,81,84,65,60,"CAH,COR,HSIC,MCK"
19,Biotechnology,Health Care,110.9,80,85,82,34,"INSM,MRNA,INCY,AZN,REGN,BIIB,AMGN,GILD,ABBV,ALNY,VRTX"
20,Apparel Retail,Consumer Discretionary,110.66,79,91,67,26,"ROST,TJX"
21,Agricultural Products & Services,Consumer Staples,109.91,78,70,79,11,"BG,ADM"
22,Regional Banks,Financials,109.86,77,73,47,61,"CFG,KEY,FITB,RF,MTB,HBAN"
23,Specialty Chemicals,Materials,108.83,76,58,18,15,"ALB,DD,ECL,SHW,PPG,IFF,LYB"
24,Diversified Banks,Financials,108.53,75,78,60,71,"C,PNC,USB,TFC,WFC,JPM,BAC"
25,Life Sciences Tools & Services,Health Care,108.5,74,66,57,16,"CRL,IQV,TMO,MTD,TECH,WAT,DHR,A"
26,Cargo Ground Transportation,Industrials,107.79,73,74,20,9,"JBHT,ODFL"
27,Consumer Finance,Financials,107.77,72,80,77,84,"SYF,COF,AXP"
28,Casinos & Gaming,Consumer Discretionary,106.68,71,81,59,79,"LVS,WYNN,MGM"
29,Pharmaceuticals,Health Care,106.02,70,68,31,8,"VTRS,LLY,JNJ,MRK,BMY,PFE,ZTS"
30,Oil & Gas Refining & Marketing,Energy,105.76,69,60,72,54,"VLO,PSX,MPC"
31,Other Specialty Retail,Consumer Discretionary,105.48,68,69,56,76,"ULTA,TSCO"
32,Asset Management & Custody Banks,Financials,105.46,67,61,49,75,"IVZ,BK,NTRS,STT,BEN,BLK,ARES,TROW,APO,BX,KKR,AMP"
33,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,104.51,66,75,71,91,"TPR,RL,NKE,LULU"
34,Automotive Retail,Consumer Discretionary,104.04,65,72,84,89,"CVNA,ORLY,AZO"
35,Broadline Retail,Consumer Discretionary,103.82,64,48,80,78,"EBAY,AMZN"
36,Health Care Facilities,Health Care,103.57,63,90,83,2,"HCA,UHS"
37,Electrical Components & Equipment,Industrials,103.15,62,50,69,81,"ROK,EMR,AME,GNRC,ETN"
38,Construction Materials,Materials,102.91,61,64,75,47,"CRH,MLM,VMC"
39,Integrated Oil & Gas,Energy,102.47,60,40,42,35,"XOM,CVX"
40,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,101.89,59,63,62,88,"EXPE,MAR,HLT,CCL,RCL,ABNB,BKNG,NCLH"
41,Independent Power Producers & Energy Traders,Utilities,101.52,58,71,88,94,"NRG,AES"
42,Interactive Home Entertainment,Communication Services,101.24,57,76,91,64,"EA,TTWO"
43,Industrial Machinery & Supplies & Components,Industrials,100.99,56,45,30,35,"PH,NDSN,SWK,HUBB,DOV,XYL,IEX,SNA,IR,FTV,PNR,ITW,GWW,OTIS"
44,Industrial Conglomerates,Industrials,100.21,55,47,51,55,"MMM,HON"
45,Health Care REITs,Real Estate,100.0,54,67,55,41,"WELL,VTR,DOC"
46,Tobacco,Consumer Staples,98.36,53,41,66,59,"PM,MO"
47,Trading Companies & Distributors,Industrials,98.03,52,36,73,85,"URI,FAST"
48,Personal Care Products,Consumer Staples,97.05,51,46,19,49,"EL,KVUE,PG"
49,IT Consulting & Other Services,Information Technology,96.56,50,49,4,7,"EPAM,CTSH,IBM,ACN,IT"
50,Home Improvement Retail,Consumer Discretionary,96.28,49,28,38,17,"LOW,HD"
51,--- Reference ---,--- Reference ---,96.05,48,53,63,40,"QQQ,SPY,^VIX"
52,Hotel & Resort REITs,Real Estate,95.51,47,44,35,43,"HST,VICI"
53,Life & Health Insurance,Financials,95.18,46,57,33,27,"PFG,GL,PRU,AFL,MET"
54,Rail Transportation,Industrials,94.94,45,62,54,53,"NSC,CSX,UNP"
55,Multi-line Insurance,Financials,94.71,44,68,53,28,"AIZ,L,AIG"
56,Financial Exchanges & Data,Financials,94.17,43,33,26,69,"NDAQ,CBOE,MCO,SPGI,ICE,CME,MSCI,COIN,FDS"
57,Homebuilding,Consumer Discretionary,93.7,42,31,37,10,"PHM,DHI,LEN,NVR"
58,Retail REITs,Real Estate,93.56,41,39,46,21,"SPG,O,FRT,REG,KIM"
59,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,93.26,40,56,41,25,"MNST,KO,PEP,KDP"
60,Health Care Supplies,Health Care,93.04,39,51,2,5,"COO,ALGN,WST"
61,Multi-Utilities,Utilities,92.97,38,52,58,39,"SRE,NEE,D,NI,CNP,AEE,XEL,ED,PNW,DTE,CMS,PCG"
62,Communications Equipment,Information Technology,92.74,37,34,76,77,"CSCO,ANET,FFIV,MSI"
63,Health Care Equipment,Health Care,92.44,36,42,34,38,"IDXX,STE,RVTY,EW,HOLX,GEHC,ISRG,MDT,BDX,RMD,PODD,ABT,SYK,DXCM,BSX,ZBH,BAX"
64,Electric Utilities,Utilities,92.24,35,54,64,56,"EIX,AEP,FE,ES,ETR,EVRG,LNT,PPL,EXC,WEC,CEG,DUK,VST,SO,PEG"
65,Oil & Gas Exploration & Production,Energy,91.78,34,35,22,18,"APA,DVN,COP,CTRA,FANG,OXY,EXE,EQT,TPL,EOG"
66,Oil & Gas Storage & Transportation,Energy,91.19,33,30,15,33,"TRGP,WMB,KMI,OKE"
