ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
AEP,2026-05-13,127.059,138.4346,138.4346,137.0,20.62,1.51,6.81,4.66,7.56,21.35,36.85
AES,2026-06-17,14.5814,14.74,14.74,14.66,4.72,-0.14,0.34,-0.07,5.55,8.34,47.22
AMP,2026-05-21,450.3206,485.2877,485.2877,453.29,-6.94,-1.66,-3.96,-0.49,0.68,-7.99,-11.89
APP,2026-06-09,511.8378,622.0,622.0,445.93,-33.82,-4.09,-7.0,-13.28,2.12,-39.21,27.6
APP,2026-06-11,475.2111,622.0,622.0,445.93,-33.82,-4.09,-7.0,-13.28,2.12,-39.21,27.6
APP,2026-06-25,420.5976,622.0,622.0,445.93,-33.82,-4.09,-7.0,-13.28,2.12,-39.21,27.6
AXON,2026-06-18,405.2571,515.8,515.8,444.73,-21.69,-2.63,5.13,15.42,-3.35,-25.9,-44.01
CCL,2026-06-23,27.8062,31.6,31.6,28.46,-5.81,-1.56,-4.85,6.55,11.29,-10.66,11.93
COP,2026-06-15,111.9707,121.52,121.52,106.41,15.41,-0.48,-4.32,-8.72,-16.85,15.78,22.99
CRWD,2026-06-04,678.6519,785.66,785.66,678.65,44.78,0.84,-0.63,1.06,75.88,40.47,39.82
CRWD,2026-06-09,626.2263,785.66,785.66,678.65,44.78,0.84,-0.63,1.06,75.88,40.47,39.82
CSCO,2026-06-09,117.1976,130.37,130.37,118.97,56.11,-0.63,1.4,0.54,46.17,53.96,79.27
DASH,2026-05-13,148.3942,191.17,191.17,176.91,-21.89,-0.57,6.79,14.88,15.69,-24.68,-25.09
DASH,2026-06-11,146.7021,191.17,191.17,176.91,-21.89,-0.57,6.79,14.88,15.69,-24.68,-25.09
DGX,2026-06-18,193.5993,209.79,209.79,206.24,19.91,1.54,4.29,6.93,5.44,18.0,16.71
DXCM,2026-06-22,68.749,78.91,78.91,68.65,3.44,-1.58,-3.62,-4.67,2.71,1.81,-21.61
EIX,2026-04-13,71.832,76.22,76.22,74.75,27.9,0.71,5.43,4.93,6.27,26.61,54.1
EIX,2026-05-18,67.8271,76.22,76.22,74.75,27.9,0.71,5.43,4.93,6.27,26.61,54.1
F,2026-06-05,14.7877,17.78,17.78,14.11,10.08,1.95,1.07,-7.9,22.43,7.3,37.99
FANG,2026-05-06,192.2517,213.3366,213.3366,182.55,22.83,-0.51,-1.58,-6.45,-6.36,24.38,34.38
FANG,2026-05-07,186.9795,213.3366,213.3366,182.55,22.83,-0.51,-1.58,-6.45,-6.36,24.38,34.38
FANG,2026-06-15,184.167,213.3366,213.3366,182.55,22.83,-0.51,-1.58,-6.45,-6.36,24.38,34.38
FDX,2026-06-24,310.8101,344.0783,344.0783,329.44,42.64,3.98,1.46,2.59,14.78,40.73,81.6
FFIV,2026-06-18,375.8208,411.52,411.52,386.01,51.22,0.32,0.29,-2.77,29.59,48.24,30.45
FLEX,2026-06-09,142.7963,166.86,166.86,161.28,166.93,7.01,12.68,12.59,130.33,152.87,236.63
FSLR,2026-06-09,258.9046,320.95,320.95,248.64,-4.82,0.11,-2.42,-7.89,28.49,-12.63,64.47
FTNT,2026-06-09,135.3961,150.07,150.07,149.93,88.8,3.2,4.02,11.92,90.05,83.42,43.58
GEN,2026-06-22,22.6863,27.81,27.81,23.31,-13.35,-1.06,-2.59,-5.86,20.36,-15.01,-19.08
GM,2026-02-23,78.1928,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-02-27,77.9159,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-03-02,77.0316,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-03-03,75.545,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-03-06,73.7015,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-03-09,72.8062,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
GM,2026-05-19,71.7296,87.224,87.224,78.53,-2.99,-0.53,-1.32,-1.37,2.73,-4.99,61.73
J,2026-06-22,118.2586,137.3351,137.3351,124.39,-5.55,1.93,1.25,7.37,-3.99,-7.79,-2.98
J,2026-06-23,117.1791,137.3351,137.3351,124.39,-5.55,1.93,1.25,7.37,-3.99,-7.79,-2.98
LYB,2026-04-08,72.486,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-05-29,65.8417,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-05,64.393,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-08,63.6934,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-09,62.9652,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-15,60.9327,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-18,59.2562,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-22,58.2658,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-24,55.9903,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
LYB,2026-06-25,54.862,83.071,83.071,55.84,31.89,-0.5,-9.66,-18.24,-26.9,30.98,3.13
ON,2026-06-09,109.9016,134.92,134.92,118.74,119.28,2.59,5.15,-6.5,88.18,110.64,119.04
PCG,2026-05-18,15.8475,18.92,18.92,17.08,6.59,-0.23,3.89,4.02,-1.78,7.52,21.76
