ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ABNB,2026-01-14,2026-04-17,2026-04-20,141.0,132.7253,-5.87%,157.5494,132.7253,PENDING,,,140.28,3.36,0.89,-2.7,13.96,6.64,8.69,13.77
ADI,2026-03-03,2026-04-17,2026-04-20,373.02,337.955,-9.40%,443.1499,337.955,PENDING,,,389.31,44.0,1.58,2.07,28.44,22.95,61.27,104.03
ADM,2026-02-03,2026-03-02,2026-03-03,68.44,64.39,-5.92%,76.54,64.39,PENDING,,,74.27,30.16,2.02,6.97,3.51,11.02,21.83,60.02
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,134.44,17.51,-0.85,2.14,2.53,13.75,17.34,29.76
AES,2025-12-17,2026-01-02,2026-01-05,14.7948,13.2368,-10.53%,17.9108,13.2368,PENDING,,,14.45,1.96,-0.21,0.0,3.07,-3.75,2.19,49.92
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,178.4,14.25,0.63,-9.0,7.3,8.17,31.51,-1.49
ALL,2026-03-12,2026-04-15,2026-04-16,217.12,203.3629,-6.34%,244.6342,203.3629,PENDING,,,212.33,2.52,-1.88,-0.85,2.44,8.15,10.98,10.8
AMZN,2025-12-15,2026-04-24,2026-04-27,263.46,222.5218,-15.54%,345.3363,222.5218,PENDING,,,263.04,13.96,1.29,3.01,30.9,8.24,15.89,40.14
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,168.68,28.73,2.05,-5.09,45.25,12.34,7.57,115.4
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,302.5,24.13,-0.28,1.93,4.4,18.96,19.89,15.28
BEN,2026-02-27,2026-04-28,2026-04-29,29.855,26.0167,-12.86%,37.5315,26.0167,PENDING,,,29.45,25.07,-0.03,7.13,30.43,16.45,29.56,66.23
BKR,2026-03-03,2026-04-24,2026-04-27,70.0,62.0701,-11.33%,85.8598,62.0701,PENDING,,,68.81,51.67,1.68,10.03,13.4,21.97,48.92,93.88
CAT,2026-03-03,2026-04-10,2026-04-13,786.9218,708.6633,-9.94%,943.4389,708.6633,PENDING,,,810.05,42.0,-0.96,0.15,21.6,26.16,54.34,166.66
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,325.75,4.68,-1.39,0.1,0.12,7.59,15.99,16.17
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,74.73,7.66,-1.57,-0.33,-3.21,4.86,1.7,6.18
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,79.37,18.68,0.54,0.03,-4.32,8.9,24.76,30.19
DELL,2026-03-31,2026-04-13,2026-04-14,184.9777,156.4635,-15.41%,242.0059,156.4635,PENDING,,,205.66,64.6,-0.13,-4.19,25.29,75.84,27.75,121.01
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,222.25,14.1,-0.84,2.81,9.59,8.14,25.52,31.9
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,39.55,71.17,4.05,1.91,-5.54,44.05,57.84,40.99
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,108.88,10.49,-0.68,0.69,-3.98,4.33,10.41,1.25
ESS,2026-02-12,2026-04-28,2026-04-29,269.33,248.0423,-7.90%,311.9053,248.0423,PENDING,,,264.92,3.35,-1.1,5.05,10.37,9.08,3.09,-0.73
ETN,2025-12-12,2026-02-11,2026-02-12,398.7566,329.4281,-17.39%,537.4135,329.4281,PENDING,,,410.77,29.37,-0.56,-0.75,19.57,18.64,8.81,44.52
ETR,2026-03-19,2026-03-27,2026-03-30,111.54,102.3872,-8.21%,129.8456,102.3872,PENDING,,,114.67,24.88,1.33,3.8,3.25,19.64,19.35,38.46
FANG,2026-04-01,2026-04-29,,,189.0193,,,,PENDING,,,205.32,37.4,2.63,5.91,3.36,28.87,44.02,53.04
FFIV,2026-03-27,2026-04-06,2026-04-07,307.2,279.9498,-8.87%,361.7005,279.9498,PENDING,,,328.15,28.56,8.02,5.45,17.31,12.26,13.0,23.8
FIX,2026-03-05,2026-04-08,2026-04-09,1531.51,1309.3098,-14.51%,1975.9104,1309.3098,PENDING,,,1724.14,84.83,0.29,-0.02,35.42,47.56,76.77,338.39
FRT,2026-03-09,2026-04-14,2026-04-15,109.98,104.4862,-5.00%,120.9676,104.4862,PENDING,,,110.61,12.17,-1.58,0.44,7.03,12.0,11.96,22.09
GL,2026-03-06,2026-04-23,2026-04-24,154.63,139.4678,-9.81%,184.9544,139.4678,PENDING,,,152.54,9.54,-0.09,0.85,12.06,10.36,13.49,24.47
HAL,2026-04-08,2026-04-29,,,36.7708,,,,PENDING,,,41.81,48.66,2.45,6.9,6.5,25.94,57.76,108.02
HLT,2026-03-06,2026-04-17,2026-04-20,339.86,292.0818,-14.06%,435.4163,292.0818,PENDING,,,314.5,9.54,-2.74,-5.75,6.3,6.19,18.26,42.23
HST,2026-03-09,2026-04-14,2026-04-15,20.84,18.3579,-11.91%,25.8042,18.3579,PENDING,,,21.06,20.05,0.57,1.01,12.26,15.43,30.41,59.04
HUBB,2026-02-27,2026-04-09,2026-04-10,537.17,505.426,-5.91%,600.6579,505.426,PENDING,,,545.93,23.26,0.22,-0.69,15.65,12.7,26.56,54.39
IBKR,2026-02-05,2026-04-15,2026-04-16,80.2,68.9865,-13.98%,102.6271,68.9865,PENDING,,,77.05,19.94,-0.57,-1.36,20.98,2.23,11.14,82.92
JBL,2026-03-09,2026-03-25,2026-03-26,277.07,235.6857,-14.94%,359.8387,235.6857,PENDING,,,333.86,46.46,0.92,-0.76,34.9,37.08,58.17,128.45
KEYS,2026-03-30,2026-04-08,2026-04-09,318.0,268.0822,-15.70%,417.8355,268.0822,PENDING,,,335.46,65.1,0.95,-1.04,24.52,51.45,99.95,133.06
LIN,2026-03-24,2026-04-24,2026-04-27,510.28,475.4228,-6.83%,579.9944,475.4228,PENDING,,,504.71,18.77,-1.09,2.04,1.09,12.16,14.26,14.18
MAR,2026-03-06,2026-04-17,2026-04-20,375.36,319.3706,-14.92%,487.3388,319.3706,PENDING,,,353.95,14.31,-1.22,-3.59,10.85,13.64,31.07,50.8
MGM,2026-01-05,2026-04-15,2026-04-16,38.2,35.844,-6.17%,42.912,35.844,PENDING,,,39.27,7.62,-1.18,0.08,10.25,19.91,19.33,21.92
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,,45.72,55.04,-3.01,-17.77,-5.2,0.93,71.49,66.5
NDAQ,2026-03-27,2026-04-27,2026-04-28,90.71,81.3211,-10.35%,109.4877,81.3211,PENDING,,,91.27,-5.74,-0.04,5.67,9.28,-7.24,3.44,23.01
NEE,2026-03-20,2026-04-23,2026-04-24,97.24,89.4624,-8.00%,112.7952,89.4624,PENDING,,,94.17,18.1,-2.42,4.63,2.3,8.27,10.95,46.5
NTRS,2026-02-12,2026-04-16,2026-04-17,158.68,142.0693,-10.47%,191.9014,142.0693,PENDING,,,164.83,21.35,-1.24,-1.79,20.99,10.32,32.14,82.66
NUE,2026-02-13,2026-04-20,2026-04-21,202.66,180.7145,-10.83%,246.551,180.7145,PENDING,,,222.39,36.81,-1.21,3.79,35.45,28.85,55.32,93.67
NXPI,2026-03-03,2026-04-29,,,212.6079,,,,PENDING,,,289.25,33.95,25.55,28.13,54.36,21.13,31.82,50.21
ON,2026-03-02,2026-04-16,2026-04-17,80.34,64.357,-19.89%,112.306,64.357,PENDING,,,98.86,82.57,5.96,11.09,77.61,52.26,87.66,146.9
ORCL,2026-04-09,2026-04-16,2026-04-17,182.93,136.5478,-25.36%,275.6944,136.5478,PENDING,,,163.83,-15.43,-1.28,-12.62,18.45,-4.86,-41.42,18.08
PFE,2026-02-03,2026-02-06,2026-02-09,27.18,25.3501,-6.73%,30.8398,25.3501,PENDING,,,26.26,7.23,-0.83,-2.01,-5.44,1.55,9.69,22.2
PFG,2026-02-10,2026-04-22,2026-04-23,96.48,92.6519,-3.97%,104.1362,92.6519,PENDING,,,99.63,13.96,-0.43,2.26,12.92,6.89,27.53,40.09
Q,2025-12-15,2026-02-10,2026-02-11,110.5491,76.4433,-30.85%,178.7606,76.4433,PENDING,,,141.3,73.17,2.7,1.47,31.92,38.04,48.48,
REG,2026-03-09,2026-04-14,2026-04-15,79.44,76.1511,-4.14%,86.0178,76.1511,PENDING,,,79.38,16.12,-1.16,0.48,6.0,13.77,10.76,15.08
RL,2026-03-02,2026-04-20,2026-04-21,389.37,350.1765,-10.07%,467.757,350.1765,PENDING,,,359.45,1.93,-2.02,-4.22,10.06,2.11,7.04,63.85
SBAC,2025-12-03,2026-04-06,2026-04-07,211.15,184.047,-12.84%,265.356,184.047,PENDING,,,215.97,12.41,-0.74,1.94,27.17,18.07,10.82,-1.11
SLB,2025-12-16,2026-01-05,2026-01-06,44.0204,37.3466,-15.16%,57.3681,37.3466,PENDING,,,55.7,45.98,0.09,2.48,8.09,14.65,56.17,68.34
SNA,2026-03-09,2026-04-23,2026-04-24,391.8,366.2202,-6.53%,442.9596,366.2202,PENDING,,,378.46,10.53,0.25,-1.03,6.13,2.92,10.82,25.49
SRE,2025-12-08,2026-02-13,2026-02-17,94.5111,86.8494,-8.11%,109.8345,86.8494,PENDING,,,92.64,5.66,-0.28,0.28,-4.08,7.5,0.85,26.28
STLD,2026-02-13,2026-04-20,2026-04-21,211.99,188.3959,-11.13%,259.1782,188.3959,PENDING,,,224.37,32.82,-1.14,-1.36,31.02,29.07,42.85,77.74
TGT,2026-04-13,2026-04-17,2026-04-20,127.85,117.8345,-7.83%,147.8809,117.8345,PENDING,,,127.87,32.14,0.57,-2.09,7.65,26.96,33.78,38.77
TPR,2026-01-20,2026-02-05,2026-02-06,145.0411,127.958,-11.78%,179.2074,127.958,PENDING,,,141.6,11.12,-1.56,-3.13,3.42,12.68,23.92,107.41
TSN,2026-01-05,2026-01-20,2026-01-21,60.6399,56.3948,-7.00%,69.1301,56.3948,PENDING,,,63.58,9.34,-0.83,-1.5,-0.28,-0.78,24.14,9.52
TT,2025-12-12,2026-02-04,2026-02-05,440.1483,389.3621,-11.54%,541.7208,389.3621,PENDING,,,479.37,23.47,-0.29,0.46,18.68,21.9,12.2,37.39
