Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,CIEN,Information Technology,Communications Equipment,S&P 500,378.55,99,99,99,99,455.45001220703125,459.79998779296875,432.7699890136719,434.260009765625
2,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,367.1,99,99,99,99,301.9800109863281,311.5899963378906,299.1401062011719,304.1499938964844
3,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,276.23,99,99,99,98,450.8800048828125,470.2300109863281,450.0,453.29998779296875
4,SATS,Communication Services,Wireless Telecommunication Services,S&P 500,257.07,99,99,99,99,129.1699981689453,129.5,125.67790222167969,126.94999694824219
5,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,244.04,99,98,98,90,312.20001220703125,315.8500061035156,305.92999267578125,315.42999267578125
6,MU,Information Technology,Semiconductors,S&P 500,242.76,99,99,99,98,373.29998779296875,385.0768127441406,370.6099853515625,377.760009765625
7,COHR,Information Technology,Electronic Components,S&P 500,239.65,98,99,98,91,262.79998779296875,267.5899963378906,249.77499389648438,253.22000122070312
8,FIX,Industrials,Construction & Engineering,S&P 500,226.0,98,98,98,98,1417.18994140625,1435.83984375,1394.9840087890625,1434.0899658203125
9,GLW,Information Technology,Electronic Components,S&P 500,218.44,98,98,94,97,147.41000366210938,149.39990234375,141.71719360351562,146.5
10,VRT,Industrials,Electrical Components & Equipment,S&P 500,200.64,98,97,92,96,262.92999267578125,266.5,258.6000061035156,258.7300109863281
11,APA,Energy,Oil & Gas Exploration & Production,S&P 500,194.91,98,95,66,67,41.88999938964844,43.11000061035156,41.75,43.02000045776367
12,ALB,Materials,Specialty Chemicals,S&P 500,184.99,97,97,98,81,177.0,179.60000610351562,170.2899932861328,173.02999877929688
13,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,180.95,97,97,98,95,220.1999969482422,221.55990600585938,216.5449981689453,220.64999389648438
14,GEV,Industrials,Heavy Electrical Equipment,S&P 500,169.74,97,96,92,96,901.8300170898438,911.4998779296875,887.0001220703125,897.3599853515625
15,WBD,Communication Services,Broadcasting,S&P 500,169.29,97,98,99,98,27.350000381469727,27.4950008392334,27.310100555419922,27.40999984741211
16,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,164.51,97,97,95,71,351.0199890136719,353.4949951171875,345.8299865722656,352.6199951171875
17,INTC,Information Technology,Semiconductors,S&P 500,163.28,96,96,97,97,50.880001068115234,52.3849983215332,49.869998931884766,50.779998779296875
18,KEYS,Information Technology,Electronic Equipment & Instruments,S&P 500,161.87,96,95,84,43,294.6199951171875,296.0,288.6231994628906,292.9200134277344
19,MRNA,Health Care,Biotechnology,S&P 500,158.3,96,98,68,2,49.06999969482422,49.79999923706055,48.20000076293945,48.77000045776367
20,VLO,Energy,Oil & Gas Refining & Marketing,S&P 500,157.77,96,95,85,78,242.47000122070312,245.63999938964844,239.4600067138672,245.5800018310547
21,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,154.14,96,96,93,92,716.739990234375,722.5700073242188,704.27001953125,721.239990234375
22,DOW,Materials,Commodity Chemicals,S&P 500,152.34,95,86,19,0,40.45000076293945,41.06829833984375,39.939998626708984,40.560001373291016
23,LYB,Materials,Specialty Chemicals,S&P 500,150.97,95,89,6,1,78.11000061035156,79.34559631347656,77.01000213623047,78.62000274658203
24,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,150.8,95,93,96,83,1522.010009765625,1541.999267578125,1517.4100341796875,1540.06005859375
25,CF,Materials,Fertilizers & Agricultural Chemicals,S&P 500,149.87,95,92,14,39,130.11500549316406,134.375,130.1699981689453,130.97999572753906
26,BG,Consumer Staples,Agricultural Products & Services,S&P 500,148.62,95,92,73,43,129.22999572753906,131.92999267578125,127.66000366210938,128.47000122070312
27,MPWR,Information Technology,Semiconductors,S&P 500,148.35,94,88,88,91,1128.030029296875,1182.5699462890625,1128.030029296875,1180.030029296875
28,NEM,Materials,Gold,S&P 500,148.26,94,97,97,97,113.62000274658203,114.69000244140625,112.0999984741211,112.83000183105469
29,DELL,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,148.04,94,82,34,92,175.8300018310547,176.5,172.7899932861328,173.17999267578125
30,HAL,Energy,Oil & Gas Equipment & Services,S&P 500,144.22,94,93,84,23,38.2599983215332,38.5,37.650001525878906,37.81999969482422
31,PWR,Industrials,Construction & Engineering,S&P 500,143.58,94,94,77,87,558.5599975585938,563.0999755859375,550.0,554.3800048828125
