ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price
A,2007-07-26,24.3069,25.6418,25.6418
A,2008-06-24,23.0068,24.1066,24.1066
A,2008-06-25,22.8486,24.1066,24.1066
A,2008-06-26,22.6433,24.1066,24.1066
A,2008-08-01,22.4128,24.1066,24.1066
A,2008-08-19,22.3349,24.1066,24.1066
A,2009-02-17,11.0493,12.713,12.713
A,2010-05-04,22.3697,23.745,23.745
A,2010-05-05,22.0343,23.745,23.745
A,2011-07-08,31.3568,35.1004,35.1004
A,2011-07-18,28.683,35.1004,35.1004
A,2012-03-22,27.593,29.1816,29.1816
A,2014-07-09,36.825,38.6612,38.6612
A,2014-07-10,36.5957,38.6612,38.6612
A,2015-04-28,38.2614,39.9209,39.9209
A,2015-04-29,38.0315,39.9209,39.9209
A,2015-04-30,37.8371,39.9209,39.9209
A,2015-05-29,37.4527,39.9209,39.9209
A,2015-07-27,35.5529,39.9209,39.9209
A,2022-12-15,147.0472,156.5124,156.5124
A,2025-02-10,141.0506,152.6115,152.6115
A,2025-02-11,140.213,152.6115,152.6115
AAPL,2020-09-04,112.2393,133.9603,133.9603
AAPL,2021-01-29,127.7157,141.1061,141.1061
AAPL,2021-02-18,124.2192,141.1061,141.1061
AAPL,2022-01-06,167.9691,179.0137,179.0137
AAPL,2022-01-07,167.9691,179.0137,179.0137
AAPL,2022-01-10,166.5548,179.0137,179.0137
AAPL,2022-08-22,164.476,173.0827,173.0827
AAPL,2024-07-18,221.4387,235.4093,235.4093
AAPL,2025-02-28,233.8922,248.9151,248.9151
AAPL,2025-03-10,225.4388,248.9151,248.9151
AAPL,2025-03-11,219.8574,248.9151,248.9151
AAPL,2025-03-12,215.437,248.9151,248.9151
AAPL,2025-12-18,268.0544,288.3502,288.3502
ABBV,2014-12-11,42.2918,44.8417,44.8417
ABBV,2016-08-23,44.5715,45.8872,45.8872
ABBV,2018-03-01,80.3058,89.3223,89.3223
ABBV,2018-05-24,73.7642,76.9032,76.9032
ABBV,2018-12-10,62.4103,69.5366,69.5366
ABBV,2018-12-18,60.7625,69.5366,69.5366
ABBV,2023-01-10,141.0659,149.4154,149.4154
ABBV,2025-10-28,222.7721,241.1178,241.1178
ABNB,2021-11-22,176.7746,212.584,212.584
ABNB,2022-01-10,153.6259,212.584,212.584
