Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,203.06,98,98,98,68,"TER,LRCX,AMAT,KLAC"
2,Electronic Components,Information Technology,181.44,97,96,97,97,"GLW,APH"
3,Construction & Engineering,Industrials,152.57,96,87,93,95,"FIX,PWR,EME,J"
4,Communications Equipment,Information Technology,140.37,95,86,88,87,"CIEN,ANET,MSI,CSCO,FFIV"
5,Construction Machinery & Heavy Transportation Equipment,Industrials,135.68,94,94,84,58,"CAT,CMI,WAB,PCAR"
6,"Technology Hardware, Storage & Peripherals",Information Technology,134.59,93,95,91,82,"WDC,STX,AAPL,HPE,DELL,NTAP,SMCI,HPQ"
7,Oil & Gas Equipment & Services,Energy,134.35,92,92,60,31,"HAL,BKR,SLB"
8,Semiconductors,Information Technology,126.54,91,90,83,60,"MU,INTC,MPWR,ADI,ON,AMD,MCHP,FSLR,NVDA,TXN,AVGO,NXPI,MRVL,ARM,QCOM,SWKS"
9,Electronic Manufacturing Services,Information Technology,124.78,90,78,85,96,"JBL,TEL"
10,Cargo Ground Transportation,Industrials,124.69,89,76,28,5,"JBHT,ODFL"
11,Agricultural Products & Services,Consumer Staples,123.47,88,89,74,64,"BG,ADM"
12,Passenger Airlines,Industrials,122.69,87,81,58,89,"LUV,UAL,DAL"
13,Air Freight & Logistics,Industrials,122.55,86,93,77,27,"FDX,CHRW,UPS,EXPD"
14,Specialty Chemicals,Materials,122.42,85,84,52,16,"ALB,DD,PPG,IFF,ECL,LYB,SHW"
15,Independent Power Producers & Energy Traders,Utilities,122.07,84,63,87,85,"AES,NRG"
16,Broadcasting,Communication Services,121.26,83,97,96,79,"WBD,FOX,FOXA"
17,Steel,Materials,120.1,82,91,79,42,"STLD,NUE"
18,Aerospace & Defense,Industrials,119.88,81,79,72,78,"HII,HWM,LMT,LHX,NOC,GE,RTX,TXT,BA,GD,TDG,AXON"
19,Integrated Oil & Gas,Energy,118.58,80,67,42,56,"XOM,CVX"
20,Consumer Staples Merchandise Retail,Consumer Staples,118.43,79,80,53,57,"DG,DLTR,WMT,TGT,COST"
21,Electrical Components & Equipment,Industrials,116.92,78,64,54,65,"GNRC,AME,EMR,ROK,ETN"
22,Automobile Manufacturers,Consumer Discretionary,116.73,77,82,89,72,"GM,F,TSLA"
23,Pharmaceuticals,Health Care,116.37,76,69,71,22,"VTRS,MRK,JNJ,BMY,LLY,PFE,ZTS"
24,Biotechnology,Health Care,115.8,75,85,90,67,"MRNA,INSM,BIIB,GILD,AMGN,INCY,REGN,VRTX,ABBV,ALNY"
25,Health Care Distributors,Health Care,114.39,74,75,92,51,"CAH,MCK,COR,HSIC"
26,Oil & Gas Refining & Marketing,Energy,112.98,73,66,75,66,"VLO,PSX,MPC"
27,Other Specialty Retail,Consumer Discretionary,112.91,72,73,67,91,"ULTA,TSCO"
28,Apparel Retail,Consumer Discretionary,112.83,71,72,81,54,"ROST,TJX"
29,Oil & Gas Storage & Transportation,Energy,112.78,70,49,25,20,"TRGP,WMB,KMI,OKE"
30,Rail Transportation,Industrials,111.48,69,50,59,33,"CSX,NSC,UNP"
31,Health Care Facilities,Health Care,110.97,68,71,94,38,"HCA,UHS"
32,Oil & Gas Exploration & Production,Energy,110.08,67,45,33,35,"TPL,APA,DVN,COP,CTRA,OXY,FANG,EOG,EQT,EXE"
33,Regional Banks,Financials,109.59,66,74,49,69,"CFG,KEY,FITB,RF,MTB,HBAN"
34,Interactive Media & Services,Communication Services,109.13,65,88,95,84,"GOOGL,GOOG,META,MTCH"
35,Tobacco,Consumer Staples,107.96,64,60,41,75,"MO,PM"
36,Construction Materials,Materials,107.07,63,59,65,71,"MLM,CRH,VMC"
37,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,106.9,62,51,57,26,"MNST,PEP,KO,KDP"
38,Industrial Machinery & Supplies & Components,Industrials,106.78,61,55,37,23,"PH,NDSN,HUBB,SWK,DOV,IEX,IR,ITW,SNA,GWW,FTV,PNR,OTIS,XYL"
39,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,106.47,60,56,55,70,"TPR,RL,NKE,LULU"
40,Personal Care Products,Consumer Staples,105.37,59,54,26,41,"EL,PG,KVUE"
41,Health Care REITs,Real Estate,104.64,58,53,76,50,"WELL,VTR,DOC"
42,Industrial Conglomerates,Industrials,104.46,57,43,51,44,"HON,MMM"
43,Data Center REITs,Real Estate,104.38,56,13,18,12,"EQIX,DLR"
44,Trading Companies & Distributors,Industrials,104.06,55,48,29,94,"URI,FAST"
45,Diversified Banks,Financials,103.98,54,68,66,73,"C,USB,PNC,TFC,WFC,BAC,JPM"
