,ticker,trade_entered,ema_10_enter_date,ema_10_enter_price,ema_10_exit_date,ema_10_exit_price,ema_10_second_exit_date,ema_10_second_exit_price,ema_10_first_exit_profit,ema_10_second_exit_profit,target_price,second_target_price,stoploss
0,EIX,False,2026-04-08,0.0,2026-04-08,0.0,2026-04-08,0.0,0.0,0.0,81.2489222899023,87.8986288337235,67.94950920225988
1,HII,True,2026-03-17,422.94000244140625,2026-03-02,0.0,2026-03-02,0.0,-100.0,-100.0,519.0281567654295,603.2749186044621,350.53463308736417
2,DG,True,2026-03-03,152.3177032470703,2026-03-12,139.3392474841029,2026-02-13,0.0,-8.520648280729002,-100.0,168.70001733842864,183.3804022655915,139.3392474841029
3,ROST,False,2026-02-09,0.0,2026-02-09,0.0,2026-02-09,0.0,0.0,0.0,204.7149486163287,214.92325639241253,184.29833306416108
4,UPS,True,2026-02-26,116.62999725341797,2026-03-06,102.1652397335797,2026-02-04,0.0,-12.402261734096342,-100.0,120.07548363778402,129.0306055898862,102.1652397335797
5,COHR,True,2026-02-06,227.67999267578125,2026-02-09,242.4600067138672,2026-02-25,267.8999938964844,6.491573486271513,17.665145166258345,232.8800048828125,265.57000732421875,167.5
6,MU,True,2025-12-18,248.34530639648438,2026-01-06,343.2857666015625,2026-01-22,397.41302490234375,38.22921462969196,60.024375201145176,328.2993658073415,396.23335280542625,192.43139181117184
7,CIEN,True,2025-12-19,230.33999633789062,2026-02-02,268.489990234375,2026-02-18,310.9599914550781,16.562470479734376,35.00043257746879,260.1199951171875,306.0699920654297,168.22000122070312
8,WDC,False,2025-10-29,0.0,2025-10-29,0.0,2025-10-29,0.0,0.0,0.0,162.07204465867807,186.9201608982054,112.37581217962334
9,ANET,False,2025-10-29,0.0,2025-10-29,0.0,2025-10-29,0.0,0.0,0.0,188.5699920654297,214.45999145507812,136.7899932861328
10,INCY,True,2025-10-14,85.95999908447266,2025-11-03,101.56999969482422,2025-11-04,102.91999816894531,18.15961002397366,19.730106171599783,94.88999938964844,101.79000091552734,81.08999633789062
11,SHOP,True,2025-10-15,156.2100067138672,2025-10-28,178.9600067138672,2025-11-04,161.13999938964844,14.563727688503084,3.156003113687595,178.51998901367188,198.0299835205078,139.5
12,IBKR,True,2025-10-13,70.35765838623047,2025-11-21,59.802012500885816,2025-09-26,0.0,-15.002838535926138,-100.0,75.8515048812778,83.87625107147379,59.802012500885816
13,RTX,True,2025-10-20,159.54739379882812,2025-10-21,171.78817749023438,2025-12-15,181.50714111328125,7.672192819921925,13.763776888854714,170.6663606542932,181.23931396001532,149.5204540428489
14,LHX,False,2025-09-11,0.0,2025-09-11,0.0,2025-09-11,0.0,0.0,0.0,287.76897154445084,298.37460740867493,266.55769981600264
15,COF,True,2025-09-04,224.60313415527344,2025-10-10,201.53681769545506,2025-08-26,0.0,-10.26981059127701,-100.0,258.5842763886366,287.1080057352274,201.53681769545506
16,HAS,True,2025-09-04,79.11441040039062,2025-09-19,72.04343812888666,2025-08-13,0.0,-8.937654007302125,-100.0,81.73896267052965,86.58672494135114,72.04343812888666
17,QQQ,True,2025-08-22,569.85400390625,2025-09-19,597.1326904296875,2025-10-27,626.4918823242188,4.786960578752953,9.9390156127229,595.369168747911,618.2341930613757,549.6391201209816
18,LRCX,True,2025-08-25,100.79349517822266,2025-09-11,115.02481079101562,2025-09-18,125.71322631835938,14.11927980831423,24.72355095542004,113.6912326676579,125.28526046466786,90.50317707363799
19,BEN,True,2025-08-22,24.34754180908203,2025-10-01,21.902240713070697,2025-08-12,0.0,-10.043318192800873,-100.0,26.73531437766856,29.15185120996749,21.902240713070697
20,GS,True,2025-08-22,730.4552001953125,2025-09-11,776.7709350585938,2025-11-12,830.4608154296875,6.340667415455066,13.690862246943416,769.6614204107416,812.8158539729243,683.3525532863762
21,MS,True,2025-08-18,143.11497497558594,2025-09-10,152.34756469726562,2025-10-24,161.97557067871094,6.451169574151608,13.17863187017462,152.21924212233944,161.93787261868047,132.78198112965737
22,PH,True,2025-08-18,731.5066528320312,2025-11-06,830.8016357421875,2025-11-11,856.3340454101562,13.574036890264127,17.064423419097448,793.5883362549465,846.5783437289981,687.6083213068433
23,VST,True,2025-07-28,195.13072204589844,2025-09-05,180.50687485070168,2025-07-23,0.0,-7.494384811304575,-100.0,218.4611357140408,237.43826614571037,180.50687485070168
