ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
AIG,2026-03-18,74.3195,81.1414,81.1414,75.47,-11.26,1.52,1.53,-4.92,-12.17,-0.5,-8.35
AIG,2026-03-19,73.6959,81.1414,81.1414,75.47,-11.26,1.52,1.53,-4.92,-12.17,-0.5,-8.35
ALL,2026-03-12,203.3629,215.6588,215.6588,204.71,-1.16,-1.25,0.16,-1.94,-1.22,-0.49,0.69
ANET,2026-02-23,126.6259,151.8,151.8,135.01,3.04,3.22,-0.78,4.85,3.27,-6.3,54.28
APD,2026-02-13,275.1161,296.46,296.46,290.09,18.29,1.34,3.08,3.8,19.38,6.35,1.49
AZO,2026-03-03,3596.6164,3887.03,3887.03,3386.1399,-0.16,1.2,0.72,-10.52,-0.81,-17.81,-7.43
BBY,2026-02-20,63.0471,73.42,73.42,60.4,-9.76,-2.12,-3.93,-3.71,-15.29,-16.18,-15.89
BBY,2026-02-23,61.7421,73.42,73.42,60.4,-9.76,-2.12,-3.93,-3.71,-15.29,-16.18,-15.89
CAH,2026-03-06,216.2219,233.6,233.6,211.31,3.08,1.97,-0.26,-6.49,3.23,37.45,60.62
CAH,2026-03-20,207.3231,233.6,233.6,211.31,3.08,1.97,-0.26,-6.49,3.23,37.45,60.62
CAH,2026-03-24,204.2145,233.6,233.6,211.31,3.08,1.97,-0.26,-6.49,3.23,37.45,60.62
CARR,2026-03-06,58.1248,68.33,68.33,59.25,12.61,1.14,2.85,-6.74,11.85,-0.01,-11.56
CARR,2026-03-09,57.077,68.33,68.33,59.25,12.61,1.14,2.85,-6.74,11.85,-0.01,-11.56
CFG,2026-02-12,64.7563,68.79,68.79,59.42,2.44,0.81,4.93,-4.27,-0.07,13.69,45.82
CFG,2026-02-27,60.103,68.79,68.79,59.42,2.44,0.81,4.93,-4.27,-0.07,13.69,45.82
CI,2026-03-03,274.7225,296.1684,296.1684,270.36,-1.23,1.69,2.17,-3.26,-1.36,-5.76,-13.83
COST,2026-03-06,970.2565,1028.4399,1028.4399,974.86,13.2,0.11,-0.52,-2.36,14.85,3.6,5.85
