,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
31,CTSH,True,52,78,4,38,0,2,81.25990397861855,0.0,76.27707565850679
34,CPRT,False,52,6,25,0,2,0,0.0,43.51865714501947,0.0
35,CSGP,False,107,47,24,0,33,0,0.0,91.26566967368528,0.0
43,EA,True,75,2,36,49,0,15,203.69047021643252,0.0,167.44368452813353
72,NFLX,False,57,10,19,0,4,0,0.0,117.75870061128927,0.0
81,PYPL,False,64,5,48,0,3,0,0.0,69.0784075452633,0.0
86,ROP,False,56,11,26,0,1,0,0.0,496.60310461339753,0.0
87,ROST,True,62,3,10,39,0,5,185.11416835625195,0.0,147.8022122921112
92,TMUS,False,97,25,8,0,12,0,0.0,249.17860246992814,0.0
96,TRI,False,52,10,49,0,8,0,0.0,155.98075404262184,0.0
99,WBD,True,58,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,70,45,6,27,0,4,161.09829775085456,0.0,193.43853620270235
117,ALLE,False,56,2,7,0,0,0,0.0,172.68862893353165,0.0
128,AME,True,59,17,39,39,0,18,205.07200093994615,0.0,184.30785611499206
140,T,False,77,33,19,0,11,0,0.0,27.763073964728715,0.0
159,BMY,True,51,2,19,33,0,5,53.56960345563147,0.0,42.41863268772002
179,CNC,True,52,13,39,23,0,23,43.08347279575664,0.0,35.726900256330886
210,CMI,True,52,13,73,30,0,48,533.5870808823578,0.0,421.7897614943414
212,DHR,True,73,27,19,36,0,9,229.42034107675116,0.0,202.53217227999468
214,DVA,False,51,2,58,0,0,0,0.0,125.34466659684325,0.0
226,DOV,True,59,33,7,30,0,4,194.72603915797797,0.0,175.11139021727956
230,DUK,False,53,25,14,0,18,0,0.0,124.95163375314867,0.0
231,DD,True,53,12,6,29,0,2,41.5728453379325,0.0,32.056797421908186
232,ETN,False,57,30,25,0,10,0,0.0,361.6119289874806,0.0
254,EXPE,True,58,18,34,29,0,25,281.4930831718479,0.0,215.59111737135117
262,FDX,True,54,11,34,40,0,14,297.0184357749696,0.0,233.7682692312835
270,FOXA,True,54,12,8,34,0,2,72.11119969306432,0.0,59.96130705819903
271,FOX,True,54,13,7,33,0,1,64.78668816100783,0.0,54.19138380199446
290,HAS,True,56,32,18,22,0,10,82.35854044271312,0.0,78.12891077966543
306,HII,True,190,5,22,89,0,15,360.45923431574573,0.0,191.11049071137185
388,NUE,True,54,34,11,26,0,5,160.34171161823684,0.0,141.78022089579056
398,PH,True,56,26,25,30,0,13,886.6972482037096,0.0,744.8612412215343
399,PAYC,False,114,7,29,0,4,0,0.0,227.28279824290914,0.0
451,STLD,True,106,21,29,43,0,18,167.66629510327635,0.0,129.71266334153296
454,SMCI,False,56,31,24,0,17,0,0.0,50.61009488497797,0.0
470,TSCO,False,92,61,10,0,36,0,0.0,60.321065378960576,0.0
476,TYL,False,107,8,15,0,4,0,0.0,565.3071000048424,0.0
484,UPS,True,58,7,5,28,0,3,102.45054489302667,0.0,82.25657995616054
496,VST,False,59,28,13,0,9,0,0.0,195.62271590559158,0.0
