,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
101,WDAY,False,5,2,19,0,0,0,0.0,116.17304618696684,0.0
102,XEL,False,11,5,14,0,2,0,0.0,79.40211978019505,0.0
103,ZS,True,6,108,15,0,0,7,124.29476988165635,0.0,315.9215262231083
104,MMM,False,6,9,27,0,7,0,0.0,146.37193836800225,0.0
105,AOS,False,11,5,29,0,3,0,0.0,63.69920403259646,0.0
106,ABT,False,39,8,24,0,4,0,0.0,111.84556007753517,0.0
107,ABBV,False,33,20,27,0,7,0,0.0,222.29297159744598,0.0
108,ACN,False,63,14,4,0,6,0,0.0,265.1760702212068,0.0
109,AES,True,19,23,23,17,0,18,14.404065654310568,0.0,15.678690298446748
110,AFL,True,19,18,25,14,0,11,112.91316758907281,0.0,110.28010941072772
111,A,False,5,14,52,0,11,0,0.0,116.36906730364832,0.0
112,APD,True,34,7,21,18,0,9,293.4819286123757,0.0,273.40188113178357
113,AKAM,False,14,13,21,0,3,0,0.0,108.94373129778465,0.0
114,ALB,True,26,7,13,8,0,2,170.48649766420897,0.0,161.84874538503072
115,ARE,False,2,9,53,0,5,0,0.0,44.87539235077229,0.0
116,ALGN,True,12,24,22,7,0,9,176.8724740764212,0.0,172.5044920993872
117,ALLE,False,2,11,38,0,1,0,0.0,140.03576295139285,0.0
118,LNT,False,7,9,12,0,2,0,0.0,71.52038692066948,0.0
119,ALL,True,16,18,25,9,0,7,209.7861558364441,0.0,205.2586458903035
120,MO,True,5,6,12,3,0,5,64.90067135102285,0.0,64.51361434216673
121,AMCR,False,1,15,24,0,3,0,0.0,38.35243262445938,0.0
122,AEE,False,7,12,9,0,5,0,0.0,110.17998834254615,0.0
123,AXP,False,4,14,57,0,11,0,0.0,315.25295154491914,0.0
124,AIG,False,6,12,16,0,10,0,0.0,76.44904565257431,0.0
125,AMT,True,13,21,20,4,0,6,172.41565167680395,0.0,178.36584330480324
126,AWK,False,11,41,28,0,18,0,0.0,132.9385503172446,0.0
127,AMP,True,16,38,47,12,0,25,456.3843801060166,0.0,500.6008509822568
128,AME,True,16,23,93,8,0,62,222.38267154574473,0.0,226.6934867049281
129,APH,True,16,46,19,9,0,10,143.40391490385502,0.0,144.6314619801961
130,AON,True,10,46,6,3,0,4,316.4831523264965,0.0,335.510856564198
131,APA,False,16,58,18,0,42,0,0.0,39.7884388131026,0.0
132,APO,True,12,58,50,7,0,25,117.79801228900597,0.0,142.1053856272841
133,APTV,False,47,8,16,0,5,0,0.0,78.82595057110014,0.0
134,ACGL,False,1,21,34,0,8,0,0.0,94.8461732404528,0.0
135,ADM,True,2,10,12,0,0,6,69.32100160661994,0.0,69.41606196504877
136,ARES,True,12,58,36,6,0,18,109.69628357495522,0.0,162.56967364835
137,ANET,True,16,8,15,13,0,4,161.4059125843544,0.0,128.59628143875844
138,AJG,False,1,15,53,0,4,0,0.0,211.98214260266624,0.0
139,AIZ,True,16,40,2,14,0,0,226.92288272456125,0.0,234.430637050774
140,T,False,16,11,10,0,5,0,0.0,27.644484764200463,0.0
141,ATO,False,7,12,9,0,5,0,0.0,185.48218380034908,0.0
142,AZO,True,15,19,18,9,0,1,3431.016709983847,0.0,3627.0076604752353
143,AVB,True,18,50,20,12,0,6,170.44119452968428,0.0,174.72844976091042
144,AVY,False,4,17,19,0,2,0,0.0,165.62902184011776,0.0
145,BALL,False,3,13,23,0,9,0,0.0,61.19022628770985,0.0
146,BAC,True,20,33,7,12,0,4,51.78208161468165,0.0,53.25084351085534
147,BAX,False,1,12,40,0,7,0,0.0,17.342026299905495,0.0
148,BDX,False,40,76,10,0,35,0,0.0,171.20287567072626,0.0
