Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,214.31,99,99,98,99,"COHR,GLW,APH"
2,Semiconductor Materials & Equipment,Information Technology,182.38,99,99,99,94,"TER,LRCX,AMAT,KLAC,Q"
3,"Technology Hardware, Storage & Peripherals",Information Technology,171.69,98,94,96,95,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
4,Communications Equipment,Information Technology,170.61,97,97,83,93,"CIEN,ANET,CSCO,FFIV,MSI"
5,Wireless Telecommunication Services,Communication Services,165.4,96,98,99,99,"SATS,TMUS"
6,Construction & Engineering,Industrials,147.35,95,96,90,98,"FIX,PWR,EME,J"
7,Semiconductors,Information Technology,137.96,94,81,91,90,"MU,MRVL,INTC,MPWR,AMD,ON,ADI,AVGO,ARM,MCHP,NVDA,TXN,NXPI,FSLR,SWKS,QCOM"
8,Steel,Materials,132.42,93,73,94,72,"STLD,NUE"
9,Electronic Manufacturing Services,Information Technology,131.61,92,78,79,89,"JBL,TEL"
10,Construction Machinery & Heavy Transportation Equipment,Industrials,129.57,91,89,93,75,"CAT,CMI,WAB,PCAR"
11,Cargo Ground Transportation,Industrials,129.36,90,85,75,21,"JBHT,ODFL"
12,Electrical Components & Equipment,Industrials,128.85,89,87,69,83,"VRT,GNRC,ETN,AME,ROK,EMR"
13,Oil & Gas Equipment & Services,Energy,125.87,88,93,89,55,"HAL,SLB,BKR"
14,Oil & Gas Refining & Marketing,Energy,124.78,87,95,67,84,"VLO,MPC,PSX"
15,Air Freight & Logistics,Industrials,119.26,86,82,92,49,"FDX,CHRW,EXPD,UPS"
16,Interactive Media & Services,Communication Services,118.37,85,79,95,92,"GOOGL,GOOG,META"
17,Data Center REITs,Real Estate,117.58,84,75,12,42,"EQIX,DLR"
18,Broadcasting,Communication Services,116.84,83,76,97,97,"WBD,FOXA,FOX"
19,Oil & Gas Exploration & Production,Energy,115.66,82,91,47,23,"APA,DVN,OXY,FANG,COP,CTRA,TPL,EOG,EQT,EXE"
20,Agricultural Products & Services,Consumer Staples,114.66,81,90,87,78,"BG,ADM"
21,Apparel Retail,Consumer Discretionary,114.48,80,88,73,68,"ROST,TJX"
22,Specialty Chemicals,Materials,113.63,79,83,82,27,"ALB,LYB,DD,PPG,IFF,ECL,SHW"
23,Integrated Oil & Gas,Energy,112.3,78,92,66,45,"XOM,CVX"
24,Oil & Gas Storage & Transportation,Energy,108.61,76,86,49,12,"TRGP,WMB,KMI,OKE"
25,Food Retail,Consumer Staples,108.61,76,84,58,61,"CASY,KR"
26,Broadline Retail,Consumer Discretionary,108.58,75,50,65,82,"EBAY,AMZN"
27,Electronic Equipment & Instruments,Information Technology,106.34,74,56,29,18,"KEYS,TDY,ZBRA,ROP"
28,Diversified Banks,Financials,106.32,73,48,68,65,"C,USB,PNC,TFC,BAC,JPM,WFC"
29,Regional Banks,Financials,106.29,72,55,74,43,"CFG,KEY,FITB,RF,MTB,HBAN"
30,Automobile Manufacturers,Consumer Discretionary,105.61,71,64,88,91,"GM,F,TSLA"
31,Rail Transportation,Industrials,104.76,70,61,48,48,"CSX,NSC,UNP"
32,Pharmaceuticals,Health Care,104.38,69,70,72,35,"VTRS,MRK,BMY,JNJ,PFE,LLY,ZTS"
33,Biotechnology,Health Care,103.74,68,71,86,77,"MRNA,BIIB,INCY,INSM,REGN,GILD,AMGN,ABBV,VRTX,ALNY"
34,Passenger Airlines,Industrials,103.57,67,62,85,64,"DAL,LUV,UAL"
35,Investment Banking & Brokerage,Financials,102.91,66,51,84,96,"IBKR,MS,GS,HOOD,SCHW,RJF"
36,Retail REITs,Real Estate,102.73,65,59,40,47,"SPG,FRT,KIM,REG,O"
37,Fertilizers & Agricultural Chemicals,Materials,102.7,64,72,39,22,"CF,CTVA,MOS"
38,Casinos & Gaming,Consumer Discretionary,102.19,63,46,60,74,"LVS,MGM,WYNN"
39,Hotel & Resort REITs,Real Estate,101.21,62,52,44,39,"HST,VICI"
40,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,101.14,61,45,54,59,"MAR,EXPE,HLT,ABNB,CCL,RCL,NCLH,BKNG"
41,Consumer Staples Merchandise Retail,Consumer Staples,100.64,60,69,80,49,"TGT,WMT,DG,COST,DLTR"
42,Independent Power Producers & Energy Traders,Utilities,99.75,59,65,63,87,"AES,NRG"
43,Industrial Gases,Materials,99.17,58,57,19,9,"APD,LIN"
44,Industrial Machinery & Supplies & Components,Industrials,98.9,57,54,52,37,"HUBB,PH,NDSN,DOV,FTV,GWW,SNA,IEX,SWK,ITW,IR,XYL,PNR,OTIS"
45,Health Care Distributors,Health Care,98.68,56,68,78,70,"CAH,HSIC,MCK,COR"
46,Integrated Telecommunication Services,Communication Services,98.46,55,77,24,25,"VZ,T"
47,Health Care REITs,Real Estate,98.33,54,66,55,63,"WELL,VTR,DOC"
48,--- Reference ---,--- Reference ---,98.06,53,80,42,51,"QQQ,SPY,^VIX"
49,Multi-line Insurance,Financials,98.04,52,41,45,53,"L,AIZ,AIG"
50,Multi-Utilities,Utilities,97.55,51,67,38,57,"NEE,SRE,NI,PCG,CNP,PNW,AEE,XEL,D,DTE,CMS,ED"
51,Asset Management & Custody Banks,Financials,97.41,50,29,57,44,"STT,NTRS,BK,BEN,IVZ,TROW,BLK,APO,AMP,BX,KKR,ARES"
52,Health Care Services,Health Care,97.4,49,49,31,52,"DVA,DGX,CVS,LH,CI"
53,Life & Health Insurance,Financials,96.97,49,35,41,34,"PFG,GL,AFL,MET,PRU"
54,Property & Casualty Insurance,Financials,96.78,48,44,36,38,"CB,TRV,HIG,ALL,CINF,ACGL,WRB,PGR"
55,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,96.3,47,49,62,69,"TPR,RL,LULU,NKE"
56,Health Care Facilities,Health Care,96.1,45,60,70,84,"HCA,UHS"
57,Aerospace & Defense,Industrials,96.1,45,74,81,80,"HWM,HII,LHX,RTX,LMT,GE,TXT,NOC,BA,GD,TDG,AXON"
58,Electric Utilities,Utilities,95.9,44,63,33,66,"EIX,ETR,AEP,EVRG,LNT,FE,PPL,DUK,WEC,EXC,ES,SO,VST,CEG,PEG"
59,Construction Materials,Materials,95.58,43,38,61,73,"CRH,VMC,MLM"
60,Consumer Finance,Financials,94.96,42,20,53,81,"SYF,AXP,COF"
61,Health Care Supplies,Health Care,94.38,41,42,16,2,"ALGN,WST,COO"
62,Automotive Retail,Consumer Discretionary,93.83,40,24,76,71,"CVNA,ORLY,AZO"
63,Industrial Conglomerates,Industrials,93.45,39,47,46,56,"HON,MMM"
64,Self-Storage REITs,Real Estate,92.52,38,39,18,32,"PSA,EXR"
65,Interactive Home Entertainment,Communication Services,92.47,37,40,71,88,"EA,TTWO"
66,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,91.87,36,53,51,45,"MNST,PEP,KO,KDP"
67,Tobacco,Consumer Staples,91.35,35,58,56,58,"MO,PM"
68,Trading Companies & Distributors,Industrials,91.13,34,43,49,54,"FAST,URI"
69,Building Products,Industrials,90.51,33,37,28,31,"JCI,TT,CARR,MAS,AOS,ALLE,LII,BLDR"
70,Publishing,Communication Services,88.6,32,13,26,19,"NWSA,NWS"
71,Life Sciences Tools & Services,Health Care,88.32,31,22,64,62,"CRL,MTD,TMO,TECH,A,WAT,DHR,IQV"
72,Movies & Entertainment,Communication Services,88.3,30,21,25,76,"LYV,TKO,DIS,PSKY,NFLX"
73,Cable & Satellite,Communication Services,87.79,29,18,1,0,"CMCSA,CHTR"
74,Home Improvement Retail,Consumer Discretionary,87.43,28,34,50,33,"LOW,HD"
75,Homebuilding,Consumer Discretionary,87.35,27,25,30,40,"DHI,PHM,NVR,LEN"
76,Internet Services & Infrastructure,Information Technology,86.83,26,32,14,5,"AKAM,VRSN,GDDY"
77,Restaurants,Consumer Discretionary,86.8,25,33,32,16,"SBUX,YUM,MCD,DRI,DPZ,CMG"
78,Distillers & Vintners,Consumer Staples,86.69,24,23,15,0,"BF.B,STZ"
79,Financial Exchanges & Data,Financials,86.06,23,26,34,30,"CBOE,MSCI,CME,NDAQ,ICE,MCO,SPGI,COIN,FDS"
80,Telecom Tower REITs,Real Estate,84.65,22,14,9,11,"SBAC,CCI,AMT"
81,Multi-Family Residential REITs,Real Estate,84.15,21,17,17,9,"EQR,ESS,CPT,UDR,AVB,MAA"
82,Paper & Plastic Packaging Products & Materials,Materials,84.1,20,28,22,15,"PKG,SW,AVY,AMCR,IP"
83,Managed Health Care,Health Care,83.99,19,5,35,20,"UNH,CNC,ELV,HUM"
84,Environmental & Facilities Services,Industrials,83.76,18,30,37,29,"WM,ROL,RSG,VLTO"
85,Personal Care Products,Consumer Staples,81.77,17,27,59,17,"KVUE,PG,EL"
86,Other Specialty Retail,Consumer Discretionary,81.33,16,31,77,60,"ULTA,TSCO"
