Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,197.11,99,99,96,75,"TER,LRCX,AMAT,KLAC"
2,Electronic Components,Information Technology,170.73,98,97,97,96,"GLW,APH"
3,Construction & Engineering,Industrials,147.29,97,93,92,94,"FIX,EME,PWR,J"
4,"Technology Hardware, Storage & Peripherals",Information Technology,138.34,96,96,91,79,"WDC,STX,AAPL,HPE,DELL,NTAP,SMCI,HPQ"
5,Communications Equipment,Information Technology,137.8,95,84,87,89,"CIEN,ANET,CSCO,MSI,FFIV"
6,Construction Machinery & Heavy Transportation Equipment,Industrials,135.79,94,95,83,60,"CAT,CMI,WAB,PCAR"
7,Oil & Gas Equipment & Services,Energy,131.6,93,90,69,32,"HAL,SLB,BKR"
8,Air Freight & Logistics,Industrials,129.96,92,91,79,26,"FDX,CHRW,EXPD,UPS"
9,Cargo Ground Transportation,Industrials,129.83,91,77,26,5,"JBHT,ODFL"
10,Passenger Airlines,Industrials,126.07,90,82,44,84,"LUV,UAL,DAL"
11,Agricultural Products & Services,Consumer Staples,126.04,89,85,73,64,"BG,ADM"
12,Semiconductors,Information Technology,123.49,88,94,77,72,"MU,INTC,MPWR,ADI,ON,MCHP,AMD,TXN,FSLR,AVGO,NVDA,NXPI,MRVL,ARM,SWKS,QCOM"
13,Steel,Materials,123.39,87,92,76,56,"STLD,NUE"
14,Broadcasting,Communication Services,123.0,86,98,98,76,"WBD,FOX,FOXA"
15,Electronic Manufacturing Services,Information Technology,122.44,85,88,86,95,"JBL,TEL"
16,Independent Power Producers & Energy Traders,Utilities,119.86,84,65,89,86,"AES,NRG"
17,Specialty Chemicals,Materials,119.62,83,81,49,20,"ALB,DD,PPG,IFF,ECL,LYB,SHW"
18,Aerospace & Defense,Industrials,119.02,82,80,72,77,"HII,HWM,LMT,LHX,NOC,RTX,GE,TXT,BA,GD,TDG,AXON"
19,Consumer Staples Merchandise Retail,Consumer Staples,118.72,81,76,54,55,"DG,DLTR,WMT,TGT,COST"
20,Regional Banks,Financials,117.71,80,79,51,66,"CFG,KEY,FITB,RF,MTB,HBAN"
21,Integrated Oil & Gas,Energy,117.69,79,64,55,54,"XOM,CVX"
