Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,353.94,99,99,99,97,279.7900085449219,295.427490234375,271.5299987792969,285.989990234375
2,MU,Information Technology,Semiconductors,S&P 500,268.25,99,99,99,84,380.6099853515625,391.8099060058594,370.69000244140625,383.5
3,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,266.33,99,99,99,98,423.8999938964844,438.54998779296875,415.0,425.0
4,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,235.39,99,98,98,66,296.989990234375,316.5400085449219,296.510009765625,310.010009765625
5,CIEN,Information Technology,Communications Equipment,S&P 500,234.98,99,99,99,89,270.70001220703125,297.0098876953125,266.6099853515625,289.67999267578125
6,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,197.26,99,99,98,82,228.4499969482422,231.31500244140625,223.38999938964844,229.27999877929688
7,WBD,Communication Services,Broadcasting,S&P 500,189.97,98,99,99,92,27.34000015258789,27.420000076293945,27.049999237060547,27.209999084472656
8,GLW,Information Technology,Electronic Components,S&P 500,189.96,98,93,97,95,124.0,132.3000030517578,123.80000305175781,131.38999938964844
9,ALB,Materials,Specialty Chemicals,S&P 500,189.61,98,98,91,71,162.5,166.3000030517578,159.2050018310547,165.75999450683594
10,FIX,Industrials,Construction & Engineering,S&P 500,184.58,98,98,98,98,1228.8499755859375,1299.8399658203125,1219.050048828125,1283.6500244140625
11,INTC,Information Technology,Semiconductors,S&P 500,179.96,98,97,97,45,49.560001373291016,51.220001220703125,47.59000015258789,50.2400016784668
12,NEM,Materials,Gold,S&P 500,173.2,97,98,98,96,116.66000366210938,121.11000061035156,116.23500061035156,120.7300033569336
13,CHRW,Industrials,Air Freight & Logistics,S&P 500,158.31,97,95,93,84,201.3000030517578,203.24000549316406,199.36500549316406,200.30999755859375
14,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,158.29,97,95,95,75,724.5,743.4998779296875,721.75,742.1199951171875
15,ASML,Technology,Industrial Machinery,Nasdaq 100,157.9,97,95,93,33,1415.8050537109375,1437.0899658203125,1408.5999755859375,1429.489990234375
16,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,155.45,97,96,85,19,316.8500061035156,332.3999938964844,316.4100036621094,330.57000732421875
17,LUV,Industrials,Passenger Airlines,S&P 500,155.07,96,91,54,45,53.81999969482422,54.25,53.099998474121094,53.36000061035156
18,HII,Industrials,Aerospace & Defense,S&P 500,150.75,96,96,96,89,401.0,414.4599914550781,398.05999755859375,405.82000732421875
19,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500,150.45,96,94,90,98,151.49000549316406,155.22999572753906,149.44000244140625,154.64999389648438
20,GEV,Industrials,Heavy Electrical Equipment,S&P 500,146.18,96,87,87,99,776.2100219726562,814.8599243164062,771.010009765625,801.5399780273438
21,FCX,Materials,Copper,S&P 500,145.67,96,92,40,46,61.35499954223633,64.16999816894531,61.310001373291016,63.61000061035156
22,VTRS,Health Care,Pharmaceuticals,S&P 500,144.95,95,89,65,52,14.789999961853027,15.600000381469727,14.65999984741211,15.5600004196167
23,MRNA,Health Care,Biotechnology,S&P 500,144.82,95,63,19,3,41.099998474121094,41.998600006103516,40.16999816894531,41.95000076293945
24,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,143.61,95,97,95,77,1439.0,1457.0,1424.530029296875,1440.1600341796875
25,DG,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500,143.22,95,94,76,88,146.97999572753906,149.8800048828125,146.86959838867188,147.3699951171875
26,GOOGL,Communication Services,Interactive Media & Services,S&P 500,140.28,95,96,96,81,320.92999267578125,327.70001220703125,317.260009765625,324.32000732421875
27,GOOG,Communication Services,Interactive Media & Services,S&P 500,139.39,94,96,96,80,321.239990234375,327.739990234375,317.70001220703125,324.3999938964844
28,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,138.95,94,94,88,80,580.1500244140625,603.0750122070312,575.9000244140625,601.3800048828125
29,ULTA,Consumer Discretionary,Other Specialty Retail,S&P 500,138.29,94,92,81,93,690.0,700.8099975585938,688.9949951171875,696.25
30,MPWR,Information Technology,Semiconductors,S&P 500,136.7,94,89,85,83,1212.1600341796875,1240.9000244140625,1180.219970703125,1206.1800537109375
31,FDX,Industrials,Air Freight & Logistics,S&P 500,136.17,94,86,65,14,367.95001220703125,369.6000061035156,363.1401062011719,364.6000061035156
32,STLD,Materials,Steel,S&P 500,135.04,94,82,73,25,201.86000061035156,203.97999572753906,197.0301055908203,202.75
33,ADI,Information Technology,Semiconductors,S&P 500,133.74,93,89,53,52,319.32501220703125,323.8900146484375,317.885009765625,322.9700012207031
34,HAL,Energy,Oil & Gas Equipment & Services,S&P 500,133.54,93,92,82,9,34.939998626708984,35.130001068115234,34.59000015258789,34.900001525878906
35,JBHT,Industrials,Cargo Ground Transportation,S&P 500,131.89,93,90,59,10,227.69000244140625,227.74000549316406,222.8800048828125,226.27000427246094
36,CFG,Financials,Regional Banks,S&P 500,131.53,93,88,74,72,67.5999984741211,68.6500015258789,67.69999694824219,67.69999694824219
37,BG,Consumer Staples,Agricultural Products & Services,S&P 500,131.27,93,82,84,35,116.11000061035156,118.86499786376953,115.0,118.6500015258789
38,NUE,Materials,Steel,S&P 500,130.78,92,80,55,64,191.6699981689453,193.48899841308594,189.09500122070312,193.0800018310547
39,APH,Information Technology,Electronic Components,S&P 500,130.23,92,94,97,96,137.1699981689453,145.26499938964844,136.67999267578125,144.1999969482422
40,MRK,Health Care,Pharmaceuticals,S&P 500,129.71,92,81,65,32,121.41000366210938,121.87000274658203,116.9800033569336,117.6500015258789
41,DD,Materials,Specialty Chemicals,S&P 500,129.67,92,93,88,29,46.470001220703125,47.21500015258789,46.32500076293945,47.099998474121094
42,GM,Consumer Discretionary,Automobile Manufacturers,S&P 500,129.32,92,95,91,70,82.2699966430664,82.36000061035156,80.58000183105469,80.68000030517578
43,AMD,Information Technology,Semiconductors,S&P 500,129.22,91,91,97,95,206.80499267578125,217.60000610351562,204.14999389648438,216.0
44,LMT,Industrials,Aerospace & Defense,S&P 500,128.68,91,61,42,16,625.280029296875,638.969970703125,625.010009765625,638.2899780273438
45,JNJ,Health Care,Pharmaceuticals,S&P 500,128.19,91,78,83,75,240.25,240.74000549316406,237.0399932861328,238.63999938964844
46,SLB,Energy,Oil & Gas Equipment & Services,S&P 500,128.16,91,85,49,8,50.47999954223633,50.91999816894531,50.09000015258789,50.540000915527344
47,HAS,Consumer Discretionary,Leisure Products,S&P 500,127.98,91,88,75,91,93.97000122070312,96.7699966430664,93.27749633789062,96.76000213623047
48,C,Financials,Diversified Banks,S&P 500,127.96,90,93,86,92,122.19000244140625,125.1500015258789,121.69290161132812,123.7699966430664
49,VLO,Energy,Oil & Gas Refining & Marketing,S&P 500,127.45,90,87,92,38,202.9199981689453,204.13999938964844,199.89999389648438,201.3800048828125
50,EME,Industrials,Construction & Engineering,S&P 500,127.39,90,75,85,94,761.4299926757812,787.7698974609375,761.4299926757812,776.239990234375
51,LHX,Industrials,Aerospace & Defense,S&P 500,126.92,90,86,86,83,349.6600036621094,351.94500732421875,347.5,350.6000061035156
52,INSM,Health Care,Biotechnology,Nasdaq 100,126.66,90,98,98,99,147.9949951171875,150.60000610351562,146.41000366210938,149.5399932861328
53,GILD,Health Care,Biotechnology,S&P 500,126.62,89,62,76,90,152.42999267578125,152.75,150.19500732421875,151.67999267578125
54,JBL,Information Technology,Electronic Manufacturing Services,S&P 500,125.87,89,80,81,97,256.9599914550781,266.55999755859375,256.0899963378906,265.9599914550781
55,IVZ,Financials,Asset Management & Custody Banks,S&P 500,125.75,89,96,89,91,26.649999618530273,27.264999389648438,26.649999618530273,26.889999389648438
56,BIIB,Health Care,Biotechnology,S&P 500,125.74,89,86,75,18,200.0,201.0,191.8800048828125,193.80999755859375
57,FER,Industrials,"Military, Government, Technical",Nasdaq 100,125.43,89,82,91,88,71.98999786376953,73.73999786376953,71.9000015258789,73.54000091552734
58,CVNA,Consumer Discretionary,Automotive Retail,S&P 500,125.31,88,97,67,97,400.6000061035156,413.6796875,393.0,411.6099853515625
59,CAH,Health Care,Health Care Distributors,S&P 500,125.31,88,89,95,73,226.55999755859375,228.0229949951172,225.27999877929688,225.75999450683594
