,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
0,SPY,False,10,43,52,0,37,0,0.0,746.4744448295005,0.0,746.739990234375,0.7800647930141701,1.2171953412875822,1.7731331841331381,13.485804891899159,10.623815455720818,26.40373047688821
2,^VIX,True,10,41,55,3,0,16,12.873602233578977,0.0,19.821370885478547,16.399999618530273,-11.062911369007717,-15.637864362202356,-5.963307819265161,-38.760271852014824,-6.923956654909014,-18.5700093568049
16,ARM,True,4,3,59,2,0,35,350.76699089097366,0.0,315.76789018567115,439.4599914550781,4.913098341378974,28.410711319129252,96.9347987788592,238.51484105801163,262.89017092679,203.66223586806504
29,CTSH,False,2,21,72,0,10,0,0.0,50.72249836928468,0.0,43.70000076293945,-10.487502998545851,-14.615083035628437,-14.111635523677776,-28.50017291862738,-47.10978826635035,-44.018054465794
32,CPRT,False,13,7,76,0,2,0,0.0,31.75707690261063,0.0,30.229999542236328,2.4051459128142683,-2.672247063674803,-8.725843849186306,-7.0418231343555835,-22.784167652576677,-37.020834287007645
52,ISRG,False,28,13,67,0,3,0,0.0,443.2711063557481,0.0,406.7799987792969,1.143768011161096,-1.4821979190248684,-7.880789177766245,-15.241805057576629,-26.65080128312716,-20.567844717957765
70,NFLX,False,44,36,85,0,18,0,0.0,99.22481273383227,0.0,77.37999725341797,0.5457356730011328,-4.786513535534045,-13.377369677252618,-15.652933229490179,-18.17701437758073,-36.60858675791581
82,QCOM,False,8,40,61,0,23,0,0.0,211.70751755656227,0.0,226.11000061035156,6.169882760169266,11.406185026945339,16.01918460721671,72.87106274847159,29.68556751736598,49.47283254812665
85,ROST,True,19,9,63,11,0,36,226.79013223174906,0.0,221.47386044204524,232.8000030517578,-0.19292473665259915,-2.6389517554627018,9.67483679370785,10.726493651587486,28.153589960584036,82.03202291939792
90,SNPS,False,16,31,51,0,18,0,0.0,492.19886034991526,0.0,455.510009765625,-1.3492399619941342,-0.17094364651644217,-7.767223303869733,6.365443027583187,-1.689900857718229,-4.1838418986581445
91,TMUS,False,65,32,108,0,14,0,0.0,212.0586404883242,0.0,181.6699981689453,0.1985553004241928,-2.2333489353665246,-5.565245062746841,-11.585407059458854,-7.306072977502468,-16.409989328972152
93,TSLA,False,22,24,72,0,13,0,0.0,404.37662827219674,0.0,400.489990234375,1.0368800900483348,0.33571247861227327,-0.8957945233741805,5.308967417689604,-18.247328684056228,26.5971179097519
99,WBD,False,10,11,51,0,0,0,0.0,26.80568310732316,0.0,26.200000762939453,-0.15243524591313845,-2.4571847818862387,-3.2853428742539763,-5.17552819855921,-9.34255671705829,147.63706003659297
103,ZS,False,17,24,108,0,15,0,0.0,155.905327239086,0.0,124.8499984741211,0.37787524608600953,-0.9991294347254512,-28.758916705209074,-19.6589424853603,-46.36566752777856,-59.37327146334822
108,ACN,False,6,15,77,0,7,0,0.0,169.94632068608774,0.0,127.9800033569336,-17.96679196003314,-23.603151807003282,-27.613121522702844,-36.59282075055047,-52.55649321712584,-58.43001839977653
133,APTV,False,2,15,65,0,6,0,0.0,64.84113828286306,0.0,63.68000030517578,1.288375039052562,-6.2978205370146325,21.133727743668594,-7.936964014890391,-17.747349765865682,-5.798813990278391
155,XYZ,True,4,8,66,2,0,26,68.0892772624785,0.0,69.64085075065138,74.77999877929688,2.6633752593931423,8.235638649593783,8.110453605404661,26.76724300991828,15.848172337554184,18.09854570389298
160,BR,False,7,7,55,0,3,0,0.0,146.16109774432633,0.0,137.60000610351562,-1.453841372418912,-4.368073972644578,-7.292767003960367,-20.55716511901025,-38.76377682841764,-41.183358154007145
165,BXP,False,2,45,87,0,28,0,0.0,63.119443421053745,0.0,64.69999694824219,2.6006906743357443,-2.3101409197365386,10.277823363711338,22.7971369781885,-6.286434031086836,-5.428160944215342
172,CARR,True,50,30,59,22,0,24,66.70580116596854,0.0,61.45653919571405,71.80999755859375,3.3386095353930245,2.9681671325367214,16.8782538471229,22.207517304534488,35.43208449202716,4.424125071794998
174,CASY,True,7,13,92,4,0,47,741.1739710989294,0.0,840.8015525912185,842.25,-1.010751111559371,-8.079410980252769,-1.161770126201633,26.711528705261735,52.603187283775476,66.55356242163056
210,CSGP,False,39,6,170,0,3,0,0.0,37.2365259395914,0.0,30.1200008392334,-1.1162122634881362,-7.748853195734736,-10.887569470096778,-29.659035371562386,-52.65639524533534,-62.298158631434255
251,EL,False,2,32,59,0,10,0,0.0,83.27562223927366,0.0,84.80999755859375,2.849864783182616,-3.6468975311254086,11.817601233148347,-0.5398088926920906,-18.186555904190634,15.06031129854569
260,FFIV,True,54,3,84,27,0,37,377.0448787609226,0.0,279.9497537690938,385.489990234375,0.15848715023484453,-2.120151884307817,0.5189022775423728,32.79021923669258,49.26429786176079,33.577045332864095
288,GDDY,False,12,32,85,0,5,0,0.0,84.8095363401236,0.0,77.04000091552734,1.2219160395714068,2.487698273424434,-14.825866760822986,-7.91298405068121,-38.20981654879799,-56.728822837173276
301,HST,True,51,18,85,38,0,31,24.26601659441884,0.0,18.893370831256313,25.010000228881836,1.584075452292231,2.7526707974268816,14.777417063162911,32.33838322314423,40.895368844457394,69.58232709737553
309,IEX,True,51,22,70,29,0,43,215.62319052376372,0.0,199.38012696941365,224.92999267578125,0.5543342218433768,3.702166438570393,10.032383427424218,20.46719757944569,27.85996114677134,29.782205369497767
323,JBL,True,5,5,52,2,0,27,348.6924559940666,0.0,354.6052162871903,371.8800048828125,-0.8267123613766848,-1.3293028657971557,11.715933497937076,40.19976494857459,75.04746706681574,89.12358470785303
340,LDOS,False,9,7,73,0,2,0,0.0,123.27323367598736,0.0,107.12000274658203,-1.4263324270545763,-11.94430511084829,-14.656721198975303,-35.22241969650148,-40.840514907604074,-27.541865473132898
356,MKC,False,2,6,67,0,3,0,0.0,46.88454957059653,0.0,46.63999938964844,0.3226450973674979,-5.261020062301299,-1.2910065827546295,-12.94036287582861,-30.590728366138453,-34.20826086306108
358,MCK,False,1,9,63,0,5,0,0.0,757.3635339778932,0.0,750.6300048828125,-3.7407006112829886,-4.644367617119865,-1.3689689621934171,-16.406924082372846,-7.145466808318093,4.045555498026587
363,MGM,True,19,13,62,11,0,27,41.98237103241637,0.0,37.933436441708416,46.84000015258789,-0.21303467628180617,-0.804745993840904,30.038866066955034,26.117396129099053,27.144408139470467,39.52934339707374
