ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
A,2025-11-18,2025-11-24,2025-11-25,150.511,142.1177,-5.58%,167.2976,142.1177,LOSS,2025-12-08,142.1177
ACN,2026-01-02,2026-01-08,2026-01-09,281.96,258.6812,-8.26%,328.5175,258.6812,LOSS,2026-01-29,258.6812
AMAT,2025-11-13,2025-11-25,2025-11-26,242.5275,219.6993,-9.41%,288.1841,219.6993,WIN,2026-01-06,288.1841
APA,2025-12-15,2026-02-06,2026-02-09,27.46,24.7383,-9.91%,32.9034,24.7383,WIN,2026-03-06,32.9034
ASML,2026-02-04,2026-02-24,2026-02-25,1522.4,1329.5196,-12.67%,1908.1609,1329.5196,LOSS,2026-03-03,1329.5196
AXP,2025-10-10,2025-10-20,2025-10-21,351.3096,315.2912,-10.25%,423.3464,315.2912,LOSS,2026-02-27,315.2912
BAC,2025-11-14,2025-12-11,2025-12-12,54.4721,51.4812,-5.49%,60.4538,51.4812,LOSS,2026-01-14,51.4812
BDX,2025-10-30,2025-11-25,2025-11-26,151.5666,139.2938,-8.10%,176.1121,139.2938,WIN,2026-02-11,176.1121
BEN,2025-11-07,2025-12-19,2025-12-22,23.6357,21.8914,-7.38%,27.1243,21.8914,WIN,2026-02-02,27.1243
BG,2025-10-14,2025-10-15,2025-10-16,92.7816,78.3408,-15.56%,121.6632,78.3408,WIN,2026-02-12,121.6632
BIIB,2025-10-30,2025-11-12,2025-11-13,161.57,143.511,-11.18%,197.688,143.511,WIN,2026-02-06,197.688
BK,2025-10-17,2025-11-10,2025-11-11,110.4109,102.8607,-6.84%,125.5113,102.8607,WIN,2026-02-09,125.5113
CBOE,2025-12-10,2026-01-12,2026-01-13,262.5716,247.686,-5.67%,292.3429,247.686,WIN,2026-02-23,292.3429
CIEN,2025-10-22,2025-10-24,2025-10-27,182.63,160.3283,-12.21%,227.2335,160.3283,WIN,2025-12-11,227.2335
CME,2025-10-29,2025-11-07,2025-11-10,267.0553,252.0331,-5.63%,297.0999,252.0331,WIN,2026-02-09,297.0999
CPRT,2025-10-16,2025-10-21,2025-10-22,45.7,43.4602,-4.90%,50.1796,43.4602,LOSS,2025-10-29,43.4602
CRH,2025-11-05,2025-12-08,2025-12-09,125.179,114.8513,-8.25%,145.8344,114.8513,LOSS,2026-03-03,114.8513
CSX,2026-01-05,2026-01-27,2026-01-28,37.5264,35.5874,-5.17%,41.4045,35.5874,WIN,2026-02-12,41.4045
CTRA,2025-12-15,2026-01-29,2026-01-30,27.857,25.7238,-7.66%,32.1233,25.7238,WIN,2026-02-19,32.1233
DDOG,2025-10-16,2025-11-06,2025-11-07,184.29,149.4605,-18.90%,253.949,149.4605,LOSS,2025-12-11,149.4605
DECK,2026-01-07,2026-01-30,2026-02-02,119.0,102.7656,-13.64%,151.4688,102.7656,LOSS,2026-03-09,102.7656
DG,2025-10-31,2025-11-26,2025-11-28,108.1886,97.7469,-9.65%,129.072,97.7469,WIN,2025-12-05,129.072
DG,2026-01-29,2026-02-25,2026-02-26,154.5,141.6931,-8.29%,180.1137,141.6931,LOSS,2026-03-09,141.6931
DHR,2026-01-13,2026-01-21,2026-01-22,242.33,229.4203,-5.33%,268.1493,229.4203,LOSS,2026-01-28,229.4203
DLTR,2025-11-18,2025-11-26,2025-11-28,109.82,99.5802,-9.32%,130.2996,99.5802,WIN,2025-12-11,130.2996
DOW,2025-12-16,2026-01-08,2026-01-09,26.0119,22.3307,-14.15%,33.3743,22.3307,WIN,2026-02-10,33.3743
EFX,2026-01-02,2026-01-09,2026-01-12,226.159,211.9453,-6.28%,254.5863,211.9453,LOSS,2026-01-20,211.9453
EIX,2025-10-29,2025-11-13,2025-11-14,58.1735,54.0585,-7.07%,66.4034,54.0585,WIN,2026-02-11,66.4034
EL,2026-01-07,2026-01-09,2026-01-12,112.6067,103.5944,-8.00%,130.6312,103.5944,LOSS,2026-02-05,103.5944
EME,2025-10-22,2025-10-24,2025-10-27,749.4227,662.3148,-11.62%,923.6384,662.3148,LOSS,2025-10-30,662.3148
ETN,2025-10-22,2025-10-29,2025-10-30,383.2948,357.9463,-6.61%,433.9918,357.9463,LOSS,2025-11-04,357.9463
ETN,2025-11-04,2026-02-11,2026-02-12,398.7566,359.8717,-9.75%,476.5264,359.8717,LOSS,2026-02-23,359.8717
ETR,2025-10-29,2026-02-06,2026-02-09,97.18,92.4382,-4.88%,106.6635,92.4382,WIN,2026-02-17,106.6635
F,2025-11-17,2026-01-08,2026-01-09,14.1963,12.7198,-10.40%,17.1491,12.7198,LOSS,2026-03-03,12.7198
FDX,2025-12-19,2025-12-22,2025-12-23,291.8169,272.2506,-6.70%,330.9495,272.2506,WIN,2026-02-02,330.9495
FIX,2025-12-12,2026-01-12,2026-01-13,1038.5804,921.3306,-11.29%,1273.0801,921.3306,WIN,2026-02-09,1273.0801
FOX,2025-11-24,2025-12-05,2025-12-08,60.7933,56.8854,-6.43%,68.609,56.8854,LOSS,2026-02-09,56.8854
FOXA,2025-11-24,2025-12-04,2025-12-05,67.688,62.9834,-6.95%,77.097,62.9834,LOSS,2026-02-09,62.9834
GILD,2025-10-31,2025-11-13,2025-11-14,123.2909,113.0905,-8.27%,143.6916,113.0905,WIN,2026-02-03,143.6916
GLW,2025-11-13,2025-12-10,2025-12-11,93.4855,81.8919,-12.40%,116.6728,81.8919,WIN,2026-02-03,116.6728
GM,2026-01-02,2026-01-08,2026-01-09,83.3127,80.3895,-3.51%,89.1592,80.3895,LOSS,2026-01-16,80.3895
GM,2026-01-20,2026-01-27,2026-01-28,85.8667,77.54,-9.70%,102.52,77.54,LOSS,2026-03-02,77.54
HAL,2025-11-18,2025-12-09,2025-12-10,28.3924,25.8421,-8.98%,33.4931,25.8421,WIN,2026-01-14,33.4931
HBAN,2026-01-02,2026-01-06,2026-01-07,18.3,17.1442,-6.32%,20.6115,17.1442,LOSS,2026-01-28,17.1442
HLT,2025-10-16,2025-10-22,2025-10-23,273.8351,256.4962,-6.33%,308.5131,256.4962,LOSS,2025-10-31,256.4962
HRL,2026-02-11,2026-02-24,2026-02-25,25.61,23.7919,-7.10%,29.2462,23.7919,LOSS,2026-03-09,23.7919
HSIC,2025-12-02,2025-12-10,2025-12-11,76.1,71.5373,-6.00%,85.2254,71.5373,WIN,2026-02-24,85.2254
HSY,2025-10-13,2026-01-14,2026-01-15,196.7183,184.2941,-6.32%,221.5667,184.2941,WIN,2026-02-05,221.5667
IBM,2025-10-23,2025-10-24,2025-10-27,304.3768,268.4522,-11.80%,376.2259,268.4522,LOSS,2026-02-12,268.4522
IDXX,2025-10-29,2025-11-03,2025-11-04,717.44,622.2639,-13.27%,907.7923,622.2639,LOSS,2026-02-12,622.2639
INTC,2025-11-04,2025-12-02,2025-12-03,43.39,37.0185,-14.68%,56.1329,37.0185,LOSS,2025-12-16,37.0185
IQV,2025-10-28,2025-11-24,2025-11-25,230.0,209.4848,-8.92%,271.0304,209.4848,LOSS,2026-02-03,209.4848
ISRG,2025-11-18,2026-01-06,2026-01-07,592.89,539.1137,-9.07%,700.4427,539.1137,LOSS,2026-01-14,539.1137
J,2026-02-03,2026-02-04,2026-02-05,142.2016,132.1089,-7.10%,162.387,132.1089,LOSS,2026-02-12,132.1089
JBHT,2026-01-16,2026-01-21,2026-01-22,208.9318,198.9855,-4.76%,228.8243,198.9855,WIN,2026-02-04,228.8243
JBHT,2026-02-12,2026-03-04,2026-03-05,232.65,217.5893,-6.47%,262.7714,217.5893,LOSS,2026-03-06,217.5893
KDP,2025-12-17,2026-02-11,2026-02-12,29.71,27.8164,-6.37%,33.4973,27.8164,LOSS,2026-03-06,27.8164
KEY,2026-01-02,2026-01-05,2026-01-06,20.9228,20.3352,-2.81%,22.0981,20.3352,LOSS,2026-01-20,20.3352
KEY,2026-01-20,2026-02-02,2026-02-03,21.8437,20.3001,-7.07%,24.931,20.3001,LOSS,2026-02-27,20.3001
LHX,2025-10-15,2026-01-05,2026-01-06,310.5981,285.5839,-8.05%,360.6263,285.5839,WIN,2026-01-27,360.6263
LIN,2026-01-20,2026-01-23,2026-01-26,451.1147,428.5913,-4.99%,496.1615,428.5913,WIN,2026-02-20,496.1615
LMT,2025-10-15,2026-01-06,2026-01-07,522.556,487.832,-6.65%,592.0041,487.832,WIN,2026-01-22,592.0041
LNT,2025-11-03,2025-11-28,2025-12-01,68.6617,65.548,-4.53%,74.889,65.548,LOSS,2025-12-03,65.548
META,2026-01-13,2026-01-29,2026-01-30,727.5,629.158,-13.52%,924.1839,629.158,LOSS,2026-02-17,629.158
MLM,2025-12-17,2026-01-09,2026-01-12,664.4639,609.7349,-8.24%,773.9219,609.7349,LOSS,2026-03-06,609.7349
MNST,2025-10-13,2025-10-16,2025-10-17,70.57,67.0688,-4.96%,77.5724,67.0688,LOSS,2025-10-29,67.0688
MRK,2025-10-30,2025-11-12,2025-11-13,90.5362,84.4494,-6.72%,102.7098,84.4494,WIN,2025-11-25,102.7098
