,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
0,SPY,True,6,52,17,4,0,10,655.7010027941076,0.0,683.0556803920929
1,QQQ,True,6,41,5,4,0,0,584.1328898845485,0.0,614.2135705605189
2,^VIX,False,3,55,35,0,16,0,0.0,19.821370885478547,0.0
3,ADBE,False,21,8,40,0,4,0,0.0,263.1007153884859,0.0
4,AMD,True,13,34,13,5,0,8,217.1518452089265,0.0,232.7463060828202
5,ABNB,False,21,12,27,0,7,0,0.0,126.83550798060497,0.0
6,ALNY,True,13,50,3,4,0,0,305.26307527199367,0.0,378.6680159209362
7,GOOGL,True,8,37,23,6,0,13,298.1021119760111,0.0,324.5607876356505
8,GOOG,True,8,37,21,6,0,12,297.6456819447258,0.0,325.1540712026655
9,AMZN,True,6,10,12,4,0,3,217.10820689895823,0.0,205.56130207329682
10,AEP,True,4,13,44,2,0,32,131.34464866104258,0.0,130.08113245694472
11,AMGN,True,3,24,39,1,0,19,338.65945401669353,0.0,370.4371989400865
12,ADI,True,6,23,38,4,0,33,324.3288328050922,0.0,339.0428608737647
13,AAPL,True,6,35,8,1,0,5,247.0992062867045,0.0,263.1634464977558
14,AMAT,True,4,8,2,2,0,0,353.2457131874994,0.0,335.5871766361038
15,APP,False,18,10,41,0,4,0,0.0,442.6527514511203,0.0
16,ARM,True,19,8,18,6,0,12,126.66241514315405,0.0,120.76192594304771
17,ASML,True,4,26,39,2,0,26,1335.982391677005,0.0,1434.0678907159565
18,TEAM,False,14,12,25,0,2,0,0.0,72.03954237476532,0.0
19,ADSK,False,14,17,38,0,8,0,0.0,243.50555429039974,0.0
20,ADP,False,22,5,26,0,2,0,0.0,209.23303588378297,0.0
21,AXON,False,14,19,19,0,9,0,0.0,474.92992799581583,0.0
22,BKR,True,17,11,40,7,0,33,58.68647472412369,0.0,62.07010829397101
23,BKNG,True,6,5,16,4,0,6,164.04947571028538,0.0,165.20047092958706
24,AVGO,True,5,11,9,3,0,2,333.77305346678884,0.0,314.1514474494151
25,CDNS,False,51,13,15,0,4,0,0.0,304.69835561029595,0.0
26,CHTR,False,24,26,12,0,12,0,0.0,222.24213821111496,0.0
27,CTAS,False,22,23,7,0,8,0,0.0,193.88108843765082,0.0
28,CSCO,True,4,6,3,2,0,1,78.53625716041192,0.0,77.09814099190989
29,CCEP,True,4,23,31,2,0,28,92.23390049972095,0.0,104.41063370810627
30,CTSH,False,48,65,78,0,43,0,0.0,81.49819213997135,0.0
31,CMCSA,False,22,59,65,0,28,0,0.0,30.128195788287083,0.0
32,CEG,False,23,17,26,0,14,0,0.0,300.871727127407,0.0
33,CPRT,False,49,12,52,0,7,0,0.0,39.71550648879249,0.0
34,CSGP,False,168,47,24,0,33,0,0.0,91.26566967368528,0.0
35,COST,False,1,6,10,0,3,0,0.0,989.1095412194758,0.0
36,CRWD,False,2,3,11,0,1,0,0.0,381.30365629105154,0.0
37,CSX,True,9,18,30,7,0,25,40.86567224821934,0.0,41.263739547427484
38,DDOG,False,11,15,9,0,10,0,0.0,120.76558967362132,0.0
39,DXCM,False,24,14,5,0,8,0,0.0,68.01265446857111,0.0
40,FANG,False,4,49,27,0,30,0,0.0,190.13170216630758,0.0
41,DASH,True,4,60,26,1,0,15,147.19164853312404,0.0,218.95356899226596
42,EA,False,3,10,36,0,8,0,0.0,202.30717050114123,0.0
43,EXC,False,17,24,6,0,19,0,0.0,48.21902308428819,0.0
44,FAST,True,9,8,47,5,0,15,45.64765742963279,0.0,44.64769450404501
45,FER,True,8,21,39,6,0,24,66.28711593079754,0.0,71.07302714099998
46,FTNT,False,2,3,9,0,1,0,0.0,78.87642002908586,0.0
47,GEHC,True,4,25,18,2,0,9,68.72663461791325,0.0,79.49684487699929
48,GILD,True,4,28,25,2,0,16,136.63882217954927,0.0,144.57565153021596
49,HON,True,3,23,55,1,0,37,223.97687574008316,0.0,236.90473908690373
50,IDXX,True,4,22,6,1,0,1,553.6931629649093,0.0,613.261571644565
