Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,338.3,99,99,99,98,278.0400085449219,297.5,278.0400085449219,285.5199890136719
2,MU,Information Technology,Semiconductors,S&P 500,292.59,99,99,99,86,415.19000244140625,430.56988525390625,415.1499938964844,428.1700134277344
3,CIEN,Information Technology,Communications Equipment,S&P 500,280.16,99,99,99,93,317.0400085449219,340.20001220703125,314.69000244140625,334.95001220703125
4,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,252.43,99,99,99,98,403.0799865722656,416.9898986816406,399.1300048828125,411.1099853515625
5,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,248.89,99,98,97,78,319.0,326.8599853515625,316.2699890136719,324.8500061035156
6,FIX,Industrials,Construction & Engineering,S&P 500,221.95,99,98,98,99,1414.510009765625,1476.93994140625,1390.0,1462.22998046875
7,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,209.43,98,99,98,91,237.4149932861328,245.75999450683594,236.96499633789062,244.9199981689453
8,GLW,Information Technology,Electronic Components,S&P 500,204.13,98,95,96,95,129.94000244140625,140.27000427246094,129.7899932861328,139.50999450683594
9,WBD,Communication Services,Broadcasting,S&P 500,195.63,98,98,99,80,28.690000534057617,28.780000686645508,28.530000686645508,28.75
10,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,182.18,98,96,94,31,366.2650146484375,377.1099853515625,366.2650146484375,375.3800048828125
11,ALB,Materials,Specialty Chemicals,S&P 500,180.49,98,99,96,76,166.5,172.1999969482422,165.3000030517578,168.4199981689453
12,NEM,Materials,Gold,S&P 500,171.94,97,98,97,97,122.3499984741211,125.63059997558594,118.66500091552734,122.12999725341797
13,MRNA,Health Care,Biotechnology,S&P 500,171.17,97,97,11,1,49.150001525878906,50.47999954223633,48.29999923706055,49.869998931884766
14,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,163.67,97,95,95,81,755.0,771.9699096679688,752.1099853515625,759.739990234375
15,HII,Industrials,Aerospace & Defense,S&P 500,163.25,97,97,95,89,439.9100036621094,447.6499938964844,433.6000061035156,437.57000732421875
16,ASML,Technology,Industrial Machinery,Nasdaq 100,160.24,97,97,93,40,1449.4200439453125,1487.010009765625,1448.3199462890625,1469.5899658203125
17,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500,153.54,96,93,92,98,151.82000732421875,157.6699981689453,151.02000427246094,157.08999633789062
18,LUV,Industrials,Passenger Airlines,S&P 500,151.9,96,89,55,47,52.18000030517578,52.40999984741211,51.29499816894531,52.09000015258789
