ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ALL,2026-03-12,203.3629,215.6588,215.6588,210.99,1.88,-1.65,1.91,2.63,0.45,0.33,17.26
ALL,2026-03-27,201.7734,215.6588,215.6588,210.99,1.88,-1.65,1.91,2.63,0.45,0.33,17.26
AWK,2026-04-08,132.7994,141.21,141.21,137.22,5.86,-1.46,-0.67,2.14,6.87,-1.41,-0.14
AZO,2026-03-03,3596.6164,3887.03,3887.03,3430.45,1.15,-3.32,0.88,-7.6,3.51,-14.83,-1.96
BBY,2026-02-20,62.1016,72.3189,72.3189,62.37,-5.39,-3.35,-3.3,0.27,-11.82,-16.63,17.3
BBY,2026-02-23,60.8161,72.3189,72.3189,62.37,-5.39,-3.35,-3.3,0.27,-11.82,-16.63,17.3
BIIB,2026-03-31,179.9904,202.41,202.41,172.97,-1.72,-2.34,-2.46,-9.19,-7.01,14.57,51.66
BIIB,2026-04-06,168.9257,202.41,202.41,172.97,-1.72,-2.34,-2.46,-9.19,-7.01,14.57,51.66
CAH,2026-03-06,215.6991,233.0351,233.0351,215.52,5.39,-0.13,0.69,0.29,6.69,37.28,74.36
CAH,2026-03-20,206.8217,233.0351,233.0351,215.52,5.39,-0.13,0.69,0.29,6.69,37.28,74.36
CAH,2026-03-24,203.7207,233.0351,233.0351,215.52,5.39,-0.13,0.69,0.29,6.69,37.28,74.36
CF,2026-04-08,123.1881,141.96,141.96,121.32,57.7,1.63,-6.66,0.99,49.97,35.29,81.31
CFG,2026-02-12,64.7563,68.79,68.79,64.17,10.63,-1.23,5.21,9.67,5.54,25.37,93.36
CFG,2026-02-27,60.103,68.79,68.79,64.17,10.63,-1.23,5.21,9.67,5.54,25.37,93.36
CI,2026-03-03,274.7225,296.1684,296.1684,271.25,-0.9,-2.59,0.46,3.98,-3.93,-10.59,-11.74
COP,2026-04-08,124.3542,135.87,135.87,122.55,31.93,-0.75,-6.11,4.72,25.11,32.96,53.34
DAL,2026-03-02,62.5795,76.183,76.183,67.82,-2.01,-0.01,1.59,14.68,-4.61,19.42,91.34
DAL,2026-03-05,60.368,76.183,76.183,67.82,-2.01,-0.01,1.59,14.68,-4.61,19.42,91.34
DAL,2026-03-06,58.8245,76.183,76.183,67.82,-2.01,-0.01,1.59,14.68,-4.61,19.42,91.34
DAL,2026-03-09,57.4467,76.183,76.183,67.82,-2.01,-0.01,1.59,14.68,-4.61,19.42,91.34
DELL,2026-03-31,156.9476,186.39,186.39,177.8,41.86,-2.02,1.97,20.65,50.7,8.92,149.48
DVN,2026-03-31,49.0084,52.71,52.71,47.79,31.15,-0.19,-3.44,5.91,33.11,38.26,82.94
DVN,2026-04-01,47.9954,52.71,52.71,47.79,31.15,-0.19,-3.44,5.91,33.11,38.26,82.94
DVN,2026-04-08,46.8924,52.71,52.71,47.79,31.15,-0.19,-3.44,5.91,33.11,38.26,82.94
EOG,2026-04-08,135.494,151.87,151.87,136.19,30.93,-0.29,-4.52,2.78,30.23,25.62,34.56
FANG,2026-04-01,189.0193,204.91,204.91,188.205,25.94,1.02,-2.93,6.55,28.22,27.88,62.13
FANG,2026-04-08,184.6478,204.91,204.91,188.205,25.94,1.02,-2.93,6.55,28.22,27.88,62.13
FCX,2026-03-03,63.0087,69.75,69.75,67.8,33.82,2.03,10.46,10.17,25.36,59.19,135.34
FCX,2026-03-06,58.87,69.75,69.75,67.8,33.82,2.03,10.46,10.17,25.36,59.19,135.34
FCX,2026-03-09,57.0805,69.75,69.75,67.8,33.82,2.03,10.46,10.17,25.36,59.19,135.34
FCX,2026-03-19,51.513,69.75,69.75,67.8,33.82,2.03,10.46,10.17,25.36,59.19,135.34
FRT,2026-03-09,104.4862,109.7102,109.7102,109.05,10.59,1.55,2.12,3.01,7.22,14.27,36.49
FRT,2026-03-20,101.7723,109.7102,109.7102,109.05,10.59,1.55,2.12,3.01,7.22,14.27,36.49
FTV,2026-03-06,55.9914,62.3518,62.3518,58.36,5.82,-3.1,4.07,3.75,5.82,17.36,24.32
FTV,2026-03-12,54.2549,62.3518,62.3518,58.36,5.82,-3.1,4.07,3.75,5.82,17.36,24.32
GL,2026-03-06,139.4678,152.3511,152.3511,145.84,4.73,-1.05,2.27,3.68,2.61,7.67,29.83
GL,2026-03-09,138.1297,152.3511,152.3511,145.84,4.73,-1.05,2.27,3.68,2.61,7.67,29.83
GM,2026-02-23,78.3623,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GM,2026-02-27,78.0848,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GM,2026-03-02,77.1986,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GM,2026-03-03,75.7088,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GM,2026-03-06,73.8613,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GM,2026-03-09,72.964,87.413,87.413,76.42,-5.8,-0.4,5.35,2.18,-10.02,36.09,81.73
GWW,2026-03-09,1091.9016,1218.63,1218.63,1172.0699,16.38,-0.01,4.89,5.55,13.64,21.7,28.54
GWW,2026-03-13,1066.0748,1218.63,1218.63,1172.0699,16.38,-0.01,4.89,5.55,13.64,21.7,28.54
GWW,2026-03-16,1057.5266,1218.63,1218.63,1172.0699,16.38,-0.01,4.89,5.55,13.64,21.7,28.54
HAL,2026-04-08,36.7708,41.18,41.18,37.59,33.66,-0.27,-1.52,4.62,17.41,58.91,100.52
HAS,2026-03-06,93.0357,106.2475,106.2475,91.73,12.64,-1.43,1.74,-2.69,3.62,23.36,87.37
HAS,2026-03-09,91.7231,106.2475,106.2475,91.73,12.64,-1.43,1.74,-2.69,3.62,23.36,87.37
HAS,2026-03-27,88.1367,106.2475,106.2475,91.73,12.64,-1.43,1.74,-2.69,3.62,23.36,87.37
HLT,2026-03-06,292.0818,333.7024,333.7024,323.43,12.65,0.29,6.06,8.95,8.46,24.5,61.04
HSIC,2026-03-19,72.1683,89.29,89.29,75.34,-0.32,-0.37,1.89,-1.52,-4.63,16.39,20.16
HST,2026-03-09,18.3579,20.7785,20.7785,20.14,14.8,1.16,5.22,6.07,11.78,27.7,67.42
IBKR,2026-02-05,68.9865,78.7155,78.7155,71.21,10.85,-1.0,5.12,4.12,1.61,-0.94,94.73
IBKR,2026-03-09,63.8104,79.095,79.095,71.21,10.85,-1.0,5.12,4.12,1.61,-0.94,94.73
JNJ,2026-03-05,238.9669,251.71,251.71,238.46,15.84,-1.18,-1.88,-1.86,16.51,27.18,63.4
JNJ,2026-04-07,237.1738,251.71,251.71,238.46,15.84,-1.18,-1.88,-1.86,16.51,27.18,63.4
JNJ,2026-04-08,236.3918,251.71,251.71,238.46,15.84,-1.18,-1.88,-1.86,16.51,27.18,63.4
JPM,2026-03-27,280.513,324.7381,324.7381,309.87,-2.9,-0.15,5.72,8.32,-5.56,2.9,45.66
KMI,2026-04-01,32.5258,34.73,34.73,32.68,20.03,-0.88,-0.88,-1.21,21.0,18.59,35.23
KMI,2026-04-08,32.1879,34.73,34.73,32.68,20.03,-0.88,-0.88,-1.21,21.0,18.59,35.23
KR,2026-04-01,70.0336,76.58,76.58,67.99,9.36,-3.35,-6.03,-5.82,14.28,0.84,4.53
KR,2026-04-08,70.5848,76.58,76.58,67.99,9.36,-3.35,-6.03,-5.82,14.28,0.84,4.53
LIN,2026-03-24,475.4228,508.9405,508.9405,503.15,18.4,-0.03,0.11,4.49,14.82,8.31,23.37
LIN,2026-04-08,484.0209,508.9405,508.9405,503.15,18.4,-0.03,0.11,4.49,14.82,8.31,23.37
LYB,2026-04-08,73.2442,83.94,83.94,73.72,72.32,2.01,-7.39,9.43,56.62,57.65,51.32
MAR,2026-03-06,319.3706,369.2865,369.2865,354.1,14.36,0.33,6.68,8.49,9.19,32.7,69.31
MAR,2026-03-09,312.748,369.2865,369.2865,354.1,14.36,0.33,6.68,8.49,9.19,32.7,69.31
MET,2026-02-05,75.1475,83.2534,83.2534,73.88,-5.74,-1.03,4.47,5.6,-6.73,-8.63,11.19
MET,2026-02-27,71.7939,83.2534,83.2534,73.88,-5.74,-1.03,4.47,5.6,-6.73,-8.63,11.19
MET,2026-03-27,67.358,83.2534,83.2534,73.88,-5.74,-1.03,4.47,5.6,-6.73,-8.63,11.19
MPC,2026-04-08,229.9609,255.77,255.77,222.62,37.57,-0.4,-7.91,-1.82,26.35,19.16,91.81
MPC,2026-04-09,223.2002,255.77,255.77,222.62,37.57,-0.4,-7.91,-1.82,26.35,19.16,91.81
MPC,2026-04-10,217.8074,255.77,255.77,222.62,37.57,-0.4,-7.91,-1.82,26.35,19.16,91.81
NTRS,2026-02-12,142.0693,156.7214,156.7214,152.23,12.08,-0.26,7.02,8.04,6.04,17.79,84.8
NTRS,2026-02-23,137.9956,156.7214,156.7214,152.23,12.08,-0.26,7.02,8.04,6.04,17.79,84.8
NTRS,2026-03-06,136.1949,156.7214,156.7214,152.23,12.08,-0.26,7.02,8.04,6.04,17.79,84.8
NTRS,2026-03-09,134.2459,156.7214,156.7214,152.23,12.08,-0.26,7.02,8.04,6.04,17.79,84.8
NUE,2026-02-13,180.7145,196.2307,196.2307,186.12,14.5,1.15,7.92,8.7,11.24,35.95,82.24
NUE,2026-03-09,164.981,196.2307,196.2307,186.12,14.5,1.15,7.92,8.7,11.24,35.95,82.24
NUE,2026-03-19,156.561,196.2307,196.2307,186.12,14.5,1.15,7.92,8.7,11.24,35.95,82.24
OMC,2026-03-20,74.231,86.3088,86.3088,74.77,-6.48,-0.15,-0.05,-6.61,-4.16,-4.23,10.43
OMC,2026-04-09,73.9039,86.3088,86.3088,74.77,-6.48,-0.15,-0.05,-6.61,-4.16,-4.23,10.43
ORCL,2026-04-09,136.5478,171.1622,171.1622,138.09,-28.72,0.17,-5.33,-15.05,-26.74,-51.78,12.43
ORCL,2026-04-10,134.9439,171.1622,171.1622,138.09,-28.72,0.17,-5.33,-15.05,-26.74,-51.78,12.43
OXY,2026-04-08,58.9217,67.45,67.45,57.97,41.65,-0.96,-7.94,4.3,34.73,30.07,64.01
PCAR,2026-03-09,117.283,131.5375,131.5375,127.19,16.45,0.11,7.5,7.68,7.89,35.36,50.99
PCAR,2026-03-20,110.9441,131.5375,131.5375,127.19,16.45,0.11,7.5,7.68,7.89,35.36,50.99
RCL,2026-03-02,292.7417,354.5014,354.5014,276.94,-0.18,0.38,1.22,-3.34,-8.52,-9.39,55.95
RCL,2026-03-06,270.4017,354.5014,354.5014,276.94,-0.18,0.38,1.22,-3.34,-8.52,-9.39,55.95
RCL,2026-03-09,263.126,354.5014,354.5014,276.94,-0.18,0.38,1.22,-3.34,-8.52,-9.39,55.95
REGN,2026-01-13,744.8827,820.1234,820.1234,748.87,-2.86,-2.47,-1.7,-3.33,-6.4,33.14,35.23
REGN,2026-03-19,728.5025,820.1234,820.1234,748.87,-2.86,-2.47,-1.7,-3.33,-6.4,33.14,35.23
RF,2026-02-12,29.3498,30.8732,30.8732,27.5,2.45,-2.31,3.89,4.92,-3.73,10.94,56.3
RL,2026-03-02,350.1765,388.0851,388.0851,379.87,7.72,-1.37,9.15,12.38,4.34,16.06,110.77
RL,2026-03-03,343.128,388.0851,388.0851,379.87,7.72,-1.37,9.15,12.38,4.34,16.06,110.77
RL,2026-03-09,329.8619,388.0851,388.0851,379.87,7.72,-1.37,9.15,12.38,4.34,16.06,110.77
RSG,2026-03-10,219.6496,232.7588,232.7588,214.66,1.88,-1.08,-3.82,-3.81,1.61,-4.19,-4.48
RSG,2026-03-25,211.6572,232.7588,232.7588,214.66,1.88,-1.08,-3.82,-3.81,1.61,-4.19,-4.48
SHW,2026-03-02,347.6112,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SHW,2026-03-03,342.1798,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SHW,2026-03-05,333.4382,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SHW,2026-03-06,328.1466,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SHW,2026-03-09,322.1271,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SHW,2026-03-19,304.9858,376.9365,376.9365,336.11,3.96,0.11,5.69,4.14,-1.22,0.02,8.17
SNA,2026-03-09,366.2202,390.05,390.05,379.72,10.89,-1.06,3.87,2.69,5.77,13.48,26.07
STLD,2026-02-13,188.3959,207.8268,207.8268,190.57,12.81,0.3,5.75,3.74,11.04,30.82,75.22
STLD,2026-03-09,176.8177,207.8268,207.8268,190.57,12.81,0.3,5.75,3.74,11.04,30.82,75.22
STLD,2026-03-19,161.7184,207.8268,207.8268,190.57,12.81,0.3,5.75,3.74,11.04,30.82,75.22
TRGP,2026-04-08,239.9167,253.87,253.87,243.09,32.41,-0.68,-0.53,2.78,38.21,45.96,54.95
TRI,2026-04-09,84.6632,113.35,113.35,83.27,-36.38,-1.89,-7.67,-19.24,-35.15,-44.45,-47.46
TRI,2026-04-10,83.2488,113.35,113.35,83.27,-36.38,-1.89,-7.67,-19.24,-35.15,-44.45,-47.46
TXN,2026-02-24,211.882,231.32,231.32,214.73,24.58,-0.12,10.19,8.08,14.69,20.08,51.71
TXN,2026-03-05,196.0009,231.32,231.32,214.73,24.58,-0.12,10.19,8.08,14.69,20.08,51.71
TXN,2026-03-06,192.8056,231.32,231.32,214.73,24.58,-0.12,10.19,8.08,14.69,20.08,51.71
TXN,2026-03-19,185.6851,231.32,231.32,214.73,24.58,-0.12,10.19,8.08,14.69,20.08,51.71
USB,2026-02-12,56.9002,60.5646,60.5646,55.66,5.39,-1.19,5.12,7.67,1.27,20.83,59.4
USB,2026-02-23,55.2151,60.5646,60.5646,55.66,5.39,-1.19,5.12,7.67,1.27,20.83,59.4
USB,2026-02-24,54.2256,60.5646,60.5646,55.66,5.39,-1.19,5.12,7.67,1.27,20.83,59.4
USB,2026-03-09,49.8429,60.5646,60.5646,55.66,5.39,-1.19,5.12,7.67,1.27,20.83,59.4
VLO,2026-04-08,234.8987,258.43,258.43,238.82,47.6,1.58,-2.16,3.36,25.59,48.85,133.73
