,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
30,CTSH,True,63,78,4,43,0,2,81.91291029779217,0.0,76.27707938191354,82.44999694824219,-3.000003590303309,22.103662549687407,13.12262456468998,3.4872219655310275
42,EA,True,86,2,36,51,0,15,203.70824574142873,0.0,167.44368451791578,203.9499969482422,-0.15665898934036124,1.917543889480639,30.786057841669034,75.85731656710766
89,SBUX,True,54,8,9,21,0,7,92.21819829159341,0.0,82.66262141098103,93.87999725341797,9.711344616373054,10.685034297409969,2.6111772529294544,-4.0210714615263
114,ALB,True,54,5,28,33,0,15,175.46164461086065,0.0,88.58160994215788,180.6999969482422,24.982704841430703,87.46937309743168,164.52137964247126,114.72583024257925
116,ALGN,True,81,45,6,31,0,4,163.091022111544,0.0,193.43853620270235,164.1199951171875,3.978711939306676,23.268736570196904,-19.37908866122926,-27.435116750280674
128,AME,True,70,17,39,49,0,18,215.04335001599944,0.0,184.30785611508574,226.6199951171875,8.591687414836963,22.62191749922679,28.617470495113984,24.74468600502682
148,BDX,True,54,10,19,26,0,5,198.34987761913973,0.0,184.22479515118567,201.08999633789062,3.0385286762179784,9.757622886519925,11.977193710205952,-17.520298024168557
159,BMY,True,62,2,19,36,0,5,53.788600148584635,0.0,42.418632687718336,54.279998779296875,1.4996496525664813,28.261237569973126,21.08811674693722,-2.957704022271235
206,CTVA,True,56,42,12,32,0,5,70.17164884221874,0.0,71.65602182065015,73.83999633789062,9.150029079664975,16.66800572373061,3.1086135459152042,16.050982374161322
210,CMI,True,63,13,73,38,0,48,559.8649586209226,0.0,421.789761494344,583.9400024414062,13.465720857385948,41.55477212174073,61.272779635809016,70.04738244790326
226,DOV,True,70,33,7,38,0,4,199.63820372612483,0.0,175.11139021758433,202.52999877929688,1.758528875780745,13.0138646058242,11.77722849695697,3.3939176391828885
231,DD,True,64,12,6,35,0,2,42.78101430708612,0.0,32.056797427357296,44.599998474121094,9.073120909392497,30.814765584265917,49.177465487082024,42.66494581375522
255,EXPD,True,61,30,31,39,0,19,157.89559337234184,0.0,120.71191068485092,161.5,6.911162855908786,35.97235091420105,45.776226856407845,43.15398346814126
262,FDX,True,65,11,34,44,0,14,301.723125362481,0.0,233.76826919143423,319.92999267578125,9.232126967455837,28.859882875838395,44.56828434461131,17.530900239053704
290,HAS,True,67,32,18,29,0,10,86.40488592217434,0.0,78.1289108245749,90.45999908447266,9.211634775742967,17.14200635485569,21.191972495631404,61.38303704816784
300,HST,True,57,5,6,23,0,3,18.092079229576633,0.0,15.859986653265482,18.65999984741211,3.4477821652861245,16.640384505445393,19.311052586327275,15.94905179975469
306,HII,True,201,5,22,98,0,15,405.39831853504614,0.0,191.1104971184664,427.8299865722656,23.746846665615077,43.65069736377495,67.0410587769479,123.65441692144425
361,MRK,True,54,6,24,32,0,11,106.55478759123537,0.0,84.60844993712256,108.33999633789062,1.6131997251929657,25.549786592576385,34.97897277567821,15.354502706460526
388,NUE,True,65,34,11,34,0,5,172.12801397854156,0.0,141.78023080289674,179.91000366210938,9.09079301575817,18.773220831734154,26.796798856110588,44.48228969229794
398,PH,True,67,26,25,36,0,13,912.6388959530353,0.0,744.8612670173021,948.4000244140625,6.4959898280906465,23.916368776453748,30.14621423480212,43.74122522886213
451,STLD,True,117,21,29,45,0,18,169.71933848677455,0.0,129.71267438798017,181.97000122070312,5.566605448420921,13.30697203160772,43.71359246261958,45.30357451160599
493,VTRS,True,54,3,13,38,0,7,12.436293401956986,0.0,10.058544416481638,13.069999694824219,5.658850571876938,28.490596764710652,48.57542055697863,22.62548635651694
