,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
14,AMAT,True,4,53,61,2,0,33,428.0935053863845,0.0,580.0950094506669,474.25,-0.027405219755123427,13.620030410832848,-1.2061512461164057,-28.928572049245112,28.701834612410153,137.40384156348188
43,FTNT,True,37,4,67,9,0,42,162.00417820024774,0.0,151.51182085280922,178.6699981689453,-0.039167126590150765,4.016995822821096,17.55378098001399,22.9832046188086,125.19536982082941,110.17526606177772
68,NFLX,False,13,20,78,0,15,0,0.0,78.13481871919123,0.0,71.72000122070312,0.5044851559310951,-4.766958510518454,-12.78122547388206,1.1565580778230509,-22.280014987610087,-41.139296700902214
107,AES,True,53,5,62,35,0,36,14.766908095329315,0.0,14.408760503058907,14.850000381469727,0.2700875132997639,0.2700875132997639,0.6779686879303496,2.3713305255216097,7.667432673083511,18.729972731080323
109,A,True,6,5,71,4,0,28,152.62746050385405,0.0,146.02421496744708,172.83999633789062,4.548747084751807,12.460142880006291,12.65072318886529,31.560011489042378,51.98563983084562,37.914164359927945
131,APTV,False,7,6,55,0,0,0,0.0,43.937834396641506,0.0,43.58000183105469,-3.5200274570384167,0.5537648306917832,-7.942539732602132,-27.871560490291525,-38.55047524502384,-48.963576364262444
145,BDX,True,7,5,51,2,0,33,176.73469084314797,0.0,181.49952863466888,179.22999572753906,-1.8025468265991484,-1.4407535265548232,-5.480261931792029,22.005104139400967,16.443005414800098,25.264873075918974
179,CRL,True,1,11,70,0,0,40,264.0054098049387,0.0,280.94089091639813,294.44000244140625,6.169551327866293,7.69174444885585,-1.3865578126608196,45.69024915842609,84.96136561702865,91.33147287621085
207,CSGP,False,11,30,64,0,9,0,0.0,29.911933494090057,0.0,27.860000610351562,-1.4154268056992874,-8.234518938539146,-15.164432153158469,-6.541425328835292,-32.80269844292997,-67.72100405698878
302,HPQ,True,55,6,65,27,0,18,31.132440017539654,0.0,22.493643329218592,31.139999389648438,-3.17164322948761,-4.77064629019533,10.016176621809773,35.00482587489242,68.47776800646076,15.806750604894754
306,HII,False,24,20,64,0,13,0,0.0,291.59160925473947,0.0,266.0,-1.4084462434759908,-4.347512135316363,-9.296235512305845,-4.427253516864369,-33.24842368175162,-2.078240899789895
308,IEX,True,2,19,96,0,0,44,218.98259943321708,0.0,230.3508480206929,228.5,-0.5094257753616829,3.160270880361174,-2.2208919453914397,3.190361680902366,19.278579691321678,44.39394317783085
309,ITW,True,2,15,57,0,0,29,265.31248106315155,0.0,279.2610986203748,272.0,-0.5193524094788652,1.7469096855215531,-4.208491527839188,3.7800335970383743,3.900456768663919,6.893525526448961
310,ILMN,True,7,3,90,5,0,48,223.387723482663,0.0,201.58325083012787,273.8999938964844,7.2519338474326664,19.643560328240273,22.704055370769705,56.4338338141884,117.41545213366568,169.8788054603583
311,INCY,True,5,4,68,3,0,32,121.29805572784612,0.0,122.4877052122527,124.44000244140625,-0.16045968326504786,-0.24849503694889782,-2.7660578392503665,14.733545539206371,37.320678293733366,46.86651423485766
313,PODD,False,35,39,94,0,15,0,0.0,157.98217541555658,0.0,135.77999877929688,-0.5201895269194251,-3.428170067553239,-6.629074068924775,-8.799036589115508,-39.78714023091048,-59.4831699816013
324,JKHY,False,7,55,65,0,21,0,0.0,156.96235342811403,0.0,147.75,-0.39102125254154557,-7.063779110162452,-13.033109761059263,15.79512384068924,-6.241724813658829,-0.9609695182428536
338,LHX,False,39,5,64,0,3,0,0.0,282.74544602033444,0.0,238.0399932861328,-0.48911558667940475,-5.065012335009098,-8.998010230599748,-16.740172817554207,-31.663101947691892,-14.888341950056866
362,MET,True,58,6,57,27,0,35,94.62909580317225,0.0,84.51301813596946,97.25,0.05144347050179283,0.020566329708946025,1.0809696761500018,15.66490009677494,41.082160069994586,23.519622869724717
373,NTAP,True,9,13,89,7,0,52,174.51343430847027,0.0,190.5288744641146,197.24000549316406,0.46350718363077725,3.0027676824132046,5.554963528260566,27.178625155083036,90.63601621619469,61.05599322799168
390,ON,False,6,3,53,0,0,0,0.0,67.08187198464454,0.0,73.1500015258789,-1.2820471900198045,9.834839642380715,1.696095114037333,-36.79799302227455,17.340393562450554,42.03883791432798
410,PRU,True,14,3,76,2,0,38,116.8186397654542,0.0,118.06319138553361,118.75,0.9864815870698271,1.4610381673756427,-2.0780050406725947,13.044328326491032,28.436780112499356,21.575561412537933
426,RVTY,True,7,3,87,5,0,39,132.42575844336997,0.0,121.5310551237818,150.67999267578125,6.030534113448898,3.396690519017679,22.504059086001014,42.73832219199451,72.52738958730949,75.14386458164009
460,TPL,False,42,21,60,0,11,0,0.0,402.3682344501495,0.0,338.25,0.7476052417446013,-2.9606699105983902,-9.280221739203032,-10.267764330083997,-36.60817846519602,16.423723693315814
502,WAT,True,41,6,51,21,0,27,411.9065832671758,0.0,364.490698744037,430.29998779296875,2.313522195901413,2.7852027366096332,4.759583151057517,16.555608735510184,42.521187286566736,42.257330125665064
506,WST,True,8,35,77,6,0,43,352.4333807183357,0.0,350.0812317648384,373.6000061035156,-0.6039292955438343,3.2015679194601,5.7398387747363655,9.821702581429557,52.53631079709813,48.58674415139866
