,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
29,CTSH,False,55,65,78,0,43,0,0.0,81.49819213997138,0.0,58.810001373291016,-2.712984894871804,-2.616323948213605,-5.053273042967571,-29.656952435149584,-10.992721659267238,-12.048482761508577
30,CMCSA,True,5,24,59,3,0,28,28.25148558438158,0.0,30.12819578680031,29.3700008392334,1.1015545975113465,3.780924491233273,2.418174349434764,2.843591418446253,8.467453013734024,-2.6446339931683305
32,CPRT,False,56,12,52,0,7,0,0.0,39.71550648879249,0.0,33.68000030517578,-0.1778345296565563,0.9592316815633489,0.8685262678299114,-18.470106062616622,-24.754241358018643,-42.65281701397863
59,MAR,True,13,20,55,10,0,24,352.0315375572726,0.0,327.9281036681016,367.1300048828125,-2.216009336452203,0.9319884366448551,12.437221988097097,14.74898448604874,41.81097828002506,71.82106073130366
63,MCHP,True,13,23,61,11,0,25,75.5398123208006,0.0,73.55091310621846,82.4800033569336,1.9152391522463441,10.726279664790061,28.19398205088192,8.878812458821043,24.81583842641896,115.43632814305963
70,NFLX,False,4,36,85,0,18,0,0.0,99.22481273383227,0.0,93.23999786376953,0.7128926546353309,-13.434222768263956,-0.1499243882696871,9.231486875671795,-24.719031980551502,-5.618935410983035
74,ODFL,True,15,18,65,12,0,41,209.09313951300703,0.0,191.8946326172986,219.97999572753906,-1.9784343987311586,7.2079502461901,17.19765546304085,23.479379617701174,56.86454128689428,47.80650509796073
75,PCAR,True,14,22,67,10,0,41,120.59976459288438,0.0,122.4760883050071,125.2699966430664,-0.7211948485563979,1.4496219934159094,9.578373843135992,1.8953172208625333,30.92210546526839,47.19109584442201
85,ROST,True,51,12,67,29,0,43,218.7910073242235,0.0,186.84232098622982,226.33999633789062,0.3324615506782684,0.9770254298635511,6.218030047262219,17.939375001739265,44.38725335837157,68.71947427160238
91,TMUS,False,25,32,108,0,14,0,0.0,213.20922671591802,0.0,188.9199981689453,-3.311326700912973,-0.6677555371777234,-9.503734843814126,3.392365203316857,-17.08945856689825,-24.196057259276984
94,TXN,True,13,28,59,11,0,35,221.86922188063966,0.0,215.01671660472303,236.30999755859375,1.3553522388305859,9.256093621481702,25.27699275913327,22.3457843358997,33.624082342493885,67.41442486225735
128,AME,True,11,23,93,8,0,62,222.38267154574473,0.0,226.69348670492806,230.4600067138672,-1.3188261800162127,0.15645397688064736,8.293787584116576,4.720941453683597,23.371373194101803,49.41266446997447
144,AVY,True,16,19,61,2,0,28,165.62902184011782,0.0,189.13805692732146,167.0500030517578,-1.4221666273026063,-0.5832266468240959,1.3406981090542458,-9.680009609677791,5.33484917862154,0.9491226164510407
145,BALL,True,11,23,55,9,0,42,61.19022628770983,0.0,64.77048169337635,62.66999816894531,-1.0890189942541122,-0.14340368864702663,7.569515919093582,12.405707452226135,29.567058351441183,34.44012128982799
156,BK,True,15,33,52,13,0,26,131.62926577148298,0.0,118.31785806431257,135.8800048828125,-1.47911348116023,2.9705956119304853,16.775527818899313,13.962835067767651,26.410160245772836,86.2318191970541
172,CARR,True,10,30,59,3,0,24,57.57213426683697,0.0,61.67543989343338,60.650001525878906,-1.7177079473664494,3.586682008851531,4.030878764273626,5.039833326671597,6.02457572255137,5.745530333751176
182,CF,False,10,66,54,0,41,0,0.0,123.18809716127723,0.0,122.45999908447266,0.947985779427162,1.365782269036669,1.8971532480506097,34.02323531423083,47.561129876522145,66.78734471373626
188,CHD,True,10,24,52,6,0,28,92.29127299410501,0.0,100.56055545061521,92.9000015258789,-0.33257972496363947,-1.8281684220133234,-1.8489170330562756,1.555163362377517,6.166875862956493,-8.756392401069993
193,CFG,True,16,32,53,14,0,41,62.93151209080569,0.0,64.99735482281262,65.16000366210938,-0.2143941548325377,-0.04601745386317228,12.383587748466045,2.431390449745617,31.658185330667276,95.83203113445732
213,CMI,True,12,41,67,8,0,41,594.6973644512377,0.0,567.6759137318636,639.219970703125,0.03599124747879783,6.278047975096407,16.592789913930687,10.193282100496507,55.58520456604005,137.44781092107843
217,DVA,False,14,41,64,0,22,0,0.0,148.29634979327673,0.0,152.4199981689453,1.6811236658229374,5.429888944476461,0.13796166205608187,43.38663574142282,19.03162400342712,14.17228327261821
228,DOV,True,11,25,91,7,0,49,210.1534699987955,0.0,222.92555122596067,216.1699981689453,-1.8658074419500328,0.32952354634472836,1.8276908971318666,3.891643761408476,28.624696413250227,38.288257201461505
233,DD,True,11,23,87,7,0,50,45.10565720616723,0.0,47.43527340096551,45.97999954223633,-1.562833561431164,-0.17369046606472413,4.168555002335141,6.418878234094001,36.992624476590606,86.57615179230814
250,ERIE,False,6,5,82,0,3,0,0.0,244.55924894286278,0.0,250.0,-1.51664605512976,2.2369448525782443,2.2638740007207905,-10.165617886078117,-20.11945417950676,-35.50548833178395
257,EXPE,True,34,31,61,12,0,29,245.1585160234604,0.0,280.8837096328939,264.6000061035156,-3.3601103358739386,2.7812319741330813,11.810696356602133,-2.3515817558196304,21.702971586727624,81.87406104384446
258,EXPD,True,3,45,70,1,0,42,143.67644139266088,0.0,159.07625105093678,148.44000244140625,-1.6823376328056898,3.069016829483938,5.621182248948448,-8.657924152989764,23.89751474282975,43.38050995319283
261,FFIV,True,14,3,84,6,0,37,296.35145451676476,0.0,279.9497537690938,311.17999267578125,-1.3880101776839482,4.0422603517077205,7.396028533487921,18.97534207575547,4.951093651190979,24.074955697493657
265,FDX,True,11,22,89,6,0,64,370.781793661425,0.0,370.31514591118685,385.95001220703125,-2.1896105352505915,5.762906391940456,8.479963328812623,26.24685239118445,62.42068114968394,92.34001638876536
267,FITB,True,16,26,59,14,0,35,48.86503322043958,0.0,51.231969948250814,50.560001373291016,-1.0567458257431308,1.4446252377584305,12.445961634329901,-3.4870770341859174,23.085458950203886,57.18453277749105
268,FSLR,False,2,7,64,0,1,0,0.0,188.41751642899848,0.0,188.7100067138672,1.1253448886164004,-3.3247901310653396,-0.6371058691785394,-22.570980728422484,-17.593883531062364,54.11189172477655
273,FOXA,True,33,33,56,16,0,34,61.83624099845298,0.0,71.75919345533714,65.55999755859375,1.9437102277310885,2.98460212965093,14.455305439513339,-9.378819898171553,13.23752532517929,40.19306589983476
274,FOX,True,11,48,63,9,0,33,55.75053550613797,0.0,64.44037067584276,58.56999969482422,1.6310925026670777,2.6643303735160377,13.441794466657234,-10.058400220352548,13.000903343430506,34.65917064025528
275,BEN,True,11,22,62,9,0,31,25.85912098919925,0.0,26.06611342075092,27.489999771118164,0.9177679959640391,3.2294428744052786,16.701913653061474,9.508279104131843,24.832107748988385,67.51061536455325
276,FCX,True,15,19,66,13,0,43,64.74917135055685,0.0,62.87025061550934,70.36000061035156,4.1290527277315565,2.416308203565137,28.34899047336194,16.399685165626305,67.55306034832813,116.01872397479703
293,HAS,True,4,24,96,1,0,40,89.18271664157035,0.0,94.0627657502126,90.61000061035156,-0.5051049588383818,-3.534546666706737,-2.559412096024207,3.793761048331115,23.121269292846755,82.10281195658457
302,HST,True,11,18,85,9,0,31,20.240193053703358,0.0,18.893370831256323,20.850000381469727,-1.2784112075512217,0.7733196872022072,10.095519003438305,12.806645263333543,30.28131665184058,62.931935846157174
305,HUBB,True,21,15,55,12,0,32,517.036763263024,0.0,506.8119227646023,549.75,0.11655490985612593,4.328765600051429,12.407220186690925,14.247306730435724,28.130719991874386,69.0570434710143
310,IEX,True,11,22,70,7,0,43,196.78650186987903,0.0,200.0905299321339,203.6300048828125,-0.5664282637577781,2.059944127075609,7.963524852264163,2.295793921565561,22.665497959511576,28.72525010813036
323,JBHT,True,14,19,70,11,0,35,228.21654184360324,0.0,217.5892763523451,247.02999877929688,-1.6169491488343606,10.19761823485548,21.821678797898173,18.03743283848485,49.961030816870775,96.46821336201874
331,KEY,True,15,33,53,13,0,32,21.181062552642295,0.0,22.014593662249702,22.040000915527344,-0.2714907914331567,2.178957938584965,12.162856709387718,2.619730632829375,29.4936981786869,67.14127690072932
332,KEYS,True,12,5,57,10,0,27,318.1114127689433,0.0,272.3768966981803,338.9700012207031,-0.09725510879386577,4.218293995604343,17.3068975790718,56.430844709765424,105.74810392758916,157.0291087886364
334,KIM,True,7,16,65,5,0,32,23.193133293938615,0.0,22.599491074017177,23.56999969482422,-0.5065463762268845,0.38330559771092165,3.8325942847770564,13.927230942043042,9.735780066460583,22.978113172997787
352,MTB,True,15,27,61,9,0,44,211.31013930708923,0.0,226.0596101495677,217.57000732421875,-0.6075772541567828,0.2164906529201217,8.427191943335188,-0.03443034879254358,21.286254559398433,42.9721902136922
355,MLM,True,11,38,51,4,0,23,595.5960440191918,0.0,655.0623790706323,610.6400146484375,-0.6265318633537165,-1.0211670126816084,5.722049595090897,-4.640162355403887,-2.3736108594353245,26.56246303749881
372,MSI,False,33,53,59,0,46,0,0.0,437.6594281019744,0.0,441.6600036621094,-0.8575036432635778,0.3293910259143263,-3.2804858325569834,12.122284074589446,-0.9229736015994923,8.278606642080556
382,NDSN,True,11,23,67,7,0,36,269.9159326841269,0.0,286.8516763000106,279.45001220703125,-1.1566175012567237,1.6181862571022727,4.0859657225139765,2.639731328113143,19.360488692711282,59.98639323379614
384,NTRS,True,14,28,58,11,0,30,151.85883193942158,0.0,142.06926769294228,167.8300018310547,-2.2766993927137196,7.535076539341609,22.378593100477133,16.861160669889237,31.773826805867202,98.26927968282415
388,NUE,True,16,28,78,14,0,40,193.4033362164423,0.0,181.22108080096177,214.25999450683594,2.9799082096481078,13.006322578838281,33.850560863370035,19.286890562341537,57.91215438652839,103.90875344661401
398,PH,True,11,23,90,4,0,50,917.7721948813196,0.0,986.3354243253265,954.4299926757812,-1.877269193658127,-0.9680851036880748,5.338498029658292,1.1550752256640544,29.49508498751538,76.00474572059002
405,PNC,True,14,34,55,12,0,41,218.07837768499977,0.0,230.1269363409129,225.05999755859375,-1.3111183745458914,1.3509862347937776,11.209186064677395,0.5760222700789864,25.44855234156089,54.95279515346907
407,PPG,True,20,20,63,10,0,42,104.17843267913446,0.0,123.19701568248828,111.66999816894531,0.676163011522642,3.6669113474564483,9.39458872048449,-0.20278794906942,10.743290285863186,15.30656409078369
424,REG,True,12,11,60,10,0,35,78.42890755044395,0.0,76.23680381706988,79.0,-1.2623448434744076,-0.6539193473566958,5.82719140683886,12.321259545967626,11.71498840632122,16.225162366561523
425,RF,True,13,29,59,11,0,33,27.08759560433753,0.0,29.349809644407465,28.209999084472656,-0.49383172879453885,1.2926344634539337,10.801257261934264,-0.5891790202342131,19.621289182918012,54.03317706620354
443,SW,True,11,25,64,6,0,38,39.390785507377494,0.0,45.24523913693613,39.689998626708984,-3.7117965761380973,-4.130441633198996,2.5581339644767906,-4.505091167416529,-5.183475917393256,0.09061020814085438
444,SNA,True,11,22,68,4,0,39,362.49370610760855,0.0,372.4074166700659,382.3800048828125,-0.3128374084832633,3.9047837656207602,5.469595299274295,3.5454943249596407,13.730273471963333,34.35108446831892
448,SWK,True,10,27,64,4,0,31,68.36329378447054,0.0,84.03087414652794,75.69999694824219,-0.7213154777151639,12.682340881754946,8.282066918658938,-8.379103844464383,12.083926343831733,40.732589853251405
450,STLD,True,16,17,141,12,0,52,196.9364340960618,0.0,189.06270011146017,227.4600067138672,3.2923117837330547,17.180982947118245,36.92028042040098,26.87758033081686,56.434880606110404,103.0280101562907
461,TDY,True,13,21,61,6,0,46,623.203376720263,0.0,655.3115215380789,656.6900024414062,2.1624519499697623,3.4532164777320773,5.272525696065463,5.6128316067081645,14.84007184222888,44.852761354427116
469,TSCO,False,58,6,96,0,4,0,0.0,51.79993205425774,0.0,38.959999084472656,-1.541573452251886,-12.938549531904679,-14.692356806432546,-26.397807687190987,-28.91099405012153,-20.07797560785509
477,USB,True,15,33,53,12,0,38,54.57969566427667,0.0,57.30227517723974,56.599998474121094,-0.4222408124956166,0.4080176451914613,10.994619091043065,3.090731321750832,22.58438166243039,56.04692003649036
