ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADM,2026-02-03,2026-03-02,2026-03-03,68.44,64.39,-5.92%,76.54,64.39,PENDING,,,68.68,20.36,2.58,-2.37,-4.77,7.12,12.82,53.14
AEE,2026-03-19,2026-04-09,2026-04-10,113.99,108.6264,-4.71%,124.7171,108.6264,PENDING,,,112.28,13.2,1.39,-1.78,0.04,10.24,9.24,16.68
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,134.56,17.62,0.13,-1.89,0.7,14.83,15.47,30.47
AES,2025-12-17,2026-01-02,2026-01-05,14.7948,13.2368,-10.53%,17.9108,13.2368,PENDING,,,14.5,2.31,0.35,0.62,2.11,4.8,3.25,46.27
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,185.02,18.49,-0.81,6.01,5.05,9.33,42.55,11.71
ALL,2026-03-12,2026-04-15,2026-04-16,217.12,203.3629,-6.34%,244.6342,203.3629,PENDING,,,213.87,3.27,-2.0,-0.3,3.18,9.66,3.08,11.55
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,161.01,22.88,4.33,10.24,21.0,28.72,16.01,118.79
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,297.24,21.97,0.69,-0.17,4.53,11.92,14.99,11.97
CAT,2026-03-03,2026-04-10,2026-04-13,788.42,710.0125,-9.94%,945.235,710.0125,PENDING,,,772.66,35.19,0.32,-1.83,10.07,21.25,47.25,162.74
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,328.42,5.53,0.35,-1.36,-0.74,9.43,15.73,14.62
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,78.11,12.53,0.81,-2.29,-0.23,10.96,6.64,9.44
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,81.16,21.35,-0.2,-2.87,1.39,16.3,30.14,35.94
DELL,2026-03-31,2026-04-13,2026-04-14,185.55,156.9476,-15.41%,242.7547,156.9476,PENDING,,,193.09,54.06,8.92,6.41,26.19,63.4,30.82,130.87
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,214.17,9.95,-0.6,-1.9,0.16,5.05,32.43,32.29
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,39.92,72.77,2.78,4.94,8.15,42.93,87.01,47.58
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,110.52,12.15,0.22,-3.88,-3.81,9.77,10.23,1.75
EIX,2026-03-20,2026-04-09,2026-04-10,75.81,68.2651,-9.95%,90.8998,68.2651,PENDING,,,71.6,22.51,0.35,-5.57,-0.62,17.6,31.14,32.57
EQIX,2026-03-09,2026-04-01,2026-04-02,989.8,920.4643,-7.01%,1128.4714,920.4643,PENDING,,,1070.9,40.54,1.7,3.81,9.62,34.76,32.52,39.79
ETN,2025-12-12,2026-02-11,2026-02-12,398.7566,329.4281,-17.39%,537.4135,329.4281,PENDING,,,392.73,23.69,-0.59,-1.93,7.91,18.97,5.53,43.1
ETR,2026-03-19,2026-03-27,2026-03-30,111.54,102.3872,-8.21%,129.8456,102.3872,PENDING,,,115.51,25.79,0.49,-1.64,8.9,22.17,21.09,43.71
FFIV,2026-03-27,2026-04-06,2026-04-07,307.2,279.9498,-8.87%,361.7005,279.9498,PENDING,,,308.06,20.68,3.0,4.57,7.7,15.18,-10.23,17.27
