,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
30,CTSH,True,61,78,4,42,0,2,81.91291029779212,0.0,76.27707937687966,84.6500015258789,-0.9014243263544587,25.287847979454824,13.230616025243084,7.456378225702418
42,EA,True,84,2,36,51,0,15,203.70824574142944,0.0,167.4436845281242,204.3699951171875,-0.2002166542403682,1.852836646845291,34.737229249794375,76.1740896106801
89,SBUX,True,52,8,9,20,0,7,92.21652963012323,0.0,82.66262141140095,95.72000122070312,13.184346181996379,11.989222937711713,3.6059223005047834,-0.5553145968951843
99,WBD,True,67,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648,28.06999969482422,-3.9685250276379582,32.71867707378625,104.89051157388216,173.85365555926066
114,ALB,True,52,5,28,32,0,15,175.46129805567173,0.0,88.58160994215761,194.17999267578125,30.752137807696922,84.36773349520963,161.9002440410799,123.30913144126198
116,ALGN,True,79,45,6,31,0,4,163.091022111544,0.0,193.43853620270235,167.0399932861328,5.82868548003993,23.54114709839825,-19.378352566325173,-28.40120398580756
128,AME,True,68,17,39,47,0,18,212.74563746026337,0.0,184.30785611499195,220.55999755859375,5.895908801261964,18.041965899960335,23.72225912256315,18.121479960905706
148,BDX,True,52,10,19,26,0,5,198.34987761913968,0.0,184.22479515117845,203.39999389648438,3.712012523224294,10.050627332947675,12.39674146110801,-14.643490203355626
159,BMY,True,60,2,19,36,0,5,53.78860014858464,0.0,42.41863268771835,55.560001373291016,2.753776352985913,28.260532821983915,19.95211212414182,-2.1841393832533083
203,COO,True,51,10,19,16,0,10,80.60335339905805,0.0,69.7933733819859,80.69999694824219,-2.264748399531906,9.780974837528982,10.684395686268765,-17.400205251803605
206,CTVA,True,54,42,12,30,0,5,69.22004296544885,0.0,71.65602182065017,73.0,8.42120602220173,14.978436712420883,1.344322740833022,15.304816600894588
210,CMI,True,61,13,73,38,0,48,559.0220353424542,0.0,421.78976149057775,576.22998046875,11.327281230344285,37.315947551761006,56.91103899951378,59.88267420839384
212,DHR,True,82,27,19,36,0,9,229.42034107675107,0.0,202.5321722820354,235.75,1.9900524442910608,5.8590975608185225,16.53366086220104,-3.486178883728612
222,DG,True,52,9,11,34,0,5,142.58995554991677,0.0,101.30296003797947,147.66000366210938,9.47933585944264,45.39637188419851,40.99492962671562,110.2466568072599
226,DOV,True,68,33,7,37,0,4,199.63820372612452,0.0,175.1113882821681,207.25999450683594,3.8584871930464697,17.13941445087209,12.71147833943346,5.473178711191913
231,DD,True,62,12,6,33,0,2,42.56795908591491,0.0,32.05679742190823,44.61000061035156,8.619432534287228,32.28158807440871,43.52556303980898,40.79701681257568
255,EXPD,True,59,30,31,39,0,19,157.89559337234172,0.0,120.71191068485089,158.3800048828125,4.499872944100639,35.14519206963402,38.01538573027037,41.87941156549923
262,FDX,True,63,11,34,44,0,14,300.54178322445966,0.0,233.7682692312835,312.4200134277344,5.582973934439908,30.218280216896932,30.371557919371416,17.022998048622014
271,FOX,True,63,13,7,33,0,1,64.78668816100785,0.0,54.191383801994476,64.9000015258789,-0.061596726245022215,22.68430936458395,25.632456478545006,40.84823805027244
290,HAS,True,65,32,18,27,0,10,85.43080186929794,0.0,78.12891082460786,89.69000244140625,9.873827586893368,18.022603889796628,19.68793177577506,62.433718558803534
300,HST,True,55,5,6,23,0,3,18.092079229574484,0.0,15.859986640540745,18.579999923706055,2.281235438112912,14.872571171902296,16.84369355178334,16.201602800307953
306,HII,True,199,5,22,97,0,15,392.23663129653636,0.0,191.11049073803258,422.7900085449219,18.944997615774046,41.59396944268794,62.57663988854556,113.44232247224258
361,MRK,True,52,6,24,32,0,11,106.5547875912364,0.0,84.60844994103249,107.91999816894531,1.3809312004187888,24.405523966943022,30.760822882388293,17.192223036627265
368,TAP,True,54,10,8,22,0,3,47.6032863341583,0.0,45.14130767632556,48.459999084472656,4.597446944174835,7.757515989314416,-0.9805680716123361,-8.877375690960442
388,NUE,True,63,34,11,34,0,5,172.12801397854116,0.0,141.78022089557055,173.5800018310547,5.2461447950396245,25.574517149053065,21.006540949304053,44.39647337540086
398,PH,True,65,26,25,36,0,13,912.6388959530302,0.0,744.8612412215266,925.969970703125,4.304086748353049,20.203683434969573,25.85952466519794,37.633353899737735
448,LUV,True,53,12,3,30,0,1,41.27823118256578,0.0,31.488679407816676,41.34000015258789,0.09685451880456437,28.94464773064893,28.3924220622933,31.310839145438884
451,STLD,True,115,21,29,45,0,18,169.71933848677702,0.0,129.7126628527135,175.64999389648438,0.44760509112397084,15.178168793468599,35.76098589896529,45.644920193809476
484,UPS,True,67,7,5,35,0,3,105.12033652230761,0.0,82.25657995616065,107.19999694824219,6.4971121082867676,25.04420090451332,9.394812159579553,-13.877904867842176
493,VTRS,True,52,3,13,37,0,7,12.43629340195693,0.0,10.058544416481356,13.119999885559082,7.1895435530757945,28.23442132626216,44.956164335641496,23.094598663322063
