Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,214.57,99,98,98,99,"COHR,GLW,APH"
2,Semiconductor Materials & Equipment,Information Technology,200.27,99,99,99,98,"TER,LRCX,AMAT,KLAC"
3,Wireless Telecommunication Services,Communication Services,168.37,98,99,99,99,"SATS,TMUS"
4,"Technology Hardware, Storage & Peripherals",Information Technology,164.57,97,95,96,95,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
5,Communications Equipment,Information Technology,159.72,96,97,87,94,"CIEN,ANET,CSCO,MSI,FFIV"
6,Construction & Engineering,Industrials,147.9,95,96,91,96,"FIX,PWR,EME,J"
7,Construction Machinery & Heavy Transportation Equipment,Industrials,133.41,94,91,94,69,"CAT,CMI,WAB,PCAR"
8,Semiconductors,Information Technology,133.13,93,84,85,90,"MU,INTC,MRVL,MPWR,AMD,ADI,ON,AVGO,ARM,MCHP,TXN,NVDA,FSLR,NXPI,SWKS,QCOM"
9,Electrical Components & Equipment,Industrials,132.28,92,90,64,84,"VRT,GNRC,AME,ROK,ETN,EMR"
10,Oil & Gas Equipment & Services,Energy,131.38,91,88,86,26,"HAL,BKR,SLB"
11,Oil & Gas Refining & Marketing,Energy,129.42,90,94,72,73,"VLO,MPC,PSX"
12,Electronic Manufacturing Services,Information Technology,128.54,89,80,93,89,"JBL,TEL"
13,Cargo Ground Transportation,Industrials,126.51,88,79,73,16,"JBHT,ODFL"
14,Steel,Materials,123.59,87,70,89,55,"STLD,NUE"
15,Agricultural Products & Services,Consumer Staples,122.29,86,93,81,80,"BG,ADM"
16,Interactive Media & Services,Communication Services,119.36,85,77,95,92,"GOOGL,GOOG,META"
17,Broadcasting,Communication Services,118.99,84,78,97,93,"WBD,FOXA,FOX"
18,Oil & Gas Exploration & Production,Energy,118.32,83,89,35,24,"APA,DVN,OXY,FANG,COP,CTRA,TPL,EOG,EQT,EXE"
