ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
AEP,2026-05-13,127.059,138.4346,138.4346,127.76,12.48,-1.4,-0.86,-5.09,-2.58,6.28,28.08
ALB,2026-05-19,165.8772,221.0,221.0,176.32,24.97,-0.65,3.59,-5.66,-4.42,52.99,205.18
AMP,2026-05-21,450.3206,485.2877,485.2877,439.85,-9.7,-0.75,-3.81,-7.13,-9.35,-0.74,-13.87
AVB,2026-05-21,180.6542,188.01,188.01,184.83,3.08,-0.75,-1.0,0.72,4.02,4.58,-4.68
AXP,2026-05-20,303.1247,339.98,339.98,315.12,-14.36,0.83,1.71,-0.25,-5.73,-10.99,8.4
BMY,2026-05-28,56.7327,60.78,60.78,56.91,7.85,-1.06,-2.78,-2.32,-5.9,21.81,27.43
CBOE,2026-05-28,342.8788,371.18,371.18,344.24,37.49,-0.99,-4.62,13.37,18.06,35.6,49.64
CCI,2026-05-13,87.4259,92.81,92.81,91.09,3.78,0.24,-1.67,5.71,6.75,4.83,-5.14
CCI,2026-05-15,85.855,92.81,92.81,91.09,3.78,0.24,-1.67,5.71,6.75,4.83,-5.14
CF,2026-04-08,122.6872,141.3828,141.3828,116.5,52.06,0.14,-5.52,-4.36,20.39,51.43,30.0
CF,2026-05-07,113.4321,141.3828,141.3828,116.5,52.06,0.14,-5.52,-4.36,20.39,51.43,30.0
CF,2026-05-27,113.8447,141.3828,141.3828,116.5,52.06,0.14,-5.52,-4.36,20.39,51.43,30.0
CMI,2026-05-19,650.1552,715.8317,715.8317,668.68,31.85,0.12,0.14,4.41,14.06,38.59,108.24
CMI,2026-05-21,634.4179,715.8317,715.8317,668.68,31.85,0.12,0.14,4.41,14.06,38.59,108.24
CVNA,2026-05-13,69.5161,83.914,83.914,73.49,-12.93,0.67,13.22,-9.59,3.83,11.05,17.43
CVNA,2026-05-19,62.6804,83.914,83.914,73.49,-12.93,0.67,13.22,-9.59,3.83,11.05,17.43
CVNA,2026-05-20,61.4607,83.914,83.914,73.49,-12.93,0.67,13.22,-9.59,3.83,11.05,17.43
DASH,2026-05-13,148.3942,191.17,191.17,156.7,-30.81,-0.56,-2.51,-8.88,-13.14,-16.68,-23.52
DLR,2026-05-18,186.3539,208.14,208.14,191.43,24.58,-0.15,0.41,-1.62,9.28,22.18,15.43
EIX,2026-04-13,71.832,76.22,76.22,70.28,20.25,-1.93,0.77,3.44,-4.36,21.96,30.4
EIX,2026-05-18,67.8271,76.22,76.22,70.28,20.25,-1.93,0.77,3.44,-4.36,21.96,30.4
EME,2026-05-19,853.6502,951.96,951.96,848.45,38.84,-0.8,-0.55,-1.77,13.76,40.9,78.74
EME,2026-05-21,841.0484,951.96,951.96,848.45,38.84,-0.8,-0.55,-1.77,13.76,40.9,78.74
EOG,2026-04-08,134.4501,150.6999,150.6999,134.58,30.39,0.21,-4.98,-0.88,11.97,28.45,25.3
EOG,2026-05-07,129.2493,150.6999,150.6999,134.58,30.39,0.21,-4.98,-0.88,11.97,28.45,25.3
EOG,2026-05-27,133.0017,150.6999,150.6999,134.58,30.39,0.21,-4.98,-0.88,11.97,28.45,25.3
EQIX,2026-04-28,1066.1319,1123.1251,1123.1251,1069.4399,41.04,-0.07,0.41,-0.16,13.37,42.07,24.74
EQIX,2026-04-30,1051.3736,1123.1251,1123.1251,1069.4399,41.04,-0.07,0.41,-0.16,13.37,42.07,24.74
ETN,2026-05-05,403.1771,434.23,434.23,401.94,26.94,-1.09,5.86,-2.43,7.93,22.36,23.9
FANG,2026-05-06,192.2517,213.3366,213.3366,194.14,30.63,0.67,-4.99,-2.43,17.6,33.01,44.85
FANG,2026-05-07,186.9795,213.3366,213.3366,194.14,30.63,0.67,-4.99,-2.43,17.6,33.01,44.85
FDS,2026-05-05,212.4086,247.33,247.33,238.9,-17.25,1.34,6.8,4.07,12.07,-11.29,-47.65
FDS,2026-05-13,198.0356,247.33,247.33,238.9,-17.25,1.34,6.8,4.07,12.07,-11.29,-47.65
FTV,2026-03-06,55.9914,62.3518,62.3518,59.17,7.29,-1.24,0.24,-4.21,-0.95,13.04,11.31
FTV,2026-03-12,54.2549,62.3518,62.3518,59.17,7.29,-1.24,0.24,-4.21,-0.95,13.04,11.31
FTV,2026-04-30,59.478,62.3518,62.3518,59.17,7.29,-1.24,0.24,-4.21,-0.95,13.04,11.31
GEV,2026-05-18,993.7806,1181.95,1181.95,996.0,52.6,-3.48,-2.78,-8.53,13.71,71.81,111.7
GM,2026-02-23,78.3623,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-02-27,78.0848,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-03-02,77.1986,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-03-03,75.7088,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-03-06,73.8613,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-03-09,72.964,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
GM,2026-05-19,71.8851,87.413,87.413,84.35,3.97,0.27,10.78,6.84,4.65,19.32,73.58
ICE,2026-04-30,153.2941,168.2,168.2,148.3,-8.14,-0.94,-2.23,-5.12,-8.66,-2.4,-15.96
