Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,"Technology Hardware, Storage & Peripherals",Information Technology,219.97,99,97,94,95,"WDC,STX,DELL,HPE,NTAP,AAPL,HPQ,SMCI"
2,Semiconductor Materials & Equipment,Information Technology,207.22,99,95,98,96,"TER,LRCX,AMAT,KLAC,Q"
3,Semiconductors,Information Technology,197.15,98,96,78,83,"MU,INTC,MRVL,ARM,AMD,ON,TXN,MPWR,ADI,MCHP,QCOM,NXPI,AVGO,FSLR,NVDA,SWKS"
4,Electronic Components,Information Technology,186.0,97,99,99,98,"COHR,GLW,APH"
5,Communications Equipment,Information Technology,170.44,96,99,99,99,"LITE,CIEN,CSCO,ANET,FFIV,MSI"
6,Steel,Materials,143.19,95,94,75,89,"NUE,STLD"
7,Construction & Engineering,Industrials,132.57,94,93,96,91,"FIX,PWR,EME,J"
8,Construction Machinery & Heavy Transportation Equipment,Industrials,128.46,93,88,89,87,"CAT,CMI,WAB,PCAR"
9,Cargo Ground Transportation,Industrials,128.17,92,90,84,76,"JBHT,ODFL"
10,Managed Health Care,Health Care,126.64,91,86,7,16,"HUM,CNC,UNH,ELV"
11,Electrical Components & Equipment,Industrials,123.87,90,85,88,66,"VRT,GNRC,ROK,ETN,AME,EMR"
12,Electronic Manufacturing Services,Information Technology,117.69,89,84,79,90,"JBL,TEL"
13,Passenger Airlines,Industrials,115.73,88,62,61,88,"DAL,LUV,UAL"
14,Wireless Telecommunication Services,Communication Services,113.99,87,98,97,99,"SATS,TMUS"
15,Air Freight & Logistics,Industrials,111.05,86,76,83,85,"FDX,CHRW,EXPD,UPS"
16,Investment Banking & Brokerage,Financials,110.02,85,65,46,92,"IBKR,MS,GS,HOOD,RJF,SCHW"
17,Interactive Media & Services,Communication Services,108.57,84,89,73,93,"GOOGL,GOOG,META"
18,Apparel Retail,Consumer Discretionary,108.54,83,73,87,82,"ROST,TJX"
19,Oil & Gas Refining & Marketing,Energy,107.74,82,91,95,53,"VLO,MPC,PSX"
