,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
2,^VIX,False,31,82,26,0,14,0,0.0,17.658234485655967,0.0
24,BKNG,True,28,64,7,18,0,4,5265.73274360208,0.0,5526.452218410495
31,CTSH,True,51,78,4,38,0,2,81.25990397861854,0.0,76.27707938191352
32,CMCSA,True,19,65,17,12,0,9,26.959685226348856,0.0,30.66063721410031
37,CRWD,False,37,57,31,0,27,0,0.0,522.7308591590778,0.0
39,DDOG,False,28,66,20,0,24,0,0.0,156.50614400277593,0.0
60,LIN,True,20,51,14,18,0,2,426.80824103277854,0.0,465.6691933081179
76,ODFL,True,29,55,14,22,0,3,159.56728768601283,0.0,144.65491527126085
91,SNPS,True,30,62,45,19,0,21,487.95446639387313,0.0,593.5392980258365
95,TXN,True,31,59,10,12,0,6,173.01288688513034,0.0,192.75359472007665
97,VRSK,True,10,55,7,2,0,3,217.75020354373743,0.0,242.62294678250666
120,MO,True,1,59,12,0,0,4,54.71317739341376,0.0,63.38570141567156
127,AMP,True,27,99,13,19,0,10,484.73018116004437,0.0,522.177808515772
155,XYZ,True,11,53,4,4,0,2,65.39260838305891,0.0,74.49672646587351
180,CF,True,7,54,15,2,0,7,75.96477323792136,0.0,85.00411707974271
185,CB,False,4,51,6,0,31,0,0.0,307.1903955157709,0.0
195,COIN,True,6,56,18,4,0,8,225.45081895247344,0.0,350.786468376921
264,FSLR,False,4,129,11,0,47,0,0.0,248.11273711772185,0.0
325,JCI,False,5,52,7,0,23,0,0.0,116.71162243784146,0.0
343,LYV,True,27,52,28,18,0,18,141.07843622617395,0.0,164.6194978704595
354,MA,True,30,56,26,14,0,15,560.5662797898285,0.0,581.2592174337175
358,MCK,False,28,57,49,0,31,0,0.0,855.2161999324727,0.0
371,MSI,True,17,59,42,14,0,24,370.67460369173943,0.0,467.5768062074687
377,NWS,True,5,66,8,3,0,4,29.540813612644282,0.0,32.97513809300715
437,SRE,False,26,59,3,0,27,0,0.0,89.9918114024579,0.0
469,TSCO,False,91,61,10,0,36,0,0.0,60.32106461649396,0.0
490,VRSN,True,2,70,18,0,0,10,238.82512121921104,0.0,280.11888068029606
