Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,200.16,99,99,98,73,"TER,LRCX,AMAT,KLAC"
2,Electronic Components,Information Technology,176.86,98,97,99,98,"GLW,APH"
3,Construction & Engineering,Industrials,149.42,97,91,94,96,"FIX,EME,PWR,J"
4,Communications Equipment,Information Technology,140.27,96,83,89,90,"CIEN,MSI,ANET,CSCO,FFIV"
5,"Technology Hardware, Storage & Peripherals",Information Technology,137.64,95,96,92,80,"WDC,STX,AAPL,DELL,HPE,NTAP,SMCI,HPQ"
6,Construction Machinery & Heavy Transportation Equipment,Industrials,135.48,94,94,85,59,"CAT,CMI,WAB,PCAR"
7,Oil & Gas Equipment & Services,Energy,134.08,93,90,64,34,"HAL,BKR,SLB"
8,Air Freight & Logistics,Industrials,125.85,92,93,81,27,"FDX,CHRW,UPS,EXPD"
9,Cargo Ground Transportation,Industrials,125.69,91,75,26,6,"JBHT,ODFL"
10,Semiconductors,Information Technology,125.55,90,92,84,67,"MU,INTC,MPWR,ADI,ON,MCHP,AMD,TXN,FSLR,NVDA,AVGO,NXPI,MRVL,ARM,SWKS,QCOM"
11,Steel,Materials,125.04,89,95,79,45,"STLD,NUE"
12,Agricultural Products & Services,Consumer Staples,124.68,88,88,74,65,"BG,ADM"
13,Passenger Airlines,Industrials,122.54,87,85,55,89,"LUV,DAL,UAL"
14,Electronic Manufacturing Services,Information Technology,122.24,86,79,86,97,"JBL,TEL"
15,Broadcasting,Communication Services,121.96,85,98,97,78,"WBD,FOX,FOXA"
16,Specialty Chemicals,Materials,121.91,84,82,46,24,"ALB,DD,PPG,IFF,ECL,LYB,SHW"
17,Independent Power Producers & Energy Traders,Utilities,121.17,83,63,88,87,"AES,NRG"
18,Integrated Oil & Gas,Energy,120.15,82,67,53,57,"XOM,CVX"
19,Aerospace & Defense,Industrials,119.61,81,81,73,79,"HII,HWM,LMT,LHX,NOC,RTX,GE,TXT,BA,GD,TDG,AXON"
20,Consumer Staples Merchandise Retail,Consumer Staples,118.63,80,80,52,56,"DG,DLTR,WMT,TGT,COST"
21,Pharmaceuticals,Health Care,117.76,79,72,70,16,"VTRS,MRK,JNJ,BMY,LLY,PFE,ZTS"
22,Biotechnology,Health Care,117.05,78,86,91,61,"MRNA,INSM,BIIB,GILD,AMGN,INCY,REGN,VRTX,ABBV,ALNY"
23,Oil & Gas Storage & Transportation,Energy,115.15,77,49,30,18,"TRGP,WMB,KMI,OKE"
24,Automobile Manufacturers,Consumer Discretionary,115.0,76,89,90,76,"GM,F,TSLA"
25,Health Care Distributors,Health Care,114.67,75,78,93,52,"CAH,MCK,COR,HSIC"
26,Electrical Components & Equipment,Industrials,114.63,74,66,56,68,"GNRC,AME,EMR,ROK,ETN"
27,Health Care Facilities,Health Care,114.58,73,70,95,36,"HCA,UHS"
28,Apparel Retail,Consumer Discretionary,114.45,72,73,82,47,"ROST,TJX"
29,Other Specialty Retail,Consumer Discretionary,113.4,71,77,67,81,"ULTA,TSCO"
30,Oil & Gas Refining & Marketing,Energy,113.36,70,68,80,64,"VLO,PSX,MPC"
31,Regional Banks,Financials,112.22,69,74,48,70,"CFG,KEY,FITB,RF,MTB,HBAN"
32,Rail Transportation,Industrials,111.13,68,48,58,33,"CSX,NSC,UNP"
33,Oil & Gas Exploration & Production,Energy,110.89,67,47,43,32,"TPL,APA,DVN,COP,CTRA,OXY,FANG,EQT,EOG,EXE"
34,Interactive Media & Services,Communication Services,110.34,66,87,96,86,"GOOGL,GOOG,META,MTCH"
35,Tobacco,Consumer Staples,108.57,65,57,40,71,"MO,PM"
36,Industrial Machinery & Supplies & Components,Industrials,107.33,64,53,41,25,"PH,NDSN,HUBB,SWK,DOV,IEX,IR,ITW,SNA,GWW,FTV,PNR,OTIS,XYL"
37,Health Care REITs,Real Estate,106.46,63,56,77,49,"WELL,VTR,DOC"
