ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
TAP,2026-09-08,38.8147,43.9873,43.9873,39.11,-13.34,-0.41,1.64,-2.88,-2.55,-6.01,-14.53
TRMB,2026-09-10,56.7746,62.0,62.0,57.32,-26.84,-2.52,-0.14,2.93,12.88,-14.56,-29.24
TRV,2026-08-20,357.9358,397.3415,397.3415,378.92,32.11,0.25,3.64,4.31,23.64,24.64,39.24
TSCO,2026-09-09,33.5687,36.6369,36.6369,32.78,-33.17,-0.76,-3.59,-4.83,9.26,-30.02,-43.69
TXN,2026-07-23,274.9839,332.3285,332.3285,260.67,52.78,-1.05,-0.35,-7.86,-14.3,35.43,50.07
TXN,2026-08-24,256.4034,332.3285,332.3285,260.67,52.78,-1.05,-0.35,-7.86,-14.3,35.43,50.07
UNH,2026-09-09,382.6362,458.7949,458.7949,375.26,15.92,-0.18,-3.94,-4.56,-7.38,32.05,10.74
V,2026-09-08,367.5501,385.57,385.57,370.93,6.4,-1.25,0.96,3.37,11.56,20.73,10.28
WDAY,2026-09-08,185.5195,227.49,227.49,,,,,,,,
WELL,2026-07-30,233.9525,254.2402,254.2402,234.5,27.7,0.75,-0.59,-0.34,10.25,10.8,40.87
WELL,2026-08-04,226.7435,254.2402,254.2402,234.5,27.7,0.75,-0.59,-0.34,10.25,10.8,40.87
WELL,2026-09-15,231.7237,254.2402,254.2402,234.5,27.7,0.75,-0.59,-0.34,10.25,10.8,40.87
WSM,2026-08-25,230.9714,254.89,254.89,218.2,23.46,-1.48,-4.1,-9.24,-3.63,20.66,10.05
WSM,2026-08-26,228.6938,254.89,254.89,218.2,23.46,-1.48,-4.1,-9.24,-3.63,20.66,10.05
ZBRA,2026-09-01,343.5757,386.23,386.23,341.18,40.51,-0.45,-1.06,-8.1,43.72,63.2,6.32
ZBRA,2026-09-10,337.6472,386.23,386.23,341.18,40.51,-0.45,-1.06,-8.1,43.72,63.2,6.32
