ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADI,2026-03-03,2026-04-17,2026-04-20,372.001,337.0319,-9.40%,441.9393,337.0319,PENDING,,,437.67,62.33,3.42,5.27,10.54,28.51,65.77,106.81
AMAT,2026-05-19,2026-05-26,2026-05-27,461.22,397.6929,-13.77%,588.2742,397.6929,PENDING,,,500.77,95.35,2.19,11.72,28.11,40.15,97.06,220.75
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,174.37,33.08,-0.55,13.0,1.01,29.33,36.11,94.22
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,282.27,15.83,1.07,-1.21,-5.39,3.59,9.68,4.0
ASML,2026-02-26,2026-05-06,2026-05-07,1548.74,1430.9424,-7.61%,1784.3351,1430.9424,PENDING,,,1726.36,61.93,1.23,8.04,24.54,23.64,59.23,133.06
BBY,2026-02-20,2026-05-28,2026-05-29,74.0,62.1016,-16.08%,97.7969,62.1016,PENDING,,,71.73,8.8,-1.44,11.14,24.44,8.06,-4.47,10.99
BEN,2026-02-27,2026-04-28,2026-04-29,29.86,26.0167,-12.87%,37.5465,26.0167,PENDING,,,30.37,28.98,-2.41,-4.1,2.26,15.93,38.58,50.74
BIIB,2026-03-31,2026-05-13,2026-05-14,200.25,179.9904,-10.12%,240.7692,179.9904,PENDING,,,195.96,11.35,3.78,-0.51,4.67,3.17,10.23,49.43
BKR,2026-03-03,2026-04-24,2026-04-27,69.7667,61.8632,-11.33%,85.5736,61.8632,PENDING,,,64.27,42.13,-0.42,1.69,-6.56,5.92,29.04,75.19
BNY,2026-04-29,2026-05-21,2026-05-22,139.59,130.9471,-6.19%,156.8758,130.9471,PENDING,,,140.57,22.11,-0.5,0.59,6.59,19.21,26.78,60.95
CAT,2026-03-03,2026-04-10,2026-04-13,786.9218,708.6633,-9.94%,943.4389,708.6633,PENDING,,,926.18,62.36,1.8,1.79,5.88,26.77,63.74,171.62
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,312.75,0.5,0.15,-2.46,-3.8,-6.13,6.74,4.93
CIEN,2026-05-19,2026-05-26,2026-05-27,605.54,499.802,-17.46%,817.016,499.802,PENDING,,,620.37,165.26,-1.06,6.58,15.2,80.58,208.76,658.86
CPAY,2026-03-16,2026-06-01,2026-06-02,359.84,305.2405,-15.17%,469.0389,305.2405,PENDING,,,352.25,17.05,-2.1,-0.1,13.33,7.16,18.89,9.37
CTVA,2026-03-05,2026-03-25,2026-03-26,81.552,76.2316,-6.52%,92.1929,76.2316,PENDING,,,77.8,16.6,0.3,-2.39,-4.54,-0.03,17.46,10.72
D,2026-03-19,2026-05-18,2026-05-19,66.5338,60.3738,-9.26%,78.8537,60.3738,PENDING,,,65.46,14.05,-1.52,-1.61,5.03,5.67,11.14,20.4
DAL,2026-03-02,2026-05-22,2026-05-26,78.2,62.4139,-20.19%,109.7721,62.4139,PENDING,,,78.78,14.13,-1.55,-3.69,15.31,23.75,23.47,64.38
DOV,2026-01-29,2026-02-03,2026-02-04,211.853,198.4749,-6.31%,238.6092,198.4749,PENDING,,,213.51,9.88,0.79,0.31,-3.09,-3.52,16.03,22.53
DOW,2026-02-20,2026-03-11,2026-03-12,35.3901,28.8855,-18.38%,48.3995,28.8855,PENDING,,,35.4,54.76,1.96,3.68,-11.88,10.58,51.78,36.95
DVA,2026-03-13,2026-05-06,2026-05-07,194.32,146.8105,-24.45%,289.3391,146.8105,PENDING,,,195.03,71.67,3.8,0.06,26.58,26.0,63.56,45.1
ESS,2026-02-12,2026-04-28,2026-04-29,269.33,248.0423,-7.90%,311.9053,248.0423,PENDING,,,277.79,8.37,0.08,0.35,4.96,9.65,8.97,1.5
ETR,2026-03-19,2026-03-27,2026-03-30,110.9346,101.8315,-8.21%,129.1408,101.8315,PENDING,,,108.66,18.98,0.99,-2.56,-6.65,2.59,16.26,34.04
EW,2026-01-29,2026-06-01,2026-06-02,87.6,80.8594,-7.69%,101.0811,80.8594,PENDING,,,86.0,0.88,-1.89,-0.59,3.2,0.92,0.86,10.12
FDS,2026-05-05,2026-06-01,2026-06-02,265.42,211.3772,-20.36%,373.5056,211.3772,PENDING,,,253.44,-11.79,-0.93,8.04,13.47,12.99,-7.63,-43.54
GL,2026-03-06,2026-04-23,2026-04-24,154.63,139.4678,-9.81%,184.9544,139.4678,PENDING,,,151.2,8.57,0.1,-2.07,-0.95,4.7,14.58,24.75
GS,2026-02-13,2026-05-20,2026-05-21,977.9002,866.5516,-11.39%,1200.5974,866.5516,PENDING,,,1041.02,19.58,-2.21,4.93,15.76,20.57,30.27,77.37
GWW,2026-03-09,2026-05-07,2026-05-08,1237.0681,1089.6978,-11.91%,1531.8089,1089.6978,PENDING,,,1284.22,27.77,1.25,3.06,12.67,12.05,36.45,20.56
HAL,2026-04-08,2026-04-29,2026-04-30,41.4,36.7708,-11.18%,50.6585,36.7708,PENDING,,,41.03,45.89,2.24,3.61,-2.26,19.17,55.81,110.67
HLT,2026-03-06,2026-04-17,2026-04-20,339.702,291.9461,-14.06%,435.2139,291.9461,PENDING,,,331.37,15.47,-0.44,-1.59,6.47,8.73,17.19,33.28
HST,2026-03-09,2026-04-14,2026-04-15,20.84,18.3579,-11.91%,25.8042,18.3579,PENDING,,,23.85,35.95,0.85,1.58,14.33,19.8,40.03,63.08
HWM,2026-03-12,2026-05-07,2026-05-08,273.42,240.6297,-11.99%,339.0006,240.6297,PENDING,,,248.63,21.39,-0.83,-3.64,3.77,-4.36,25.23,44.33
IBKR,2026-02-05,2026-04-15,2026-04-16,80.1188,68.9167,-13.98%,102.5232,68.9167,PENDING,,,87.15,35.8,-1.77,7.77,6.75,26.16,37.44,68.21
JBHT,2026-05-12,2026-05-15,2026-05-18,260.87,234.4079,-10.14%,313.7941,234.4079,PENDING,,,280.05,44.66,1.62,3.39,17.72,19.43,56.42,106.92
KEYS,2026-03-30,2026-04-08,2026-04-09,318.0,268.0822,-15.70%,417.8355,268.0822,PENDING,,,350.48,72.49,1.13,0.81,-0.25,16.47,77.42,121.32
KO,2026-03-03,2026-05-19,2026-05-20,82.17,78.0633,-5.00%,90.3835,78.0633,PENDING,,,78.76,13.43,0.45,-3.5,0.73,1.54,10.22,12.56
LIN,2026-03-24,2026-04-24,2026-04-27,510.28,475.4228,-6.83%,579.9944,475.4228,PENDING,,,507.57,19.44,2.35,-0.06,2.84,2.02,25.55,10.73
LYV,2026-04-15,2026-05-14,2026-05-15,168.88,155.5255,-7.91%,195.589,155.5255,PENDING,,,164.25,15.26,-2.02,-1.39,4.23,3.54,25.29,18.55
MAR,2026-03-06,2026-04-17,2026-04-20,374.6205,318.7414,-14.92%,486.3788,318.7414,PENDING,,,376.75,21.91,0.8,-2.36,8.71,12.37,24.65,45.51
MDLZ,2026-02-17,2026-05-28,2026-05-29,62.1,58.8321,-5.26%,68.6357,58.8321,PENDING,,,61.31,14.88,0.39,-1.51,-0.11,5.37,10.66,-6.16
MET,2026-02-05,2026-05-21,2026-05-22,84.37,74.576,-11.61%,103.9579,74.576,PENDING,,,80.96,4.09,-2.25,-2.69,3.33,11.27,7.67,5.99
MPC,2026-04-08,2026-05-05,2026-05-06,252.0381,229.0866,-9.11%,297.9411,229.0866,PENDING,,,267.21,65.76,1.58,8.16,6.21,21.5,37.44,71.62
MPWR,2026-05-18,2026-06-03,,,1486.2936,,,,PENDING,,,1689.89,86.82,3.99,4.3,7.41,54.07,82.7,154.65
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,,49.06,66.36,7.49,3.05,3.72,-15.12,103.06,81.37
NDAQ,2026-03-27,2026-04-27,2026-04-28,90.71,81.3211,-10.35%,109.4877,81.3211,PENDING,,,86.81,-10.34,-1.25,-4.11,-4.92,-2.29,-2.25,4.6
NTRS,2026-02-12,2026-04-16,2026-04-17,158.68,142.0693,-10.47%,191.9014,142.0693,PENDING,,,168.45,24.02,-0.79,0.3,4.47,16.77,30.11,62.44
