ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ALL,2026-03-12,203.3629,215.6588,215.6588,214.88,3.76,-0.1,2.07,4.22,3.5,5.5,14.84
ALL,2026-03-27,201.7734,215.6588,215.6588,214.88,3.76,-0.1,2.07,4.22,3.5,5.5,14.84
AWK,2026-04-08,132.7994,141.21,141.21,133.39,2.91,-0.76,-1.46,-4.51,3.07,-5.47,-4.47
AZO,2026-03-03,3596.6164,3887.03,3887.03,3508.5,3.45,-0.17,3.59,-1.53,-0.41,-13.91,-2.95
BBY,2026-02-20,62.1016,72.3189,72.3189,62.06,-5.86,1.99,-3.06,0.66,-6.2,-9.36,9.72
BBY,2026-02-23,60.8161,72.3189,72.3189,62.06,-5.86,1.99,-3.06,0.66,-6.2,-9.36,9.72
BIIB,2026-03-31,179.9904,202.41,202.41,178.96,1.69,1.47,1.91,-1.43,-3.59,22.1,57.84
BIIB,2026-04-06,168.9257,202.41,202.41,178.96,1.69,1.47,1.91,-1.43,-3.59,22.1,57.84
CAH,2026-03-06,215.6991,233.0351,233.0351,214.95,5.11,0.36,1.02,-0.74,6.39,37.69,68.66
CAH,2026-03-20,206.8217,233.0351,233.0351,214.95,5.11,0.36,1.02,-0.74,6.39,37.69,68.66
CAH,2026-03-24,203.7207,233.0351,233.0351,214.95,5.11,0.36,1.02,-0.74,6.39,37.69,68.66
CF,2026-04-08,123.1881,141.96,141.96,118.96,54.64,-2.24,-11.08,-8.19,48.03,37.75,73.97
CFG,2026-02-12,64.7563,68.79,68.79,64.87,11.84,0.17,5.31,16.59,8.51,33.84,93.28
CFG,2026-02-27,60.103,68.79,68.79,64.87,11.84,0.17,5.31,16.59,8.51,33.84,93.28
CI,2026-03-03,274.7225,296.1684,296.1684,272.6,-0.41,-0.92,-0.6,2.02,-0.69,-8.34,-14.94
COP,2026-04-08,124.3542,135.87,135.87,118.79,27.89,-3.91,-9.85,-2.54,25.36,37.87,47.51
DAL,2026-03-02,62.5795,76.183,76.183,71.7,3.59,6.94,9.27,21.98,1.22,25.46,84.4
DAL,2026-03-05,60.368,76.183,76.183,71.7,3.59,6.94,9.27,21.98,1.22,25.46,84.4
DAL,2026-03-06,58.8245,76.183,76.183,71.7,3.59,6.94,9.27,21.98,1.22,25.46,84.4
DAL,2026-03-09,57.4467,76.183,76.183,71.7,3.59,6.94,9.27,21.98,1.22,25.46,84.4
DVN,2026-03-31,49.0084,52.71,52.71,45.25,24.18,-4.27,-9.41,-2.16,27.34,40.86,67.29
DVN,2026-04-01,47.9954,52.71,52.71,45.25,24.18,-4.27,-9.41,-2.16,27.34,40.86,67.29
DVN,2026-04-08,46.8924,52.71,52.71,45.25,24.18,-4.27,-9.41,-2.16,27.34,40.86,67.29
EOG,2026-04-08,135.494,151.87,151.87,133.59,28.43,-2.46,-7.38,-0.01,27.91,25.99,32.44
FANG,2026-04-01,189.0193,204.91,204.91,186.51,24.81,-1.37,-4.6,2.27,27.15,35.11,55.57
FANG,2026-04-08,184.6478,204.91,204.91,186.51,24.81,-1.37,-4.6,2.27,27.15,35.11,55.57
FCX,2026-03-03,63.0087,69.75,69.75,68.27,34.75,0.35,12.36,21.09,16.57,68.02,120.8
FCX,2026-03-06,58.87,69.75,69.75,68.27,34.75,0.35,12.36,21.09,16.57,68.02,120.8
