Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,178.25,99,99,99,98,"COHR,GLW,APH"
2,"Technology Hardware, Storage & Peripherals",Information Technology,171.47,99,96,97,97,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
3,Semiconductor Materials & Equipment,Information Technology,166.31,98,99,98,96,"TER,LRCX,AMAT,KLAC,Q"
4,Communications Equipment,Information Technology,160.0,97,97,84,87,"CIEN,ANET,CSCO,FFIV,MSI"
5,Wireless Telecommunication Services,Communication Services,159.66,96,98,99,99,"SATS,TMUS"
6,Semiconductors,Information Technology,157.98,95,85,85,85,"MU,INTC,MRVL,ON,AMD,MPWR,ARM,ADI,MCHP,TXN,AVGO,NXPI,NVDA,QCOM,SWKS,FSLR"
7,Construction & Engineering,Industrials,149.92,94,95,88,95,"FIX,PWR,EME,J"
8,Oil & Gas Equipment & Services,Energy,135.44,93,92,90,70,"HAL,BKR,SLB"
9,Oil & Gas Refining & Marketing,Energy,134.89,92,94,81,84,"VLO,MPC,PSX"
10,Steel,Materials,134.31,91,76,94,64,"STLD,NUE"
11,Construction Machinery & Heavy Transportation Equipment,Industrials,127.05,90,90,93,81,"CAT,CMI,WAB,PCAR"
12,Electrical Components & Equipment,Industrials,124.29,89,87,71,72,"VRT,GNRC,ETN,AME,ROK,EMR"
13,Oil & Gas Exploration & Production,Energy,123.2,88,91,61,41,"APA,DVN,FANG,OXY,CTRA,COP,EOG,TPL,EQT,EXE"
14,Interactive Media & Services,Communication Services,121.24,87,75,92,90,"GOOGL,GOOG,META"
15,Agricultural Products & Services,Consumer Staples,120.97,86,93,87,76,"BG,ADM"
16,Electronic Manufacturing Services,Information Technology,118.14,85,84,69,92,"JBL,TEL"
17,Cargo Ground Transportation,Industrials,116.95,84,88,91,24,"JBHT,ODFL"
18,Food Retail,Consumer Staples,115.93,83,83,63,60,"CASY,KR"
19,Oil & Gas Storage & Transportation,Energy,114.2,82,80,62,31,"TRGP,WMB,OKE,KMI"
20,Data Center REITs,Real Estate,114.07,81,78,20,37,"EQIX,DLR"
21,Integrated Oil & Gas,Energy,113.63,80,89,83,59,"XOM,CVX"
22,Broadline Retail,Consumer Discretionary,113.4,79,58,32,71,"EBAY,AMZN"
23,Apparel Retail,Consumer Discretionary,112.94,78,86,73,73,"ROST,TJX"
24,Broadcasting,Communication Services,111.45,77,77,95,99,"WBD,FOXA,FOX"
25,Specialty Chemicals,Materials,111.32,76,82,82,36,"ALB,LYB,DD,IFF,PPG,ECL,SHW"
26,Managed Health Care,Health Care,108.37,75,7,9,17,"CNC,UNH,ELV,HUM"
27,Rail Transportation,Industrials,107.55,74,67,66,50,"CSX,UNP,NSC"
28,Electronic Equipment & Instruments,Information Technology,106.02,73,59,23,15,"KEYS,TDY,ZBRA,ROP"
29,Health Care REITs,Real Estate,104.01,72,65,49,76,"WELL,VTR,DOC"
30,Retail REITs,Real Estate,103.48,71,62,50,40,"FRT,SPG,KIM,REG,O"
31,Pharmaceuticals,Health Care,103.45,70,74,79,51,"VTRS,MRK,JNJ,BMY,LLY,PFE,ZTS"
32,Air Freight & Logistics,Industrials,103.39,69,79,96,78,"FDX,CHRW,EXPD,UPS"
33,Tobacco,Consumer Staples,102.71,68,55,68,46,"MO,PM"
34,Fertilizers & Agricultural Chemicals,Materials,102.44,67,81,37,23,"CF,CTVA,MOS"
35,Regional Banks,Financials,101.41,66,64,86,48,"CFG,KEY,FITB,RF,MTB,HBAN"
36,Hotel & Resort REITs,Real Estate,100.97,65,54,49,58,"HST,VICI"
