,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
29,CTSH,False,61,65,78,0,43,0,0.0,81.49819213997138,0.0,52.900001525878906,-3.2906749761511684,-3.9927350438593274,-13.77342650107253,-35.51341068576656,-21.2595167670667,-26.532540012519874
32,CPRT,False,62,12,52,0,7,0,0.0,39.71550648879249,0.0,33.11000061035156,-0.6600696328139486,-2.272728552208713,-0.2710847907219211,-17.800393213096495,-24.86952384925895,-45.281769081509005
85,ROST,True,57,12,67,32,0,43,220.85771365223212,0.0,186.84232098622985,227.7899932861328,1.2040125435542903,0.38339288040174213,5.151635577609568,22.39897630017159,42.373430140819416,63.41987716726305
108,ACN,False,64,14,4,0,6,0,0.0,265.1760702212069,0.0,178.7100067138672,-0.8598623322991227,0.24119808027519915,-9.110127483177875,-31.00623268151399,-28.863024530115112,-39.314875259604875
161,BRO,False,82,13,40,0,5,0,0.0,78.5060024605591,0.0,60.150001525878906,-2.4172580767736918,-10.95485002452023,-7.759542446916858,-16.382468191003944,-26.66370492990572,-43.8912321369934
168,CPB,False,51,12,40,0,8,0,0.0,27.14479065655307,0.0,20.790000915527344,1.6625923711653667,-0.8110600017690296,-4.990042647471194,-21.663394480735786,-30.582763031922468,-38.92471117974487
174,CASY,True,78,19,20,37,0,11,759.4111939043199,0.0,542.7505654060715,822.1500244140625,5.201538632637556,4.093339848324756,12.954419937916647,34.61318451314981,54.74339335920564,78.16554160046685
179,COR,False,60,14,29,0,8,0,0.0,343.4472680199535,0.0,308.010009765625,-1.098154638470121,-1.0854570550788405,-1.9513607299193492,-12.372244439825545,-7.923757021096428,6.9093577645799185
245,EPAM,False,61,19,2,0,10,0,0.0,207.9459959203581,0.0,113.77999877929688,0.7705208475513098,-5.787859615851731,-15.96750080632674,-45.53896238918808,-29.722048753105245,-28.816315449123337
248,EQIX,True,94,19,11,61,0,2,1071.4190300297457,0.0,775.5292690167144,1082.8299560546875,-0.5729650566189413,-2.9104611240945064,10.465800910222331,31.799731052886866,34.20958607803757,30.09327057853864
252,EL,False,59,49,13,0,29,0,0.0,110.93413747199727,0.0,76.70999908447266,1.3475975824627753,0.4057559586418919,6.883102511449674,-33.20832868050662,-21.79100918086298,30.78074659308786
284,GIS,False,52,22,8,0,15,0,0.0,45.281190256235725,0.0,35.310001373291016,2.4369020099812926,-0.4510849785895149,-3.5303839574730587,-19.18525602089729,-24.22120326640388,-33.54713231151297
314,PODD,False,68,11,20,0,0,0,0.0,277.5896685808415,0.0,172.13999938964844,7.574049989744515,-10.441707831630172,-17.9660682454152,-32.52058201841175,-46.92606482910711,-31.492021943458496
326,J,False,54,6,3,0,4,0,0.0,134.97190135829246,0.0,129.41000366210938,3.0580584348312576,1.4343955202932444,1.673479653708924,-4.802050103156199,-17.84562345343261,6.5113076869363935
341,LDOS,False,55,26,12,0,3,0,0.0,182.50830903965908,0.0,149.22000122070312,2.2685199612898828,1.0975576220852974,-4.050927776931267,-20.086558005279414,-20.169439336074436,2.1013115657122383
365,MGM,True,60,21,26,27,0,18,37.933436441708444,0.0,36.05373621659116,38.939998626708984,-0.8403407873896426,0.0,5.214807870047554,16.796636018270732,21.877927063706398,22.452828808018637
427,RMD,False,54,23,14,0,7,0,0.0,252.33675101341927,0.0,213.80999755859375,0.8870876930046446,-2.5966913083152026,-4.753206687466238,-16.81019005786848,-16.27431964099705,-9.257903995008885
459,TGT,True,62,3,17,33,0,10,124.87872715280791,0.0,102.6226508899471,129.75,1.4702410362372664,-0.32265358750347706,7.054458141124415,27.450032161165094,36.67155198622113,40.021470967962905
469,TSCO,False,64,6,96,0,4,0,0.0,51.799932054257766,0.0,35.099998474121094,0.9490883290561987,-8.042965266165343,-22.516558354806094,-30.81433067024859,-36.185047572764965,-28.400599454315735
