ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADM,2026-02-03,2026-03-02,2026-03-03,68.44,64.39,-5.92%,76.54,64.39,PENDING,,,71.72,25.69,-0.6,-1.33,5.59,19.46,16.68,71.4
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,134.71,17.75,1.35,2.77,2.16,18.02,18.32,33.24
AES,2025-12-17,2026-01-02,2026-01-05,14.7948,13.2368,-10.53%,17.9108,13.2368,PENDING,,,14.4,1.61,-0.21,2.2,1.48,-2.21,3.4,41.22
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,176.83,13.24,5.97,3.15,1.02,5.47,34.47,15.19
APD,2026-02-13,2026-04-08,,,273.4019,,,,PENDING,,,296.61,21.71,1.44,2.75,8.77,15.52,10.96,15.6
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,332.64,6.89,1.6,2.06,2.84,7.87,16.49,19.26
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,78.82,13.56,0.29,1.6,2.05,12.83,9.27,11.71
COHR,2026-02-05,2026-02-09,2026-02-10,232.2,189.3103,-18.47%,317.9794,189.3103,PENDING,,,281.79,52.67,10.46,18.29,11.68,45.17,145.53,457.12
COST,2026-03-06,2026-04-08,,,970.2565,,,,PENDING,,,1030.27,19.64,1.68,3.4,2.48,16.04,13.41,13.03
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,83.96,25.54,-1.61,0.3,7.23,21.3,31.22,51.97
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,216.69,11.24,4.41,3.95,2.7,6.73,30.79,42.66
