Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,209.34,99,99,98,99,"COHR,GLW,APH"
2,Semiconductor Materials & Equipment,Information Technology,197.23,99,99,99,98,"TER,LRCX,AMAT,KLAC"
3,Wireless Telecommunication Services,Communication Services,166.56,98,98,99,99,"SATS,TMUS"
4,"Technology Hardware, Storage & Peripherals",Information Technology,161.59,97,95,96,95,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
5,Communications Equipment,Information Technology,160.72,96,97,86,93,"CIEN,ANET,CSCO,MSI,FFIV"
6,Construction & Engineering,Industrials,146.42,95,96,93,94,"FIX,PWR,EME,J"
7,Semiconductors,Information Technology,132.49,94,82,90,89,"MU,INTC,MRVL,MPWR,AMD,ADI,AVGO,ON,ARM,NVDA,MCHP,TXN,FSLR,NXPI,SWKS,QCOM"
8,Oil & Gas Equipment & Services,Energy,129.76,93,90,85,45,"HAL,SLB,BKR"
9,Oil & Gas Refining & Marketing,Energy,128.28,92,94,68,72,"VLO,MPC,PSX"
10,Construction Machinery & Heavy Transportation Equipment,Industrials,127.72,91,91,95,70,"CAT,CMI,WAB,PCAR"
11,Electrical Components & Equipment,Industrials,127.08,90,88,71,83,"VRT,GNRC,AME,ETN,ROK,EMR"
12,Electronic Manufacturing Services,Information Technology,125.72,89,80,92,88,"JBL,TEL"
13,Steel,Materials,121.98,88,69,88,69,"STLD,NUE"
14,Cargo Ground Transportation,Industrials,121.27,87,76,73,21,"JBHT,ODFL"
15,Interactive Media & Services,Communication Services,120.14,86,78,94,90,"GOOGL,GOOG,META"
16,Agricultural Products & Services,Consumer Staples,117.32,85,93,78,78,"BG,ADM"
17,Broadcasting,Communication Services,117.21,84,77,97,96,"WBD,FOXA,FOX"
18,Oil & Gas Exploration & Production,Energy,116.87,83,89,36,23,"APA,DVN,OXY,FANG,CTRA,COP,TPL,EOG,EQT,EXE"
19,Data Center REITs,Real Estate,116.32,82,72,16,27,"EQIX,DLR"
20,Apparel Retail,Consumer Discretionary,116.23,81,87,79,68,"ROST,TJX"
21,Integrated Oil & Gas,Energy,114.4,80,92,60,43,"XOM,CVX"
22,Specialty Chemicals,Materials,114.17,79,81,76,19,"ALB,LYB,DD,IFF,ECL,PPG,SHW"
23,Air Freight & Logistics,Industrials,113.72,78,84,91,44,"FDX,CHRW,EXPD,UPS"
24,Oil & Gas Storage & Transportation,Energy,111.78,77,85,34,16,"TRGP,WMB,KMI,OKE"
25,Independent Power Producers & Energy Traders,Utilities,107.9,76,61,58,87,"NRG,AES"
26,Biotechnology,Health Care,107.86,75,75,79,81,"MRNA,BIIB,INSM,GILD,REGN,INCY,AMGN,ABBV,ALNY,VRTX"
27,Regional Banks,Financials,107.69,74,53,77,48,"CFG,KEY,FITB,MTB,RF,HBAN"
28,Diversified Banks,Financials,107.33,73,49,75,61,"C,USB,PNC,BAC,TFC,JPM,WFC"
29,Pharmaceuticals,Health Care,106.55,72,70,69,31,"VTRS,MRK,JNJ,BMY,PFE,LLY,ZTS"
30,Broadline Retail,Consumer Discretionary,106.54,71,56,63,79,"EBAY,AMZN"
31,Food Retail,Consumer Staples,106.35,70,86,53,63,"CASY,KR"
32,Fertilizers & Agricultural Chemicals,Materials,105.65,69,83,26,18,"CF,CTVA,MOS"
33,Passenger Airlines,Industrials,105.55,68,58,82,74,"DAL,LUV,UAL"
34,Automobile Manufacturers,Consumer Discretionary,105.22,67,62,89,92,"GM,F,TSLA"
35,Rail Transportation,Industrials,105.21,66,60,46,54,"CSX,NSC,UNP"
36,Retail REITs,Real Estate,104.93,65,63,42,47,"SPG,FRT,REG,KIM,O"
37,Health Care REITs,Real Estate,104.85,64,74,54,55,"WELL,VTR,DOC"
38,Investment Banking & Brokerage,Financials,104.57,63,54,87,97,"IBKR,MS,GS,SCHW,RJF,HOOD"
39,Hotel & Resort REITs,Real Estate,102.14,62,49,48,35,"HST,VICI"
40,Casinos & Gaming,Consumer Discretionary,102.01,61,41,70,60,"LVS,MGM,WYNN"
41,Aerospace & Defense,Industrials,101.65,60,79,84,77,"HWM,HII,LHX,RTX,LMT,GE,NOC,TXT,BA,GD,TDG,AXON"
42,Health Care Distributors,Health Care,101.46,59,73,81,66,"CAH,MCK,HSIC,COR"
43,Multi-Utilities,Utilities,101.37,58,68,39,58,"NEE,SRE,NI,PNW,PCG,CNP,AEE,DTE,CMS,D,ED,XEL"
44,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,100.68,57,46,59,64,"MAR,HLT,EXPE,CCL,ABNB,RCL,NCLH,BKNG"
