Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,330.9,99,99,99,98,255.94000244140625,269.8800048828125,254.90499877929688,260.19000244140625
2,MU,Information Technology,Semiconductors,S&P 500,283.25,99,99,99,88,369.9200134277344,390.92999267578125,366.0,382.8900146484375
3,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,263.54,99,99,99,97,409.56988525390625,418.0,394.239990234375,405.45001220703125
4,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,211.24,99,98,98,65,266.760009765625,281.3699951171875,262.2799987792969,271.1300048828125
5,ALB,Materials,Specialty Chemicals,S&P 500,193.11,99,99,89,64,160.05999755859375,165.1199951171875,156.0399932861328,156.47999572753906
6,WBD,Communication Services,Broadcasting,S&P 500,190.55,99,99,99,92,27.059999465942383,27.1200008392334,26.610000610351562,26.760000228881836
7,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,188.25,98,99,98,91,208.1300048828125,215.85000610351562,204.57000732421875,213.30999755859375
8,INTC,Information Technology,Semiconductors,S&P 500,179.96,98,97,98,50,47.540000915527344,50.86000061035156,46.78499984741211,48.2400016784668
9,FIX,Industrials,Construction & Engineering,S&P 500,169.78,98,98,98,99,1119.800048828125,1162.344970703125,1097.4100341796875,1147.969970703125
10,GLW,Information Technology,Electronic Components,S&P 500,166.61,98,95,97,95,107.55000305175781,113.44000244140625,105.6500015258789,112.79000091552734
11,NEM,Materials,Gold,S&P 500,160.66,98,98,97,96,113.31500244140625,115.33480072021484,108.04499816894531,108.52999877929688
12,CHRW,Industrials,Air Freight & Logistics,S&P 500,159.01,97,94,94,82,197.72999572753906,199.6300048828125,195.6999969482422,197.44000244140625
13,LUV,Industrials,Passenger Airlines,S&P 500,158.71,97,87,60,43,52.529998779296875,52.970001220703125,51.880001068115234,52.5099983215332
14,ASML,Technology,Industrial Machinery,Nasdaq 100,151.84,97,94,94,33,1329.885009765625,1368.8599853515625,1319.530029296875,1350.1600341796875
15,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,148.56,97,93,95,77,681.5399780273438,686.5,665.0700073242188,678.3099975585938
16,GOOGL,Communication Services,Interactive Media & Services,S&P 500,146.27,97,97,96,78,312.2250061035156,332.69000244140625,306.4599914550781,331.25
17,GOOG,Communication Services,Interactive Media & Services,S&P 500,145.41,96,96,96,77,313.20001220703125,332.6440124511719,306.9200134277344,331.3299865722656
18,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500,144.93,96,94,90,98,137.8300018310547,145.4199981689453,134.11000061035156,143.19000244140625
19,MRNA,Health Care,Biotechnology,S&P 500,144.8,96,69,9,5,42.45000076293945,43.849700927734375,40.08000183105469,40.869998931884766
20,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,144.61,96,96,87,41,300.0,304.3299865722656,292.32000732421875,303.989990234375
21,DG,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500,143.03,96,95,68,91,148.55999755859375,149.3800048828125,144.6199951171875,144.89999389648438
22,FDX,Industrials,Air Freight & Logistics,S&P 500,141.46,95,83,63,15,362.0,366.4599914550781,357.8299865722656,363.9599914550781
23,FCX,Materials,Copper,S&P 500,140.98,95,91,34,46,59.95000076293945,60.93000030517578,58.230098724365234,59.220001220703125
24,GM,Consumer Discretionary,Automobile Manufacturers,S&P 500,140.05,95,95,93,71,85.1500015258789,85.70999908447266,83.27999877929688,83.30000305175781
25,GEV,Industrials,Heavy Electrical Equipment,S&P 500,139.89,95,93,87,99,717.22998046875,758.1699829101562,714.251220703125,737.530029296875
26,ADI,Information Technology,Semiconductors,S&P 500,135.85,95,86,52,56,316.3399963378906,327.30999755859375,313.3949890136719,322.1199951171875
27,HII,Industrials,Aerospace & Defense,S&P 500,135.76,94,94,94,88,354.6099853515625,407.0,351.625,369.3800048828125
28,MPWR,Information Technology,Semiconductors,S&P 500,135.7,94,89,86,78,1115.0,1179.0,1100.0,1155.989990234375
29,VTRS,Health Care,Pharmaceuticals,S&P 500,135.52,94,85,47,50,14.25,14.4399995803833,14.220000267028809,14.34000015258789
30,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,134.92,94,97,96,86,1292.8900146484375,1349.8800048828125,1285.0400390625,1331.030029296875
31,MRK,Health Care,Pharmaceuticals,S&P 500,134.68,94,81,52,26,118.30500030517578,122.43000030517578,118.30500030517578,119.75
32,ULTA,Consumer Discretionary,Other Specialty Retail,S&P 500,134.54,93,92,81,94,678.6400146484375,689.0,671.6799926757812,677.9099731445312
33,JBHT,Industrials,Cargo Ground Transportation,S&P 500,134.52,93,88,65,12,226.3000030517578,228.60000610351562,223.7050018310547,225.25
34,CFG,Financials,Regional Banks,S&P 500,134.31,93,88,72,75,66.0,66.79000091552734,65.45999908447266,66.62000274658203
35,HAL,Energy,Oil & Gas Equipment & Services,S&P 500,133.7,93,84,82,9,33.77000045776367,34.099998474121094,32.95500183105469,33.84000015258789
36,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,132.88,93,93,89,82,564.5650024414062,569.8287963867188,527.4099731445312,540.6500244140625
37,STLD,Materials,Steel,S&P 500,130.75,93,82,74,27,195.44000244140625,199.60000610351562,190.8000030517578,193.02000427246094
38,JNJ,Health Care,Pharmaceuticals,S&P 500,130.74,92,81,79,72,235.0,239.5800018310547,234.99000549316406,237.7899932861328
39,CAH,Health Care,Health Care Distributors,S&P 500,130.63,92,92,96,77,217.0,229.6999969482422,212.02999877929688,227.17999267578125
40,INSM,Health Care,Biotechnology,Nasdaq 100,129.94,92,98,99,99,152.44000244140625,156.52000427246094,150.33999633789062,151.02999877929688
41,HAS,Consumer Discretionary,Leisure Products,S&P 500,129.58,92,87,75,89,95.91000366210938,96.1500015258789,94.33999633789062,95.43000030517578
42,DD,Materials,Specialty Chemicals,S&P 500,129.46,92,92,88,29,47.095001220703125,47.25,45.21500015258789,45.68000030517578
43,BG,Consumer Staples,Agricultural Products & Services,S&P 500,129.26,91,74,84,40,118.80999755859375,118.9749984741211,113.30000305175781,113.94000244140625
44,SLB,Energy,Oil & Gas Equipment & Services,S&P 500,129.15,91,77,46,7,50.380001068115234,50.55500030517578,48.66999816894531,49.5099983215332
45,NUE,Materials,Steel,S&P 500,128.78,91,82,53,61,186.5,189.60000610351562,184.647705078125,186.5
46,MCHP,Information Technology,Semiconductors,S&P 500,127.91,91,84,23,46,77.54499816894531,79.1449966430664,75.72000122070312,78.04000091552734
47,LHX,Industrials,Aerospace & Defense,S&P 500,127.18,91,79,84,80,338.8500061035156,350.0,337.69000244140625,342.2200012207031
48,GILD,Health Care,Biotechnology,S&P 500,127.07,90,67,76,89,146.5,150.5,145.8699951171875,149.3699951171875
49,APA,Energy,Oil & Gas Exploration & Production,S&P 500,126.59,90,67,78,33,26.969999313354492,26.979999542236328,25.59000015258789,26.479999542236328
50,VLO,Energy,Oil & Gas Refining & Marketing,S&P 500,126.58,90,86,91,37,192.6300048828125,194.87989807128906,190.110107421875,194.13999938964844
51,MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 500,126.44,90,80,84,76,82.25,82.68000030517578,81.51000213623047,81.75
52,KEY,Financials,Regional Banks,S&P 500,125.61,90,82,52,61,22.5,22.7549991607666,22.299999237060547,22.700000762939453
53,PH,Industrials,Industrial Machinery & Supplies & Components,S&P 500,125.59,89,87,82,67,960.4600219726562,971.6400146484375,948.5050048828125,967.6199951171875
54,HSY,Consumer Staples,Packaged Foods & Meats,S&P 500,125.58,89,44,49,51,218.85000610351562,225.5500030517578,215.89999389648438,224.3800048828125
55,XOM,Energy,Integrated Oil & Gas,S&P 500,125.24,89,56,62,26,146.5800018310547,146.72999572753906,143.7949981689453,146.0800018310547
56,EXPD,Industrials,Air Freight & Logistics,S&P 500,125.07,89,88,79,43,164.16000366210938,165.125,162.97000122070312,163.77999877929688
57,IVZ,Financials,Asset Management & Custody Banks,S&P 500,124.98,89,96,87,91,26.469999313354492,26.665000915527344,25.655000686645508,25.770000457763672
58,DVN,Energy,Oil & Gas Exploration & Production,S&P 500,124.92,88,52,40,22,42.81999969482422,43.400001525878906,41.95500183105469,43.16999816894531
59,LMT,Industrials,Aerospace & Defense,S&P 500,124.06,88,46,45,13,602.72998046875,614.0,595.0,609.1799926757812
60,C,Financials,Diversified Banks,S&P 500,124.01,88,94,86,93,116.41000366210938,116.41000366210938,112.91999816894531,115.73999786376953
61,BIIB,Health Care,Biotechnology,S&P 500,123.64,88,85,71,18,184.8699951171875,187.72999572753906,184.5399932861328,185.36000061035156
62,USB,Financials,Diversified Banks,S&P 500,123.26,88,78,53,45,59.099998474121094,59.619998931884766,58.59000015258789,59.11000061035156
63,ON,Information Technology,Semiconductors,S&P 500,123.09,87,80,26,25,61.560001373291016,63.13999938964844,60.8650016784668,63.099998474121094
64,FITB,Financials,Regional Banks,S&P 500,122.38,87,75,50,49,53.85499954223633,54.11000061035156,52.86000061035156,53.790000915527344
65,TXN,Information Technology,Semiconductors,S&P 500,122.18,87,43,12,39,221.64999389648438,225.82000732421875,218.89500427246094,223.97999572753906
66,PNC,Financials,Diversified Banks,S&P 500,122.15,87,73,39,52,236.33999633789062,239.27000427246094,235.21499633789062,238.50999450683594
67,RTX,Industrials,Aerospace & Defense,S&P 500,122.01,87,85,90,84,196.22999572753906,199.67999267578125,194.5301055908203,195.97000122070312
68,MCK,Health Care,Health Care Distributors,S&P 500,122.0,87,72,92,53,862.0,971.9299926757812,867.969970703125,957.7999877929688
69,ODFL,Industrials,Cargo Ground Transportation,S&P 500,121.97,86,48,7,4,200.02000427246094,206.42999267578125,198.0,202.13999938964844
