,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
35,CSGP,False,103,47,24,0,33,0,0.0,91.26566967368528,0.0
43,EA,True,71,2,36,48,0,15,203.2605896843332,0.0,167.44368452812418
68,MSTR,False,61,6,5,0,2,0,0.0,319.5730703150223,0.0
72,NFLX,False,53,10,19,0,4,0,0.0,117.75870061128927,0.0
81,PYPL,False,60,5,48,0,3,0,0.0,69.0784075452633,0.0
86,ROP,False,52,11,26,0,1,0,0.0,496.6031063240507,0.0
87,ROST,True,58,3,10,35,0,5,180.51459310261745,0.0,147.8022122845895
92,TMUS,False,93,25,8,0,12,0,0.0,249.1785990740197,0.0
99,WBD,True,54,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,66,45,6,24,0,4,155.8977903986895,0.0,193.43853620270235
117,ALLE,False,52,2,7,0,0,0,0.0,172.68862893353173,0.0
120,MO,False,57,12,8,0,4,0,0.0,63.38570141567158,0.0
128,AME,True,55,17,39,37,0,18,204.75573317710183,0.0,184.30785738563202
140,T,False,73,33,19,0,11,0,0.0,28.088568628412915,0.0
212,DHR,True,69,27,19,32,0,9,227.0705632549464,0.0,202.53217227999477
226,DOV,True,55,33,7,27,0,4,193.0163312700544,0.0,175.11139021729272
232,ETN,False,53,30,25,0,10,0,0.0,361.61192898748055,0.0
254,EXPE,True,54,18,34,26,0,25,277.5503446053333,0.0,215.59111739521887
290,HAS,True,52,32,18,18,0,10,81.0736567121471,0.0,78.12891077966549
306,HII,True,186,5,22,86,0,15,338.1183619560112,0.0,191.1105014795627
398,PH,True,52,26,25,26,0,13,871.8168625036548,0.0,744.8612412215393
399,PAYC,False,110,7,29,0,4,0,0.0,227.2828030793653,0.0
451,STLD,True,102,21,29,43,0,18,167.66629510327635,0.0,129.71266330331622
454,SMCI,False,52,31,24,0,17,0,0.0,50.61009488497797,0.0
470,TSCO,False,88,61,10,0,36,0,0.0,60.32106537897582,0.0
476,TYL,False,103,8,15,0,4,0,0.0,565.3071000048424,0.0
484,UPS,True,54,7,5,24,0,3,99.51227099751426,0.0,82.25657995880566
491,VRSN,False,69,18,26,0,10,0,0.0,280.1188806802959,0.0
496,VST,False,55,28,13,0,9,0,0.0,195.62271590559152,0.0
