Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Electronic Components,Information Technology,211.57,99,98,98,99,"COHR,GLW,APH"
2,Semiconductor Materials & Equipment,Information Technology,205.86,99,99,99,96,"TER,LRCX,AMAT,KLAC"
3,Communications Equipment,Information Technology,169.52,98,96,86,94,"CIEN,ANET,CSCO,MSI,FFIV"
4,"Technology Hardware, Storage & Peripherals",Information Technology,163.62,97,95,96,97,"WDC,STX,DELL,HPE,AAPL,NTAP,HPQ,SMCI"
5,Wireless Telecommunication Services,Communication Services,161.53,96,99,99,99,"SATS,TMUS"
6,Construction & Engineering,Industrials,152.33,95,97,90,95,"FIX,PWR,EME,J"
7,Construction Machinery & Heavy Transportation Equipment,Industrials,136.71,94,91,93,77,"CAT,CMI,WAB,PCAR"
8,Oil & Gas Equipment & Services,Energy,134.8,93,92,83,26,"HAL,BKR,SLB"
9,Electrical Components & Equipment,Industrials,134.34,92,90,62,83,"VRT,GNRC,AME,ETN,ROK,EMR"
10,Semiconductors,Information Technology,130.94,91,81,88,88,"MU,INTC,MPWR,MRVL,AMD,ADI,ON,AVGO,ARM,MCHP,TXN,NVDA,FSLR,NXPI,SWKS,QCOM"
11,Oil & Gas Refining & Marketing,Energy,129.22,90,93,64,75,"VLO,MPC,PSX"
12,Electronic Manufacturing Services,Information Technology,128.47,89,72,89,92,"JBL,TEL"
13,Agricultural Products & Services,Consumer Staples,128.18,88,94,72,79,"BG,ADM"
14,Cargo Ground Transportation,Industrials,123.52,87,82,82,3,"JBHT,ODFL"
15,Apparel Retail,Consumer Discretionary,122.31,86,87,78,71,"ROST,TJX"
16,Oil & Gas Exploration & Production,Energy,122.3,85,84,33,22,"APA,DVN,OXY,CTRA,FANG,COP,EOG,TPL,EQT,EXE"
17,Steel,Materials,121.52,84,83,85,55,"STLD,NUE"
18,Integrated Oil & Gas,Energy,121.47,83,89,57,39,"XOM,CVX"
19,Broadcasting,Communication Services,119.87,82,88,97,93,"WBD,FOXA,FOX"
20,Specialty Chemicals,Materials,118.64,81,76,76,21,"ALB,LYB,DD,IFF,PPG,ECL,SHW"
21,Interactive Media & Services,Communication Services,117.92,80,75,95,89,"GOOGL,GOOG,META"
22,Data Center REITs,Real Estate,117.68,79,69,15,41,"EQIX,DLR"
23,Air Freight & Logistics,Industrials,117.22,78,86,92,42,"FDX,CHRW,EXPD,UPS"
24,Oil & Gas Storage & Transportation,Energy,117.11,77,78,25,18,"TRGP,WMB,KMI,OKE"
25,Food Retail,Consumer Staples,116.42,76,79,45,70,"CASY,KR"
26,Fertilizers & Agricultural Chemicals,Materials,110.98,75,80,16,25,"CF,CTVA,MOS"
27,Biotechnology,Health Care,110.36,74,77,79,81,"MRNA,INSM,GILD,REGN,INCY,BIIB,AMGN,ABBV,VRTX,ALNY"
28,Pharmaceuticals,Health Care,109.97,73,71,63,36,"VTRS,JNJ,MRK,BMY,PFE,LLY,ZTS"
29,Independent Power Producers & Energy Traders,Utilities,109.28,72,59,58,91,"NRG,AES"
30,Regional Banks,Financials,109.08,71,56,77,49,"CFG,KEY,FITB,MTB,RF,HBAN"
31,Multi-Utilities,Utilities,108.89,70,66,34,61,"NEE,SRE,PCG,NI,CNP,PNW,AEE,DTE,D,XEL,ED,CMS"
32,Rail Transportation,Industrials,108.09,69,67,46,53,"CSX,NSC,UNP"
33,Diversified Banks,Financials,108.05,68,50,81,64,"C,USB,PNC,TFC,BAC,JPM,WFC"
34,Aerospace & Defense,Industrials,107.55,67,85,80,69,"HWM,HII,LHX,RTX,LMT,NOC,GE,TXT,GD,BA,TDG,AXON"
35,Passenger Airlines,Industrials,107.13,66,49,87,73,"DAL,LUV,UAL"
36,Electric Utilities,Utilities,106.62,65,62,35,76,"EIX,ETR,AEP,FE,EVRG,LNT,PPL,DUK,EXC,WEC,ES,SO,PEG,VST,CEG"
37,Health Care REITs,Real Estate,106.55,64,64,54,54,"WELL,VTR,DOC"
38,Retail REITs,Real Estate,106.36,63,60,41,48,"SPG,KIM,REG,FRT,O"
39,Consumer Staples Merchandise Retail,Consumer Staples,106.15,62,73,84,52,"WMT,TGT,COST,DG,DLTR"
40,Health Care Distributors,Health Care,105.09,61,74,73,63,"CAH,MCK,HSIC,COR"
41,Broadline Retail,Consumer Discretionary,104.02,60,45,61,72,"EBAY,AMZN"
42,Industrial Gases,Materials,103.9,59,54,21,14,"LIN,APD"
43,Industrial Machinery & Supplies & Components,Industrials,103.46,57,52,55,27,"PH,HUBB,NDSN,DOV,GWW,FTV,SNA,IEX,ITW,IR,SWK,XYL,PNR,OTIS"
44,Integrated Telecommunication Services,Communication Services,103.46,57,63,20,45,"VZ,T"
45,Hotel & Resort REITs,Real Estate,102.61,56,46,38,40,"HST,VICI"
46,Automobile Manufacturers,Consumer Discretionary,102.46,55,70,94,87,"GM,F,TSLA"
47,Electronic Equipment & Instruments,Information Technology,102.26,54,42,36,38,"KEYS,TDY,TRMB,ZBRA,ROP"
48,Investment Banking & Brokerage,Financials,102.07,53,53,91,98,"GS,IBKR,MS,SCHW,RJF,HOOD"
49,Tobacco,Consumer Staples,102.05,52,57,43,66,"MO,PM"
50,Casinos & Gaming,Consumer Discretionary,100.59,51,36,71,59,"LVS,MGM,WYNN"
51,Health Care Facilities,Health Care,100.55,50,65,66,68,"HCA,UHS"
52,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,100.26,49,55,44,35,"PEP,KO,MNST,KDP"
