,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
16,ARM,True,55,8,18,33,0,12,313.1768827105674,0.0,120.76192594304771,411.8299865722656,2.264655784733572,36.04770182598377,102.61241646270692,231.82659297958006,205.03666641613964,226.70658488376998
91,TMUS,False,54,32,108,0,14,0,0.0,212.05864048830122,0.0,181.4499969482422,-3.908279834374707,-4.389439917745137,-6.164739789291179,-16.96577195880991,-11.285044494349297,-23.940920393952734
161,BRO,False,105,13,40,0,5,0,0.0,78.27653420607552,0.0,55.13999938964844,-2.5622914985504623,-2.939626726408992,-4.056826932816242,-23.03180959821495,-31.721196357335163,-50.94107037825073
179,COR,False,83,14,29,0,8,0,0.0,342.65809203774285,0.0,263.6400146484375,-0.45309685321176085,-1.2621231391832843,-12.979243645860889,-28.230742122330533,-26.496825453277555,-9.052506311560812
202,CAG,False,72,18,23,0,13,0,0.0,18.106055282906468,0.0,12.579999923706055,-2.177291916378927,-5.626406633853021,-9.169678142845674,-31.579743960218064,-25.57060471641519,-39.94365822186492
220,DELL,True,67,10,2,43,0,0,308.7156019427612,0.0,112.03103940891607,421.0799865722656,-3.2689373242370188,37.91431169629233,98.96049318967309,187.13995127676094,221.16796357507025,295.5242076730489
273,FOXA,True,62,33,56,20,0,34,62.86727611453909,0.0,71.75919345533768,64.27999877929688,-2.1464509205446616,-1.8326275444664464,3.078893762272669,10.030812725130485,-2.7032382873993925,17.687596599825813
284,GIS,False,75,22,8,0,15,0,0.0,45.28119025623489,0.0,32.16999816894531,-2.7215044880081005,-4.398226715667103,-6.56404913214807,-24.90131086527545,-29.52254735235241,-37.19723679435557
314,PODD,False,91,11,20,0,0,0,0.0,277.5896685808415,0.0,143.3000030517578,0.610833687225555,-1.8560314752640088,-16.38951889720772,-41.00209831123042,-53.897625955582754,-55.9076913686899
324,JBL,True,51,11,43,26,0,18,354.72563356420835,0.0,251.52703638022348,379.0400085449219,1.5757328827064634,2.062578372932721,11.24577724678416,48.571840403835,80.60133883699669,125.88666876905745
357,MKC,False,64,18,10,0,6,0,0.0,66.0264644364679,0.0,46.290000915527344,0.30335728064912837,-2.6498387839113957,-3.6026645683978313,-28.91534956567095,-29.171516628281392,-35.12877114109976
359,MCK,False,62,34,30,0,14,0,0.0,921.2600708715428,0.0,739.530029296875,0.3732457301569892,-2.1312462566582515,-8.35578780889322,-24.354743803252386,-13.528802964630513,2.8805022442908204
371,MSI,False,62,53,59,0,46,0,0.0,437.65942810195804,0.0,408.3900146484375,-1.6922629031015137,-0.07828945054693974,-6.6729088721914,-14.37463316665484,10.039394099864388,-1.5069619035962136
426,RMD,False,77,23,14,0,7,0,0.0,251.5886126219215,0.0,186.4600067138672,1.9910290142331897,-9.529354103844163,-10.703108061369528,-27.807574110730897,-24.531900318575815,-22.84333782493585
468,TSCO,False,87,6,96,0,4,0,0.0,51.38275001997366,0.0,29.139999389648438,-2.899036429850152,-4.988590423343709,-9.078956906011063,-41.93202340879075,-45.009310559326806,-37.84399541605247
485,UHS,False,68,14,43,0,8,0,0.0,213.72372852347198,0.0,145.97999572753906,2.406168083024081,-5.385960153088315,-12.097314813419574,-27.843409871398073,-38.970973376787285,-21.868341477573136
